,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Total Regions
0170 The University of Aberdeen Est. Infectious Incoming,0.055,0.10850000000000001,0.0575,0.034,0.036,0.078,0.11,0.07,0.045,0.594
0095 Abertay University Est. Infectious Incoming,0.0075,0.014000000000000002,0.005,0.004,0.009,0.009,0.005,0.008,0.0075,0.069
0177 Aberystwyth University Est. Infectious Incoming,0.02,0.266,0.0725,0.096,0.696,0.162,0.1,0.2,0.185,1.7974999999999999
0213 AECC University College Est. Infectious Incoming,0.0,0.0035000000000000005,0.005,0.004,0.012,0.015,0.0075,0.034,0.0525,0.1335
0047 Anglia Ruskin University Est. Infectious Incoming,0.0525,0.15400000000000003,0.1175,0.324,0.15,6.132,3.205,0.458,0.1125,10.7055
0108 Aston University Est. Infectious Incoming,0.0325,0.29750000000000004,0.1025,0.37,3.303,0.33299999999999996,0.72,0.28600000000000003,0.1525,5.597
0178 Bangor University Est. Infectious Incoming,0.035,0.9625000000000001,0.1475,0.11200000000000002,0.39,0.198,0.1325,0.198,0.1425,2.3180000000000005
0048 Bath Spa University Est. Infectious Incoming,0.015,0.098,0.04,0.07600000000000001,0.255,0.24,0.19,0.512,1.8,3.226
0109 The University of Bath Est. Infectious Incoming,0.055,0.32900000000000007,0.12,0.15,0.375,0.615,0.7325,1.15,0.9825,4.5089999999999995
0026 University of Bedfordshire Est. Infectious Incoming,0.0075,0.07350000000000001,0.0325,0.31,0.657,2.673,1.1375,0.548,0.0425,5.4815000000000005
0184 Queen's University Belfast Est. Infectious Incoming,0.0375,0.15400000000000003,0.0375,0.036000000000000004,0.06,0.06899999999999999,0.135,0.10400000000000001,0.07,0.7030000000000001
0127 Birkbeck College Est. Infectious Incoming,0.01,0.035,0.0275,0.022000000000000002,0.05399999999999999,0.375,4.0075,0.32,0.055,4.906000000000001
0052 Birmingham City University Est. Infectious Incoming,0.0375,0.3955,0.2175,0.67,9.264,0.444,0.485,0.424,0.4,12.3375
0110 The University of Birmingham Est. Infectious Incoming,0.115,1.078,0.5125,0.774,4.497,1.248,1.38,1.4620000000000002,0.9875,12.054
0200 University College Birmingham Est. Infectious Incoming,0.005,0.05250000000000001,0.035,0.094,1.3529999999999998,0.057,0.085,0.046000000000000006,0.045,1.7724999999999995
0007 Bishop Grosseteste University Est. Infectious Incoming,0.005,0.0175,0.2025,0.6,0.018,0.12299999999999998,0.005,0.012,0.005,0.9879999999999999
0049 The University of Bolton Est. Infectious Incoming,0.0175,3.6645000000000003,0.21,0.044000000000000004,0.075,0.042,0.0375,0.03,0.0325,4.1530000000000005
0197 The Arts University Bournemouth Est. Infectious Incoming,0.0075,0.0315,0.0175,0.034,0.078,0.135,0.18,0.38800000000000007,0.4075,1.2790000000000001
0050 Bournemouth University Est. Infectious Incoming,0.015,0.0875,0.045,0.08199999999999999,0.21899999999999997,0.585,0.83,2.1020000000000003,2.6,6.5655
0111 The University of Bradford Est. Infectious Incoming,0.04,0.6895,2.8725,0.062,0.09,0.063,0.0875,0.044000000000000004,0.025,3.9734999999999996
0051 The University of Brighton Est. Infectious Incoming,0.08,0.16450000000000004,0.1075,0.156,0.21899999999999997,1.023,1.5525,3.812,0.5875,7.702
0337 The University College of Osteopathy Est. Infectious Incoming,0.0,0.0035000000000000005,0.0025,0.004,0.006,0.03,0.1075,0.038000000000000006,0.005,0.19650000000000004
0112 The University of Bristol Est. Infectious Incoming,0.11,0.6825,0.2825,0.29,0.69,0.87,1.8125,1.6480000000000001,2.205,8.5905
0113 Brunel University London Est. Infectious Incoming,0.0125,0.084,0.0375,0.05600000000000001,0.11699999999999999,0.501,3.2875,0.664,0.135,4.894500000000001
0009 Buckinghamshire New University Est. Infectious Incoming,0.03,0.34650000000000003,0.1075,0.128,0.46799999999999997,0.66,1.79,1.23,0.16,4.92
0203 The University of Buckingham Est. Infectious Incoming,0.0075,0.035,0.0275,0.052000000000000005,0.078,0.213,0.235,0.316,0.055,1.019
0114 The University of Cambridge Est. Infectious Incoming,0.1625,0.6125,0.355,0.27,0.405,1.554,1.61,1.016,0.4625,6.447500000000002
0188 The Institute of Cancer Research Est. Infectious Incoming,0.0,0.0035000000000000005,0.0,0.002,0.0,0.009,0.07,0.018000000000000002,0.0025,0.10500000000000001
0012 Canterbury Christ Church University Est. Infectious Incoming,0.0125,0.05600000000000001,0.025,0.04,0.048,0.6629999999999999,1.35,3.582,0.0725,5.849
