,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Total Regions
0170 The University of Aberdeen Estimated Incoming Antibody Pos,7.2416666663,13.469499999999998,5.90525,4.7005,4.5820000002,8.7295,37.656666674,8.98625,3.3180000002999996,94.5893333408
0095 Abertay University Estimated Incoming Antibody Pos,0.9874999999499999,1.7379999999999998,0.5135,0.553,1.14550000005,1.00725,1.711666667,1.027,0.55300000005,9.23641666705
0177 Aberystwyth University Estimated Incoming Antibody Pos,2.6333333332,33.022,7.445749999999999,13.272,88.58533333720001,18.130499999999998,34.23333334,25.675,13.6406666679,236.63791667830003
0213 AECC University College Estimated Incoming Antibody Pos,0.0,0.43449999999999994,0.5135,0.553,1.5273333334,1.67875,2.5675000005000004,4.36475,3.87100000035,15.51033333425
0047 Anglia Ruskin University Estimated Incoming Antibody Pos,6.912499999649999,19.118,12.06725,44.793,19.0916666675,686.273,1097.178333547,58.79575,8.29500000075,1952.5245002149002
0108 Aston University Estimated Incoming Antibody Pos,4.279166666449999,36.9325,10.52675,51.1525,420.39850001835003,37.268249999999995,246.480000048,36.71525,11.24433333435,854.99725006715
0178 Bangor University Estimated Incoming Antibody Pos,4.6083333331,119.4875,15.14825,15.484000000000002,49.6383333355,22.159499999999998,45.3591666755,25.418249999999997,10.507000000949999,307.81033334504997
0048 Bath Spa University Estimated Incoming Antibody Pos,1.9749999998999999,12.165999999999999,4.108,10.507,32.45583333475,26.86,65.043333346,65.728,132.720000012,351.56316669265
0109 The University of Bath Estimated Incoming Antibody Pos,7.2416666663,40.842999999999996,12.323999999999998,20.7375,47.729166668750004,68.82875,250.7591667155,147.63125,72.44300000655,668.5375000571
0026 University of Bedfordshire Estimated Incoming Antibody Pos,0.9874999999499999,9.1245,3.3377499999999998,42.8575,83.62150000365,299.15325,389.4041667425,70.34949999999999,3.13366666695,901.9693334130501
0184 Queen's University Belfast Estimated Incoming Antibody Pos,4.93749999975,19.118,3.85125,4.977,7.636666666999999,7.72225,46.21500000900001,13.350999999999999,5.161333333799999,112.97000000955
0127 Birkbeck College Estimated Incoming Antibody Pos,1.3166666666,4.345,2.82425,3.0415000000000005,6.873000000299999,41.96875,1371.9008336005002,41.08,4.0553333337,1477.4053336011
0052 Birmingham City University Estimated Incoming Antibody Pos,4.93749999975,49.098499999999994,22.337249999999997,92.6275,1179.1013333848,49.690999999999995,166.03166669900003,54.431,29.493333336,1647.74908341955
0110 The University of Birmingham Estimated Incoming Antibody Pos,15.141666665899999,133.826,52.63375,107.00550000000001,572.36816669165,139.672,472.42000009200007,187.68425,72.81166667325,1753.5630001228003
0200 University College Birmingham Estimated Incoming Antibody Pos,0.6583333333,6.5175,3.5945,12.9955,172.20683334084998,6.37925,29.098333339,5.90525,3.3180000002999996,240.67350001345
0007 Bishop Grosseteste University Estimated Incoming Antibody Pos,0.6583333333,2.1725,20.796749999999996,82.95,2.2910000001,13.76575,1.711666667,1.5404999999999998,0.36866666670000003,126.25516666709999
0049 The University of Bolton Estimated Incoming Antibody Pos,2.30416666655,454.9214999999999,21.566999999999997,6.083000000000001,9.54583333375,4.7005,12.8375000025,3.85125,2.39633333355,518.2070833363499
0197 The Arts University Bournemouth Estimated Incoming Antibody Pos,0.9874999999499999,3.9104999999999994,1.79725,4.7005,9.9276666671,15.10875,61.620000012,49.8095,30.046333336049997,177.90800001510001
0050 Bournemouth University Estimated Incoming Antibody Pos,1.9749999998999999,10.8625,4.6215,11.336500000000001,27.87383333455,65.47125,284.13666672200003,269.84425,191.706666684,867.8281667404501
0111 The University of Bradford Estimated Incoming Antibody Pos,5.2666666664,85.59649999999999,295.00575,8.5715,11.4550000005,7.050749999999999,29.9541666725,5.6485,1.8433333335,450.39216667290003
0051 The University of Brighton Estimated Incoming Antibody Pos,10.5333333328,20.421499999999998,11.040249999999999,21.567000000000004,27.87383333455,114.49074999999999,531.4725001035,489.36549999999994,43.318333337249996,1270.0830001081
0337 The University College of Osteopathy Estimated Incoming Antibody Pos,0.0,0.43449999999999994,0.25675,0.553,0.7636666667,3.3575,36.800833340500006,4.8782499999999995,0.36866666670000003,47.41316667390001
0112 The University of Bristol Estimated Incoming Antibody Pos,14.4833333326,84.7275,29.01275,40.0925,87.8216666705,97.3675,620.4791667875,211.562,162.5820000147,1348.1284168053003
0113 Brunel University London Estimated Incoming Antibody Pos,1.64583333325,10.427999999999999,3.85125,7.742000000000001,14.891500000650002,56.070249999999994,1125.4208335525002,85.241,9.954000000899999,1315.2446668873001
0009 Buckinghamshire New University Estimated Incoming Antibody Pos,3.9499999997999997,43.0155,11.040249999999999,17.696,59.566000002600006,73.865,612.7766667860001,157.90125,11.797333334400001,991.6080001228
0203 The University of Buckingham Estimated Incoming Antibody Pos,0.9874999999499999,4.345,2.82425,7.189,9.9276666671,23.83825,80.44833334900001,40.5665,4.0553333337,174.18183334974998
0114 The University of Cambridge Estimated Incoming Antibody Pos,21.39583333225,76.0375,36.4585,37.3275,51.54750000225,173.9185,551.1566667740001,130.429,34.101666669749996,1112.37266677825
0188 The Institute of Cancer Research Estimated Incoming Antibody Pos,0.0,0.43449999999999994,0.0,0.2765,0.0,1.00725,23.963333338,2.31075,0.18433333335000002,28.17666667135
0012 Canterbury Christ Church University Estimated Incoming Antibody Pos,1.64583333325,6.951999999999999,2.5675,5.53,6.1093333336,74.20075,462.15000009000005,459.83924999999994,5.34566666715,1024.3403334240002
0179 Cardiff University Estimated Incoming Antibody Pos,5.9249999997,53.44349999999999,15.14825,27.65,119.8956666719,48.68375,221.66083337650002,156.10399999999998,157.60500001425,806.1160000623499
0089 Cardiff Metropolitan University Estimated Incoming Antibody Pos,1.64583333325,13.035,4.108,6.359500000000001,36.27416666825,10.0725,23.107500004500004,25.675,54.9313333383,175.2088333443
0053 The University of Central Lancashire Estimated Incoming Antibody Pos,14.812499999249999,1379.5375,46.7285,17.9725,36.27416666825,19.473499999999998,60.764166678500004,16.9455,7.7420000007,1600.2503333466998
0011 University of Chester Estimated Incoming Antibody Pos,9.8749999995,603.5205,25.931749999999997,19.908,132.49616667245,16.45175,35.945000007000004,14.634749999999999,7.373333334,866.13625001295
0082 The University of Chichester Estimated Incoming Antibody Pos,1.3166666666,5.2139999999999995,2.5675,8.0185,8.78216666705,19.473499999999998,53.061666677000005,184.3465,12.903333334500001,295.68383334515
"0115 City, University of London Estimated Incoming Antibody Pos",2.30416666655,13.903999999999998,4.108,8.0185,12.982333333900002,69.1645,1545.635000301,54.17425,7.5576666673499995,1717.8484169688002
0199 Conservatoire for Dance and Drama Estimated Incoming Antibody Pos,2.30416666655,5.6485,4.108,2.4885,3.8183333334999996,5.372000000000001,40.224166674500005,8.7295,3.686666667,76.37983334155001
0201 Courtauld Institute of Art Estimated Incoming Antibody Pos,0.0,1.3034999999999999,0.25675,0.553,0.7636666667,1.67875,21.395833337500004,2.5675,1.2903333334499998,29.809333337650003
0056 Coventry University Estimated Incoming Antibody Pos,6.25416666635,41.711999999999996,38.76925,109.494,771.6851667003499,100.38924999999999,706.0625001375,95.76774999999999,21.3826666686,1891.5167501728
0002 Cranfield University Estimated Incoming Antibody Pos,1.9749999998999999,10.427999999999999,3.85125,7.742000000000001,11.4550000005,22.159499999999998,56.485000011000004,27.729,21.93566666865,163.76041668005
0206 University for the Creative Arts Estimated Incoming Antibody Pos,0.9874999999499999,6.5175,3.3377499999999998,5.53,9.9276666671,22.831,150.626666696,99.87574999999998,7.18900000065,306.82283336370006
0038 University of Cumbria Estimated Incoming Antibody Pos,25.0166666654,330.6545,15.66175,7.189,7.636666666999999,7.050749999999999,94.99750001849999,5.90525,3.5023333336499998,497.61441668454995
0068 De Montfort University Estimated Incoming Antibody Pos,7.5708333329499995,48.2295,30.039749999999998,420.28,197.40783334194998,119.86274999999999,411.6558334135,65.2145,13.82500000125,1314.08600008965
0057 University of Derby Estimated Incoming Antibody Pos,7.5708333329499995,43.884499999999996,48.269,473.36800000000005,198.553333342,51.034,65.043333346,25.931749999999997,9.401000000849999,923.0557500218
0172 The University of Dundee Estimated Incoming Antibody Pos,9.54583333285,17.8145,5.391749999999999,3.8710000000000004,5.345666666900001,7.3865,26.530833338500003,7.7025,2.2120000002,85.80058333845001
0116 University of Durham Estimated Incoming Antibody Pos,131.00833332669998,107.3215,58.28225,37.051,49.25650000215,88.97375,311.523333394,115.5375,28.57166666925,927.5258333921
0117 The University of East Anglia Estimated Incoming Antibody Pos,7.5708333329499995,19.987,14.891499999999999,36.7745,22.528166667649998,514.70475,329.4958333975,93.457,14.3780000013,1053.7875833994
0058 The University of East London Estimated Incoming Antibody Pos,2.30416666655,12.6005,4.6215,7.742000000000001,11.83683333385,73.52925,1444.6466669480003,36.4585,5.8986666672000005,1599.6380836156002
0016 Edge Hill University Estimated Incoming Antibody Pos,7.5708333329499995,917.2294999999999,21.82375,11.336500000000001,31.69216666805,7.72225,13.693333336,6.93225,3.3180000002999996,1021.3185833372999
0107 Edinburgh Napier University Estimated Incoming Antibody Pos,8.887499999549998,6.951999999999999,3.0809999999999995,1.9355000000000002,2.6728333334500003,2.6860000000000004,8.558333335,2.5675,1.2903333334499998,38.63100000145
0167 The University of Edinburgh Estimated Incoming Antibody Pos,30.941666665099998,83.42399999999999,40.5665,23.779,26.728333334499997,53.0485,338.0541667325,82.41675,30.41500000275,709.37391673485
0118 The University of Essex Estimated Incoming Antibody Pos,3.2916666665,13.903999999999998,7.189,13.825,19.8553333342,283.70875,623.9025001215,65.98474999999999,11.24433333435,1042.90533345655
0119 The University of Exeter Estimated Incoming Antibody Pos,4.6083333331,32.5875,13.350999999999999,26.820500000000003,77.51216667005001,103.411,400.530000078,230.30474999999998,211.2460000191,1100.3712501002499
0017 Falmouth University Estimated Incoming Antibody Pos,2.6333333332,16.511,6.161999999999999,12.166000000000002,30.16483333465,30.55325,104.411666687,54.687749999999994,73.73333334,331.02316669485
0229 The National Film and Television School Estimated Incoming Antibody Pos,0.0,0.43449999999999994,0.25675,0.553,0.7636666667,1.00725,14.5491666695,1.79725,0.36866666670000003,19.730250002900004
