,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Total Regions
0170 The University of Aberdeen Estimated Incoming Antibody Pos,6.2278333337000005,12.449083333849998,5.29958333295,4.14091666695,4.186999999799999,7.873666667100001,35.629,8.064583332749999,2.8440000000000003,,86.7156666671
0095 Abertay University Estimated Incoming Antibody Pos,0.8492500000500001,1.6063333333999998,0.46083333330000004,0.4871666667,1.0467499999499998,0.9085000000500001,1.6195,0.9216666666000001,0.47400000000000003,,8.37400000005
0177 Aberystwyth University Estimated Incoming Antibody Pos,2.2646666668,30.5203333346,6.68208333285,11.692000000799998,80.9486666628,16.3530000009,32.39,23.041666664999997,11.692,,215.58441666375
0213 AECC University College Estimated Incoming Antibody Pos,0.0,0.40158333334999996,0.46083333330000004,0.4871666667,1.3956666665999997,1.5141666667500002,2.42925,3.91708333305,3.318,,13.92374999975
0047 Anglia Ruskin University Estimated Incoming Antibody Pos,5.94475000035,17.669666667399998,10.829583332550001,39.460500002699995,17.445833332499998,618.9913333674001,1038.0995,52.76541666285,7.11,,1808.3165833657501
0108 Aston University Estimated Incoming Antibody Pos,3.6800833335500003,34.13458333475,9.44708333265,45.062916669749995,384.15724998164995,33.614500001850004,233.208,32.94958333095,9.638,,785.8919999851499
0178 Bangor University Estimated Incoming Antibody Pos,3.9631666669000003,110.43541667124998,13.59458333235,13.640666667599998,45.3591666645,19.987000001100004,42.91675,22.81124999835,9.006,,281.71400000204994
0048 Bath Spa University Estimated Incoming Antibody Pos,1.6985000001000001,11.2443333338,3.6866666664000003,9.256166667299999,29.657916665249996,24.226666668000004,61.541000000000004,58.986666662400005,113.76,,314.05791666325
0109 The University of Bath Estimated Incoming Antibody Pos,6.2278333337000005,37.7488333349,11.059999999199999,18.268750001249998,43.614583331249996,62.08083333675001,237.25674999999998,132.48958332375,62.09400000000001,,610.8411666608
0026 University of Bedfordshire Estimated Incoming Antibody Pos,0.8492500000500001,8.43325000035,2.99541666645,37.755416669249996,76.41274999634999,269.82450001485006,368.43625,63.1341666621,2.6860000000000004,,830.5270000094
0184 Queen's University Belfast Estimated Incoming Antibody Pos,4.24625000025,17.669666667399998,3.45624999975,4.384500000299999,6.978333332999999,6.965166667050002,43.726499999999994,11.9816666658,4.424,,103.83233333355
0127 Birkbeck College Estimated Incoming Antibody Pos,1.1323333334,4.0158333335,2.53458333315,2.67941666685,6.280499999699999,37.854166668750004,1298.02925,36.866666664,3.4760000000000004,,1392.8687499993503
0052 Birmingham City University Estimated Incoming Antibody Pos,4.24625000025,45.37891666855,20.04624999855,81.60041667224999,1077.4546666151998,44.81933333580001,157.0915,48.8483333298,25.28,,1504.7656666203995
0110 The University of Birmingham Estimated Incoming Antibody Pos,13.021833334100002,123.6876666718,47.23541666325,94.26675000644998,523.0260833083499,125.97866667360002,446.982,168.43458332114997,62.41,,1605.0429999787
0200 University College Birmingham Estimated Incoming Antibody Pos,0.5661666667,6.02375000025,3.2258333331,11.44841666745,157.36141665915,5.753833333650001,27.5315,5.29958333295,2.8440000000000003,,220.05449999325
0007 Bishop Grosseteste University Estimated Incoming Antibody Pos,0.5661666667,2.00791666675,18.66374999865,73.07500000499999,2.0934999998999997,12.416166667350002,1.6195,1.3824999998999998,0.316,,112.14050000425001
0049 The University of Bolton Estimated Incoming Antibody Pos,1.9815833334500002,420.45775001745,19.3549999986,5.3588333337,8.722916666249999,4.239666666900001,12.14625,3.45624999975,2.0540000000000003,,477.7722500161
0197 The Arts University Bournemouth Estimated Incoming Antibody Pos,0.8492500000500001,3.6142500001499998,1.61291666655,4.14091666695,9.071833332899999,13.62750000075,58.302,44.700833330100004,25.754,,161.67349999745
0050 Bournemouth University Estimated Incoming Antibody Pos,1.6985000001000001,10.039583333749999,4.1474999997,9.986916667349998,25.470916665449998,59.05250000325,268.837,242.16791664915,164.32,,785.72083331875
0111 The University of Bradford Estimated Incoming Antibody Pos,4.5293333336,79.11191666994999,264.74874998085,7.551083333849999,10.4674999995,6.3595000003500015,28.34125,5.0691666663,1.58,,407.7584999844
0051 The University of Brighton Estimated Incoming Antibody Pos,9.0586666672,18.87441666745,9.907916665950001,18.9995000013,25.470916665449998,103.26616667235001,502.85474999999997,439.1741666349,37.13,,1164.7364999746
0337 The University College of Osteopathy Estimated Incoming Antibody Pos,0.0,0.40158333334999996,0.23041666665000002,0.4871666667,0.6978333332999999,3.0283333335000004,34.819250000000004,4.37791666635,0.316,,44.35849999985
0112 The University of Bristol Estimated Incoming Antibody Pos,12.455666667400001,78.30875000325,26.03708333145,35.319583335749996,80.2508333295,87.82166667150001,587.06875,189.86333331959997,139.356,,1236.48166665845
0113 Brunel University London Estimated Incoming Antibody Pos,1.41541666675,9.6380000004,3.45624999975,6.820333333799999,13.607749999349998,50.57316666945001,1064.82125,76.4983333278,8.532,,1235.3624999973
0009 Buckinghamshire New University Estimated Incoming Antibody Pos,3.3970000002000003,39.75675000165,9.907916665950001,15.5893333344,54.430999997399994,66.62333333700002,579.781,141.70624998975,10.112,,921.3045833263499
0203 The University of Buckingham Estimated Incoming Antibody Pos,0.8492500000500001,4.0158333335,2.53458333315,6.3331666670999995,9.071833332899999,21.50116666785,76.1165,36.405833330700005,3.4760000000000004,,160.30416666525
0114 The University of Cambridge Estimated Incoming Antibody Pos,18.40041666775,70.27708333625,32.7191666643,32.88375000225,47.10374999774999,156.86766667530003,521.479,117.05166665819999,29.23,,1026.0125000018002
0188 The Institute of Cancer Research Estimated Incoming Antibody Pos,0.0,0.40158333334999996,0.0,0.24358333335,0.0,0.9085000000500001,22.673000000000002,2.07374999985,0.158,,26.458416666600005
0012 Canterbury Christ Church University Estimated Incoming Antibody Pos,1.41541666675,6.425333333599999,2.3041666665,4.8716666669999995,5.582666666399999,66.92616667035001,437.265,412.67624997015,4.582000000000001,,942.0486666407501
0179 Cardiff University Estimated Incoming Antibody Pos,5.0955000003,49.394750002049996,13.59458333235,24.358333334999998,109.5598333281,43.910833335750006,209.72525000000002,140.0933333232,135.09,,730.8224166567501
0089 Cardiff Metropolitan University Estimated Incoming Antibody Pos,1.41541666675,12.0475000005,3.6866666664000003,5.602416667049999,33.14708333175,9.085000000500001,21.863249999999997,23.041666664999997,47.084,,156.97299999795
0053 The University of Central Lancashire Estimated Incoming Antibody Pos,12.73875000075,1275.02708338625,41.9358333303,15.832916667749998,33.14708333175,17.564333334300002,57.492250000000006,15.2074999989,6.636,,1475.5817500500002
0011 University of Chester Estimated Incoming Antibody Pos,8.4925000005,557.79925002315,23.272083331650002,17.538000001199997,121.07408332754999,14.838833334150001,34.0095,13.133749999050002,6.32,,796.47800001725
0082 The University of Chichester Estimated Incoming Antibody Pos,1.1323333334,4.8190000002,2.3041666665,7.063916667149999,8.025083332949999,17.564333334300002,50.204499999999996,165.4391666547,11.06,,267.6124999892
"0115 City, University of London Estimated Incoming Antibody Pos",1.9815833334500002,12.850666667199999,3.6866666664000003,7.063916667149999,11.863166666099998,62.38366667010001,1462.4085,48.61791666315,6.478000000000001,,1617.33408333355
0199 Conservatoire for Dance and Drama Estimated Incoming Antibody Pos,1.9815833334500002,5.22058333355,3.6866666664000003,2.1922500001499996,3.4891666664999996,4.845333333600001,38.05825,7.8341666661,3.16,,70.46799999975
0201 Courtauld Institute of Art Estimated Incoming Antibody Pos,0.0,1.20475000005,0.23041666665000002,0.4871666667,0.6978333332999999,1.5141666667500002,20.24375,2.3041666665,1.106,,27.78824999995
0056 Coventry University Estimated Incoming Antibody Pos,5.37858333365,38.5520000016,34.79291666415,96.4590000066,705.1605832996498,90.54716667165002,668.04375,85.94541666045001,18.328000000000003,,1743.20741663775
0002 Cranfield University Estimated Incoming Antibody Pos,1.6985000001000001,9.6380000004,3.45624999975,6.820333333799999,10.4674999995,19.987000001100004,53.4435,24.8849999982,18.802,,149.19808333285
0206 University for the Creative Arts Estimated Incoming Antibody Pos,0.8492500000500001,6.02375000025,2.99541666645,4.8716666669999995,9.071833332899999,20.592666667800003,142.516,89.63208332685001,6.162000000000001,,282.7146666613
0038 University of Cumbria Estimated Incoming Antibody Pos,21.5143333346,305.60491667934997,14.05541666565,6.3331666670999995,6.978333332999999,6.3595000003500015,89.88225,5.29958333295,3.002,,459.02950001299996
0068 De Montfort University Estimated Incoming Antibody Pos,6.510916667050001,44.575750001850004,26.958749998050003,370.246666692,180.38991665805,108.11150000595002,389.48974999999996,58.525833329099996,11.85,,1196.65908335205
0057 University of Derby Estimated Incoming Antibody Pos,6.510916667050001,40.55991666835,43.318333330200005,417.0146666952,181.436666658,46.03066666920001,61.541000000000004,23.272083331650002,8.058,,827.74225001965
0172 The University of Dundee Estimated Incoming Antibody Pos,8.209416667150002,16.46491666735,4.83874999965,3.4101666668999995,4.8848333331,6.662333333700001,25.102249999999998,6.9124999995,1.8960000000000001,,78.38116666735
