,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Total Regions
0170 The University of Aberdeen Estimated Incoming Antibody Pos,8.545166666299998,14.694,6.81375,5.372000000000001,5.0560000002,9.5853333329,39.394666674,9.90791666725,3.9104999999999994,,,103.27933334065
0095 Abertay University Estimated Incoming Antibody Pos,1.16524999995,1.8960000000000001,0.5925,0.632,1.26400000005,1.1059999999499999,1.7906666669999998,1.1323333334,0.6517499999999999,,,10.23050000035
0177 Aberystwyth University Estimated Incoming Antibody Pos,3.1073333331999997,36.024,8.59125,15.168000000000001,97.7493333372,19.9079999991,35.81333334,28.308333335,16.0765,,,260.7460833445
0213 AECC University College Estimated Incoming Antibody Pos,0.0,0.47400000000000003,0.5925,0.632,1.6853333334,1.84333333325,2.6860000005,4.812416666950001,4.56225,,,17.2878333341
0047 Anglia Ruskin University Estimated Incoming Antibody Pos,8.156749999649998,20.855999999999998,13.92375,51.192,21.0666666675,753.5546666326,1147.817333547,64.82608333715001,9.77625,,,2091.1695001839003
0108 Aston University Estimated Incoming Antibody Pos,5.049416666449999,40.29,12.14625,58.46,463.88800001835006,40.92199999815,257.856000048,40.48091666905,13.252249999999998,,,932.3448334000002
0178 Bangor University Estimated Incoming Antibody Pos,5.4378333330999995,130.35,17.47875,17.696,54.77333333550001,24.331999998900002,47.452666675500005,28.02525000165,12.383249999999999,,,337.92908334465
0048 Bath Spa University Estimated Incoming Antibody Pos,2.3304999999,13.272,4.74,12.008,35.813333334750006,29.493333332,68.04533334599999,72.4693333376,156.42,,,394.59183335025
0109 The University of Bath Estimated Incoming Antibody Pos,8.545166666299998,44.556000000000004,14.22,23.7,52.666666668750004,75.57666666325,262.33266671549995,162.77291667625002,85.37925,,,729.74933339005
0026 University of Bedfordshire Estimated Incoming Antibody Pos,1.16524999995,9.954,3.85125,48.98,92.27200000365,328.48199998514997,407.3766667425,77.56483333790001,3.69325,,,973.3392500691501
0184 Queen's University Belfast Estimated Incoming Antibody Pos,5.826249999749999,20.855999999999998,4.44375,5.688000000000001,8.426666667000001,8.47933333295,48.348000008999996,14.720333334200001,6.082999999999999,,,122.87133334289999
0127 Birkbeck College Estimated Incoming Antibody Pos,1.5536666665999999,4.74,3.25875,3.4760000000000004,7.584000000300001,46.083333331249996,1435.2193336005,45.293333336,4.7795,,,1551.98791693465
0052 Birmingham City University Estimated Incoming Antibody Pos,5.826249999749999,53.562,25.77375,105.86,1301.0773333848,54.562666664199995,173.694666699,60.0136666702,34.76,,,1815.1303334179502
0110 The University of Birmingham Estimated Incoming Antibody Pos,17.8671666659,145.99200000000002,60.73125,122.292,631.57866669165,153.3653333264,494.224000092,206.93391667885,85.81375,,,1918.7980834548
0200 University College Birmingham Estimated Incoming Antibody Pos,0.7768333332999999,7.11,4.1475,14.852,190.02133334085002,7.00466666635,30.441333338999996,6.510916667050001,3.9104999999999994,,,264.77508334655005
0007 Bishop Grosseteste University Estimated Incoming Antibody Pos,0.7768333332999999,2.37,23.99625,94.8,2.5280000001,15.11533333265,1.7906666669999998,1.6985000001000001,0.43449999999999994,,,143.51008333315002
0049 The University of Bolton Estimated Incoming Antibody Pos,2.7189166665499997,496.278,24.885,6.952000000000001,10.53333333375,5.1613333331,13.430000002500002,4.24625000025,2.82425,,,567.02908333615
0197 The Arts University Bournemouth Estimated Incoming Antibody Pos,1.16524999995,4.266,2.07375,5.372000000000001,10.9546666671,16.589999999249997,64.464000012,54.9181666699,35.41175,,,195.21558334819997
0050 Bournemouth University Estimated Incoming Antibody Pos,2.3304999999,11.85,5.3325,12.956000000000001,30.757333334550005,71.88999999674999,297.250666722,297.52058335085,225.94,,,955.8275834040501
0111 The University of Bradford Estimated Incoming Antibody Pos,6.214666666399999,93.37800000000001,340.39125,9.796,12.640000000500002,7.74199999965,31.3366666725,6.2278333337000005,2.1725,,,509.89891667275003
0051 The University of Brighton Estimated Incoming Antibody Pos,12.429333332799999,22.278000000000002,12.73875,24.648000000000003,30.757333334550005,125.71533332764999,556.0020001035,539.5568333651,51.05375,,,1375.1793334636
0337 The University College of Osteopathy Estimated Incoming Antibody Pos,0.0,0.47400000000000003,0.29625,0.632,0.8426666667,3.6866666665,38.499333340499994,5.37858333365,0.43449999999999994,,,50.244000007349996
0112 The University of Bristol Estimated Incoming Antibody Pos,17.090333332599997,92.43,33.47625,45.82,96.90666667050002,106.91333332849999,649.1166667875,233.26066668040002,191.61449999999996,,,1466.6284167995
0113 Brunel University London Estimated Incoming Antibody Pos,1.9420833332499998,11.376000000000001,4.44375,8.848,16.432000000650003,61.56733333055,1177.3633335525,93.98366667220002,11.731499999999999,,,1387.6876668891503
0009 Buckinghamshire New University Estimated Incoming Antibody Pos,4.6609999998,46.926,12.73875,20.224,65.72800000260001,81.106666663,641.058666786,174.09625001025,13.903999999999998,,,1060.4433334616501
0203 The University of Buckingham Estimated Incoming Antibody Pos,1.16524999995,4.74,3.25875,8.216000000000001,10.9546666671,26.17533333215,84.161333349,44.727166669300004,4.7795,,,188.17800001750004
0114 The University of Cambridge Estimated Incoming Antibody Pos,25.24708333225,82.95,42.0675,42.66,56.88000000225001,190.9693333247,576.594666774,143.8063333418,40.19125,,,1201.366166775
0188 The Institute of Cancer Research Estimated Incoming Antibody Pos,0.0,0.47400000000000003,0.0,0.316,0.0,1.1059999999499999,25.069333338,2.54775000015,0.21724999999999997,,,29.7303333381
0012 Canterbury Christ Church University Estimated Incoming Antibody Pos,1.9420833332499998,7.5840000000000005,2.9625,6.32,6.7413333336,81.47533332965,483.48000009000003,507.00225002985,6.30025,,,1103.80775011635
0179 Cardiff University Estimated Incoming Antibody Pos,6.991499999699999,58.302,17.47875,31.6,132.2986666719,53.456666664249994,231.8913333765,172.1146666768,185.74875,,,889.88233338915
0089 Cardiff Metropolitan University Estimated Incoming Antibody Pos,1.9420833332499998,14.22,4.74,7.268000000000001,40.02666666825,11.059999999499999,24.174000004499998,28.308333335,64.7405,,,196.4795833405
0053 The University of Central Lancashire Estimated Incoming Antibody Pos,17.47874999925,1504.95,53.9175,20.54,40.02666666825,21.3826666657,63.5686666785,18.6835000011,9.1245,,,1749.6722500128
0011 University of Chester Estimated Incoming Antibody Pos,11.652499999499998,658.3860000000001,29.92125,22.752000000000002,146.20266667245002,18.064666665849998,37.604000006999996,16.13575000095,8.69,,,949.4088333457503
0082 The University of Chichester Estimated Incoming Antibody Pos,1.5536666665999999,5.688000000000001,2.9625,9.164000000000001,9.690666667050001,21.3826666657,55.510666676999996,203.2538333453,15.2075,,,324.41350002165
"0115 City, University of London Estimated Incoming Antibody Pos",2.7189166665499997,15.168000000000001,4.74,9.164000000000001,14.325333333900003,75.9453333299,1616.972000301,59.73058333685,8.90725,,,1807.6714169682
0199 Conservatoire for Dance and Drama Estimated Incoming Antibody Pos,2.7189166665499997,6.162000000000001,4.74,2.8440000000000003,4.2133333335000005,5.8986666664,42.0806666745,9.624833333900002,4.345,,,82.62741667485
0201 Courtauld Institute of Art Estimated Incoming Antibody Pos,0.0,1.4220000000000002,0.29625,0.632,0.8426666667,1.84333333325,22.383333337499998,2.8308333335,1.5207499999999998,,,31.771166670949995
0056 Coventry University Estimated Incoming Antibody Pos,7.379916666349999,45.504000000000005,44.73375,125.13600000000001,851.5146667003501,110.23133332834999,738.6500001375,105.59008333955,25.201,,,2053.9407501721003
0002 Cranfield University Estimated Incoming Antibody Pos,2.3304999999,11.376000000000001,4.44375,8.848,12.640000000500002,24.331999998900002,59.092000011,30.5730000018,25.852749999999997,,,179.4880000121
0206 University for the Creative Arts Estimated Incoming Antibody Pos,1.16524999995,7.11,3.85125,6.32,10.9546666671,25.0693333322,157.578666696,110.11941667315001,8.47275,,,330.64133336840007
0038 University of Cumbria Estimated Incoming Antibody Pos,29.519666665399996,360.714,18.07125,8.216000000000001,8.426666667000001,7.74199999965,99.38200001850001,6.510916667050001,4.12775,,,542.7102500176001
0068 De Montfort University Estimated Incoming Antibody Pos,8.93358333295,52.614000000000004,34.66125,480.32,217.82933334195005,131.61399999405,430.6553334135,71.9031666709,16.29375,,,1444.82441675335
0057 University of Derby Estimated Incoming Antibody Pos,8.93358333295,47.874,55.695,540.9920000000001,219.09333334200005,56.0373333308,68.04533334599999,28.591416668350004,11.079749999999999,,,1036.3417500201003
0172 The University of Dundee Estimated Incoming Antibody Pos,11.264083332849998,19.434,6.22125,4.424,5.898666666900001,8.1106666663,27.755333338499998,8.4925000005,2.6069999999999998,,,94.20750000505
0116 University of Durham Estimated Incoming Antibody Pos,154.5898333267,117.07800000000002,67.24875,42.34400000000001,54.35200000215001,97.69666666225,325.901333394,127.38750000750001,33.67375,,,1020.2718333926001
0117 The University of East Anglia Estimated Incoming Antibody Pos,8.93358333295,21.804000000000002,17.1825,42.028,24.858666667650006,565.16599997445,344.70333339750005,103.04233333940002,16.9455,,,1144.6639167119502
0058 The University of East London Estimated Incoming Antibody Pos,2.7189166665499997,13.746000000000002,5.3325,8.848,13.061333333850003,80.73799999635,1511.322666948,40.197833335700004,6.951999999999999,,,1682.91725028045
0016 Edge Hill University Estimated Incoming Antibody Pos,8.93358333295,1000.614,25.18125,12.956000000000001,34.97066666805,8.47933333295,14.325333335999998,7.64325000045,3.9104999999999994,,,1117.0139166704
0107 Edinburgh Napier University Estimated Incoming Antibody Pos,10.487249999549999,7.5840000000000005,3.555,2.212,2.9493333334500007,2.9493333332,8.953333335,2.8308333335,1.5207499999999998,,,43.041833334699994
0167 The University of Edinburgh Estimated Incoming Antibody Pos,36.51116666509999,91.00800000000001,46.8075,27.176,29.493333334500004,58.249333330700004,353.6566667325,90.86975000535001,35.84625,,,769.61800006815
0118 The University of Essex Estimated Incoming Antibody Pos,3.8841666664999996,15.168000000000001,8.295,15.8,21.9093333342,311.52333331924996,652.6980001215001,72.75241667095001,13.252249999999998,,,1115.2825001124
0119 The University of Exeter Estimated Incoming Antibody Pos,5.4378333330999995,35.55,15.405,30.652,85.53066667005001,113.54933332819999,419.016000078,253.92575001495004,248.96849999999998,,,1208.0350834243002
0017 Falmouth University Estimated Incoming Antibody Pos,3.1073333331999997,18.012,7.11,13.904000000000002,33.285333334650005,33.54866666515,109.230666687,60.29675000355,86.9,,,365.39475002355005
0229 The National Film and Television School Estimated Incoming Antibody Pos,0.0,0.47400000000000003,0.29625,0.632,0.8426666667,1.1059999999499999,15.220666669499998,1.9815833334500002,0.43449999999999994,,,20.987666669599996
0106 Glasgow Caledonian University Estimated Incoming Antibody Pos,1.5536666665999999,5.688000000000001,2.07375,1.264,2.1066666667500002,3.31799999985,20.592666670499998,3.9631666669000003,1.5207499999999998,,,42.0806666706
0097 Glasgow School of Art Estimated Incoming Antibody Pos,2.3304999999,6.162000000000001,2.9625,1.58,1.6853333334,3.31799999985,22.383333337499998,3.9631666669000003,1.9552499999999997,,,46.34008333755
