,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Total Regions
0170 The University of Aberdeen Estimated Incoming Antibody Pos,5.5,10.23,4.485,3.57,3.48,6.63,28.6,6.825,2.5199999999999996,,,71.84
0095 Abertay University Estimated Incoming Antibody Pos,0.75,1.32,0.39,0.42,0.87,0.765,1.3,0.78,0.42,,,7.015000000000001
0177 Aberystwyth University Estimated Incoming Antibody Pos,2.0,25.08,5.655,10.08,67.28,13.77,26.0,19.5,10.36,,,179.72500000000002
0213 AECC University College Estimated Incoming Antibody Pos,0.0,0.33,0.39,0.42,1.16,1.275,1.95,3.315,2.94,,,11.78
0047 Anglia Ruskin University Estimated Incoming Antibody Pos,5.25,14.52,9.165,34.02,14.5,521.22,833.3,44.655,6.3,,,1482.9299999999998
0108 Aston University Estimated Incoming Antibody Pos,3.25,28.05,7.995,38.85,319.29,28.305,187.2,27.885,8.54,,,649.365
0178 Bangor University Estimated Incoming Antibody Pos,3.5,90.75,11.505,11.76,37.7,16.83,34.45,19.305,7.98,,,233.78
0048 Bath Spa University Estimated Incoming Antibody Pos,1.5,9.24,3.12,7.98,24.65,20.4,49.4,49.92,100.8,,,267.01
0109 The University of Bath Estimated Incoming Antibody Pos,5.5,31.02,9.36,15.75,36.25,52.275,190.45,112.125,55.02,,,507.75
0026 University of Bedfordshire Estimated Incoming Antibody Pos,0.75,6.93,2.535,32.55,63.51,227.205,295.75,53.43,2.38,,,685.04
0184 Queen's University Belfast Estimated Incoming Antibody Pos,3.75,14.52,2.925,3.78,5.8,5.865,35.1,10.14,3.92,,,85.8
0127 Birkbeck College Estimated Incoming Antibody Pos,1.0,3.3,2.145,2.31,5.22,31.875,1041.95,31.2,3.08,,,1122.0800000000002
0052 Birmingham City University Estimated Incoming Antibody Pos,3.75,37.29,16.965,70.35,895.52,37.739999999999995,126.1,41.34,22.4,,,1251.4550000000002
0110 The University of Birmingham Estimated Incoming Antibody Pos,11.5,101.64,39.975,81.27,434.71,106.08,358.8,142.545,55.3,,,1331.82
