,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Total Regions
0170 The University of Aberdeen Estimated Incoming Antibody Pos,4.73,9.455,4.025,3.145,3.18,5.98,27.06,6.125,2.16,,65.86
0095 Abertay University Estimated Incoming Antibody Pos,0.645,1.22,0.35,0.37,0.795,0.69,1.23,0.7,0.36,,6.36
0177 Aberystwyth University Estimated Incoming Antibody Pos,1.72,23.18,5.075,8.88,61.48,12.42,24.6,17.5,8.88,,163.735
0213 AECC University College Estimated Incoming Antibody Pos,0.0,0.305,0.35,0.37,1.06,1.15,1.845,2.975,2.52,,10.575
0047 Anglia Ruskin University Estimated Incoming Antibody Pos,4.515,13.42,8.225,29.97,13.25,470.12,788.43,40.075,5.4,,1373.4050000000002
0108 Aston University Estimated Incoming Antibody Pos,2.795,25.925,7.175,34.225,291.765,25.53,177.12,25.025,7.32,,596.88
0178 Bangor University Estimated Incoming Antibody Pos,3.01,83.875,10.325,10.36,34.45,15.179999999999998,32.595,17.325,6.84,,213.96
0048 Bath Spa University Estimated Incoming Antibody Pos,1.29,8.54,2.8,7.03,22.525,18.4,46.74,44.8,86.4,,238.52499999999998
0109 The University of Bath Estimated Incoming Antibody Pos,4.73,28.67,8.4,13.875,33.125,47.15,180.195,100.625,47.16,,463.93000000000006
0026 University of Bedfordshire Estimated Incoming Antibody Pos,0.645,6.405,2.275,28.675,58.035,204.93,279.825,47.95,2.04,,630.78
0184 Queen's University Belfast Estimated Incoming Antibody Pos,3.225,13.42,2.625,3.33,5.3,5.29,33.21,9.1,3.36,,78.86
0127 Birkbeck College Estimated Incoming Antibody Pos,0.86,3.05,1.925,2.035,4.77,28.75,985.845,28.0,2.64,,1057.875
0052 Birmingham City University Estimated Incoming Antibody Pos,3.225,34.465,15.225,61.975,818.32,34.03999999999999,119.31,37.1,19.2,,1142.8600000000001
0110 The University of Birmingham Estimated Incoming Antibody Pos,9.89,93.94,35.875,71.595,397.235,95.68,339.48,127.925,47.4,,1219.0200000000002
0200 University College Birmingham Estimated Incoming Antibody Pos,0.43,4.575,2.45,8.695,119.515,4.369999999999999,20.91,4.025,2.16,,167.13
0007 Bishop Grosseteste University Estimated Incoming Antibody Pos,0.43,1.525,14.175,55.5,1.59,9.43,1.23,1.05,0.24,,85.16999999999999
0049 The University of Bolton Estimated Incoming Antibody Pos,1.505,319.335,14.7,4.07,6.625,3.22,9.225,2.625,1.56,,362.86499999999995
0197 The Arts University Bournemouth Estimated Incoming Antibody Pos,0.645,2.745,1.225,3.145,6.89,10.35,44.28,33.95,19.56,,122.79
0050 Bournemouth University Estimated Incoming Antibody Pos,1.29,7.625,3.15,7.585,19.345,44.85,204.18,183.925,124.8,,596.75
0111 The University of Bradford Estimated Incoming Antibody Pos,3.44,60.085,201.075,5.735,7.95,4.829999999999999,21.525,3.85,1.2,,309.69
0051 The University of Brighton Estimated Incoming Antibody Pos,6.88,14.335,7.525,14.43,19.345,78.42999999999999,381.915,333.55,28.2,,884.61
0337 The University College of Osteopathy Estimated Incoming Antibody Pos,0.0,0.305,0.175,0.37,0.53,2.3,26.445,3.325,0.24,,33.690000000000005
0112 The University of Bristol Estimated Incoming Antibody Pos,9.46,59.475,19.775,26.825,60.95,66.69999999999999,445.875,144.2,105.84,,939.1
0113 Brunel University London Estimated Incoming Antibody Pos,1.075,7.32,2.625,5.18,10.335,38.41,808.725,58.1,6.48,,938.2500000000001
0009 Buckinghamshire New University Estimated Incoming Antibody Pos,2.58,30.195,7.525,11.84,41.34,50.6,440.34,107.625,7.68,,699.7249999999999
0203 The University of Buckingham Estimated Incoming Antibody Pos,0.645,3.05,1.925,4.81,6.89,16.33,57.81,27.65,2.64,,121.75000000000001
0114 The University of Cambridge Estimated Incoming Antibody Pos,13.975,53.375,24.85,24.975,35.775,119.13999999999999,396.06,88.9,22.2,,779.25
0188 The Institute of Cancer Research Estimated Incoming Antibody Pos,0.0,0.305,0.0,0.185,0.0,0.69,17.22,1.575,0.12,,20.095
0012 Canterbury Christ Church University Estimated Incoming Antibody Pos,1.075,4.88,1.75,3.7,4.24,50.83,332.1,313.425,3.48,,715.4800000000001
0179 Cardiff University Estimated Incoming Antibody Pos,3.87,37.515,10.325,18.5,83.21,33.349999999999994,159.28500000000003,106.4,102.6,,555.0550000000001
