,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Total Regions
0170 The University of Aberdeen Estimated Incoming Antibody Pos,6.49,11.16,5.175,4.08,3.84,7.28,29.92,7.525,2.97,,,78.44
0095 Abertay University Estimated Incoming Antibody Pos,0.885,1.44,0.45,0.48,0.96,0.84,1.36,0.86,0.495,,,7.77
0177 Aberystwyth University Estimated Incoming Antibody Pos,2.36,27.36,6.525,11.52,74.24,15.12,27.2,21.5,12.21,,,198.035
0213 AECC University College Estimated Incoming Antibody Pos,0.0,0.36,0.45,0.48,1.28,1.4,2.04,3.655,3.465,,,13.129999999999999
0047 Anglia Ruskin University Estimated Incoming Antibody Pos,6.195,15.84,10.575,38.88,16.0,572.32,871.76,49.235,7.425,,,1588.23
0108 Aston University Estimated Incoming Antibody Pos,3.835,30.6,9.225,44.4,352.32,31.08,195.84,30.745,10.065,,,708.1100000000001
0178 Bangor University Estimated Incoming Antibody Pos,4.13,99.0,13.275,13.44,41.6,18.479999999999997,36.04,21.285,9.405,,,256.655
0048 Bath Spa University Estimated Incoming Antibody Pos,1.77,10.08,3.6,9.12,27.2,22.4,51.68,55.04,118.8,,,299.69
0109 The University of Bath Estimated Incoming Antibody Pos,6.49,33.84,10.8,18.0,40.0,57.4,199.24,123.625,64.845,,,554.24
0026 University of Bedfordshire Estimated Incoming Antibody Pos,0.885,7.56,2.925,37.2,70.08,249.48,309.4,58.91,2.805,,,739.2449999999999
0184 Queen's University Belfast Estimated Incoming Antibody Pos,4.425,15.84,3.375,4.32,6.4,6.44,36.72,11.18,4.62,,,93.32
0127 Birkbeck College Estimated Incoming Antibody Pos,1.18,3.6,2.475,2.64,5.76,35.0,1090.04,34.4,3.63,,,1178.7250000000001
0052 Birmingham City University Estimated Incoming Antibody Pos,4.425,40.68,19.575,80.4,988.16,41.44,131.92,45.58,26.4,,,1378.58
0110 The University of Birmingham Estimated Incoming Antibody Pos,13.57,110.88,46.125,92.88,479.68,116.48,375.36,157.165,65.175,,,1457.3149999999998
0200 University College Birmingham Estimated Incoming Antibody Pos,0.59,5.4,3.15,11.28,144.32,5.32,23.12,4.945,2.97,,,201.095
0007 Bishop Grosseteste University Estimated Incoming Antibody Pos,0.59,1.8,18.225,72.0,1.92,11.48,1.36,1.29,0.33,,,108.99499999999999
0049 The University of Bolton Estimated Incoming Antibody Pos,2.065,376.92,18.9,5.28,8.0,3.92,10.2,3.225,2.145,,,430.655
0197 The Arts University Bournemouth Estimated Incoming Antibody Pos,0.885,3.24,1.575,4.08,8.32,12.6,48.96,41.71,26.895,,,148.26500000000001
0050 Bournemouth University Estimated Incoming Antibody Pos,1.77,9.0,4.05,9.84,23.36,54.6,225.76,225.965,171.6,,,725.945
0111 The University of Bradford Estimated Incoming Antibody Pos,4.72,70.92,258.525,7.44,9.6,5.88,23.8,4.73,1.65,,,387.26499999999993
0051 The University of Brighton Estimated Incoming Antibody Pos,9.44,16.92,9.675,18.72,23.36,95.48,422.28,409.79,38.775,,,1044.44
0337 The University College of Osteopathy Estimated Incoming Antibody Pos,0.0,0.36,0.225,0.48,0.64,2.8,29.24,4.085,0.33,,,38.15999999999999
0112 The University of Bristol Estimated Incoming Antibody Pos,12.98,70.2,25.425,34.8,73.6,81.19999999999999,493.0,177.16,145.53,,,1113.895
0113 Brunel University London Estimated Incoming Antibody Pos,1.475,8.64,3.375,6.72,12.48,46.76,894.2,71.38,8.91,,,1053.94
0009 Buckinghamshire New University Estimated Incoming Antibody Pos,3.54,35.64,9.675,15.36,49.92,61.6,486.88,132.225,10.56,,,805.4
0203 The University of Buckingham Estimated Incoming Antibody Pos,0.885,3.6,2.475,6.24,8.32,19.88,63.92,33.97,3.63,,,142.92
0114 The University of Cambridge Estimated Incoming Antibody Pos,19.175,63.0,31.95,32.4,43.2,145.04,437.92,109.22,30.525,,,912.43
0188 The Institute of Cancer Research Estimated Incoming Antibody Pos,0.0,0.36,0.0,0.24,0.0,0.84,19.04,1.935,0.165,,,22.58
0012 Canterbury Christ Church University Estimated Incoming Antibody Pos,1.475,5.76,2.25,4.8,5.12,61.88,367.2,385.065,4.785,,,838.3349999999999
0179 Cardiff University Estimated Incoming Antibody Pos,5.31,44.28,13.275,24.0,100.48,40.599999999999994,176.12,130.72,141.075,,,675.8600000000001
0089 Cardiff Metropolitan University Estimated Incoming Antibody Pos,1.475,10.8,3.6,5.52,30.4,8.4,18.36,21.5,49.17,,,149.225
0053 The University of Central Lancashire Estimated Incoming Antibody Pos,13.275,1143.0,40.95,15.6,30.4,16.24,48.28,14.19,6.93,,,1328.865
0011 University of Chester Estimated Incoming Antibody Pos,8.85,500.04,22.725,17.28,111.04,13.72,28.56,12.255,6.6,,,721.07
0082 The University of Chichester Estimated Incoming Antibody Pos,1.18,4.32,2.25,6.96,7.36,16.24,42.16,154.37,11.55,,,246.39000000000001
"0115 City, University of London Estimated Incoming Antibody Pos",2.065,11.52,3.6,6.96,10.88,57.68,1228.08,45.365,6.765,,,1372.915
0199 Conservatoire for Dance and Drama Estimated Incoming Antibody Pos,2.065,4.68,3.6,2.16,3.2,4.48,31.96,7.31,3.3,,,62.754999999999995
0201 Courtauld Institute of Art Estimated Incoming Antibody Pos,0.0,1.08,0.225,0.48,0.64,1.4,17.0,2.15,1.155,,,24.13
0056 Coventry University Estimated Incoming Antibody Pos,5.605,34.56,33.975,95.04,646.72,83.72,561.0,80.195,19.14,,,1559.9550000000002
0002 Cranfield University Estimated Incoming Antibody Pos,1.77,8.64,3.375,6.72,9.6,18.479999999999997,44.88,23.22,19.635,,,136.32
0206 University for the Creative Arts Estimated Incoming Antibody Pos,0.885,5.4,2.925,4.8,8.32,19.04,119.68,83.635,6.435,,,251.12
0038 University of Cumbria Estimated Incoming Antibody Pos,22.42,273.96,13.725,6.24,6.4,5.88,75.48,4.945,3.135,,,412.18499999999995
0068 De Montfort University Estimated Incoming Antibody Pos,6.785,39.96,26.325,364.8,165.44,99.96,327.08,54.61,12.375,,,1097.335
0057 University of Derby Estimated Incoming Antibody Pos,6.785,36.36,42.3,410.88,166.4,42.56,51.68,21.715,8.415,,,787.095
0172 The University of Dundee Estimated Incoming Antibody Pos,8.555,14.76,4.725,3.36,4.48,6.16,21.08,6.45,1.98,,,71.55
0116 University of Durham Estimated Incoming Antibody Pos,117.41,88.92,51.075,32.16,41.28,74.19999999999999,247.52,96.75,25.575,,,774.8900000000001
0117 The University of East Anglia Estimated Incoming Antibody Pos,6.785,16.56,13.05,31.92,18.88,429.24,261.8,78.26,12.87,,,869.3650000000001
0058 The University of East London Estimated Incoming Antibody Pos,2.065,10.44,4.05,6.72,9.92,61.32,1147.84,30.53,5.28,,,1278.165
0016 Edge Hill University Estimated Incoming Antibody Pos,6.785,759.96,19.125,9.84,26.56,6.44,10.88,5.805,2.97,,,848.365
0107 Edinburgh Napier University Estimated Incoming Antibody Pos,7.965,5.76,2.7,1.68,2.24,2.24,6.8,2.15,1.155,,,32.69
0167 The University of Edinburgh Estimated Incoming Antibody Pos,27.73,69.12,35.55,20.64,22.4,44.24,268.6,69.015,27.225,,,584.5200000000001
0118 The University of Essex Estimated Incoming Antibody Pos,2.95,11.52,6.3,12.0,16.64,236.6,495.72,55.255,10.065,,,847.0500000000001
0119 The University of Exeter Estimated Incoming Antibody Pos,4.13,27.0,11.7,23.28,64.96,86.24,318.24,192.855,189.09,,,917.4950000000001
0017 Falmouth University Estimated Incoming Antibody Pos,2.36,13.68,5.4,10.56,25.28,25.48,82.96,45.795,66.0,,,277.515
0229 The National Film and Television School Estimated Incoming Antibody Pos,0.0,0.36,0.225,0.48,0.64,0.84,11.56,1.505,0.33,,,15.940000000000001
0106 Glasgow Caledonian University Estimated Incoming Antibody Pos,1.18,4.32,1.575,0.96,1.6,2.5199999999999996,15.64,3.01,1.155,,,31.959999999999997
0097 Glasgow School of Art Estimated Incoming Antibody Pos,1.77,4.68,2.25,1.2,1.28,2.5199999999999996,17.0,3.01,1.485,,,35.19499999999999
0168 The University of Glasgow Estimated Incoming Antibody Pos,20.65,45.0,14.85,6.72,10.24,15.96,72.76,19.565,7.425,,,213.17000000000002
0054 University of Gloucestershire Estimated Incoming Antibody Pos,1.77,9.0,4.275,12.0,62.08,19.88,32.64,34.615,134.64,,,310.9
0087 Glyndŵr University Estimated Incoming Antibody Pos,0.59,39.96,1.125,0.96,25.6,1.4,8.84,0.86,0.66,,,79.995
0131 Goldsmiths College Estimated Incoming Antibody Pos,3.245,14.76,5.85,7.68,12.48,30.24,659.6,38.27,12.87,,,784.995
0336 Gower College Swansea Estimated Incoming Antibody Pos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
0059 The University of Greenwich Estimated Incoming Antibody Pos,2.655,8.28,5.625,7.92,8.64,67.2,1139.68,127.495,7.92,,,1375.4150000000002
0208 Guildhall School of Music and Drama Estimated Incoming Antibody Pos,0.295,2.16,2.025,1.2,1.6,5.039999999999999,34.0,5.805,1.815,,,53.94
0018 Harper Adams University Estimated Incoming Antibody Pos,6.785,26.64,17.775,27.84,40.32,33.04,15.64,24.08,16.995,,,209.115
0352 Hartpury University Estimated Incoming Antibody Pos,0.885,2.88,1.575,3.6,15.36,4.48,8.16,11.18,19.8,,,67.92
0171 Heriot-Watt University Estimated Incoming Antibody Pos,8.555,15.48,5.625,2.88,4.16,7.84,21.76,7.31,2.145,,,75.755
0060 University of Hertfordshire Estimated Incoming Antibody Pos,4.13,14.4,6.75,24.48,19.52,441.28,952.0,82.775,10.56,,,1555.895
0061 The University of Huddersfield Estimated Incoming Antibody Pos,10.325,168.12,428.4,16.8,15.36,12.04,25.16,7.525,2.31,,,686.04
0120 The University of Hull Estimated Incoming Antibody Pos,25.665,55.8,414.225,45.36,22.08,30.52,75.48,18.92,4.62,,,692.6700000000001
"0132 Imperial College of Science, Technology and Medicine Estimated Incoming Antibody Pos",7.67,34.2,13.95,15.12,25.92,46.76,503.88,68.585,16.335,,,732.4200000000001
0121 Keele University Estimated Incoming Antibody Pos,7.08,99.36,19.575,29.04,281.28,32.2,115.6,31.39,10.725,,,626.25
0122 The University of Kent Estimated Incoming Antibody Pos,3.54,14.4,6.3,15.6,17.92,117.88,649.4,235.64,14.685,,,1075.3649999999998
0134 King's College London Estimated Incoming Antibody Pos,11.21,42.12,18.0,22.56,40.96,96.04,1466.08,140.61,31.68,,,1869.2600000000002
0063 Kingston University Estimated Incoming Antibody Pos,5.605,13.32,7.425,8.4,12.8,39.199999999999996,1119.28,119.325,17.655,,,1343.01
0123 The University of Lancaster Estimated Incoming Antibody Pos,15.635,314.64,37.35,19.68,41.28,28.28,78.2,30.1,10.395,,,575.56
0211 Leeds Arts University Estimated Incoming Antibody Pos,6.785,23.4,24.3,6.48,4.48,7.0,14.96,5.375,1.98,,,94.76
0064 Leeds Beckett University Estimated Incoming Antibody Pos,78.76500000000001,259.92,468.675,76.56,44.48,49.84,71.4,29.455,13.035,,,1092.13
0351 Leeds College of Music Estimated Incoming Antibody Pos,2.655,11.16,12.6,5.28,4.8,5.88,12.92,4.515,2.145,,,61.955000000000005
0124 The University of Leeds Estimated Incoming Antibody Pos,67.26,296.64,314.325,94.32,92.48,119.28,388.28,114.165,33.825,,,1520.575
0040 Leeds Trinity University Estimated Incoming Antibody Pos,10.325,24.12,103.275,7.92,4.48,6.44,6.12,2.795,1.155,,,166.63000000000002
0125 The University of Leicester Estimated Incoming Antibody Pos,8.26,42.84,26.1,144.48,91.84,73.07999999999998,308.72,56.975,13.2,,,765.495
0062 The University of Lincoln Estimated Incoming Antibody Pos,12.685,36.0,114.525,260.4,40.96,158.2,67.32,34.4,5.94,,,730.4300000000001
0023 Liverpool Hope University Estimated Incoming Antibody Pos,4.13,218.16,8.1,5.52,18.88,3.36,10.88,3.225,1.485,,,273.74
0065 Liverpool John Moores University Estimated Incoming Antibody Pos,14.75,996.12,40.725,25.2,83.52,17.64,38.08,16.985,7.59,,,1240.61
0209 The Liverpool Institute for Performing Arts Estimated Incoming Antibody Pos,0.885,15.48,2.7,2.4,4.48,1.96,6.12,2.365,0.825,,,37.215
0126 The University of Liverpool Estimated Incoming Antibody Pos,24.78,564.12,79.65,51.6,125.76,53.76,168.64,65.575,26.235,,,1160.12
0228 Liverpool School of Tropical Medicine Estimated Incoming Antibody Pos,0.295,7.2,0.675,0.48,0.64,0.56,2.72,1.075,0.495,,,14.139999999999999
0334 Grŵp Llandrillo Menai Estimated Incoming Antibody Pos,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.72
"0024 University of the Arts, London Estimated Incoming Antibody Pos",6.49,26.28,13.95,15.84,21.12,52.36,556.24,66.65,24.255,,,783.1850000000001
0135 London Business School Estimated Incoming Antibody Pos,0.0,0.36,0.0,0.24,0.64,0.84,52.36,1.29,0.0,,,55.73
0151 University of London (Institutes and activities) Estimated Incoming Antibody Pos,0.0,0.36,0.0,0.0,0.32,1.12,10.88,1.075,0.165,,,13.919999999999998
0202 London Metropolitan University Estimated Incoming Antibody Pos,2.065,7.92,3.825,5.04,7.04,33.88,854.76,24.94,4.125,,,943.595
0076 London South Bank University Estimated Incoming Antibody Pos,2.36,8.28,4.05,7.2,11.52,87.36,1505.52,79.98,8.745,,,1715.015
0137 London School of Economics and Political Science Estimated Incoming Antibody Pos,2.95,14.04,5.175,5.52,10.88,19.599999999999998,256.36,24.725,7.095,,,346.3450000000001
0138 London School of Hygiene and Tropical Medicine Estimated Incoming Antibody Pos,0.0,1.08,0.45,0.72,0.96,2.8,46.24,3.01,0.66,,,55.919999999999995
0152 Loughborough University Estimated Incoming Antibody Pos,10.325,55.8,28.125,90.48,74.24,101.36,274.72,101.48,26.235,,,762.7650000000001
0066 The Manchester Metropolitan University Estimated Incoming Antibody Pos,40.71000000000001,1266.84,132.525,70.8,118.4,39.48,93.84,39.13,22.11,,,1823.8349999999998
0204 The University of Manchester Estimated Incoming Antibody Pos,35.4,646.92,99.0,58.8,107.52,67.48,383.52,96.75,43.725,,,1539.1149999999998
0067 Middlesex University Estimated Incoming Antibody Pos,3.245,13.32,8.1,11.28,16.0,83.72,1476.96,47.085,8.085,,,1667.795
0154 Newcastle University Estimated Incoming Antibody Pos,308.57000000000005,192.24,146.025,68.16,39.04,71.96,184.28,70.52,21.945,,,1102.74
0028 Newman University Estimated Incoming Antibody Pos,0.295,1.44,1.125,2.88,162.56,1.4,5.44,1.075,0.825,,,177.04000000000002
0027 The University of Northampton Estimated Incoming Antibody Pos,2.36,8.28,5.625,195.6,51.2,66.36,253.64,59.555,4.95,,,647.57
0335 Grŵp NPTC Group Estimated Incoming Antibody Pos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
0069 University of Northumbria at Newcastle Estimated Incoming Antibody Pos,787.65,109.44,130.95,28.56,11.2,19.04,68.0,13.545,4.29,,,1172.675
0190 Norwich University of the Arts Estimated Incoming Antibody Pos,0.885,2.88,2.025,7.92,2.24,75.88,23.12,9.675,1.32,,,125.945
0155 University of Nottingham Estimated Incoming Antibody Pos,18.585,115.92,69.525,282.24,160.96,174.72,565.76,144.48,34.815,,,1567.005
0071 The Nottingham Trent University Estimated Incoming Antibody Pos,16.52,88.92,69.3,499.92,224.96,209.72,301.24,98.47,21.285,,,1530.3350000000003
0001 The Open University Estimated Incoming Antibody Pos,0.0,0.36,0.225,0.48,0.32,1.68,7.48,7.31,0.165,,,18.02
0072 Oxford Brookes University Estimated Incoming Antibody Pos,3.54,16.56,8.325,26.4,67.52,53.2,164.56,264.02,72.105,,,676.23
0156 The University of Oxford Estimated Incoming Antibody Pos,16.225,68.04,27.0,29.28,62.72,78.11999999999999,531.08,202.96,49.17,,,1064.5950000000003
