,Unnamed: 0,Total Regions,Total Regions from lower,Total Regions from upper,North East,North East from lower,North East from upper,North West,North West from lower,North West from upper,Yorkshire and The Humber,Yorkshire and The Humber from lower,Yorkshire and The Humber from upper,East Midlands,East Midlands from lower,East Midlands from upper,West Midlands,West Midlands from lower,West Midlands from upper,East of England,East of England from lower,East of England from upper,London,London from lower,London from upper,South East,South East from lower,South East from upper,South West,South West from lower,South West from upper,Wales,Wales from lower,Wales from upper,Scotland,Scotland from lower,Scotland from upper
0,0170 The University of Aberdeen Estimated Incoming Infection,17.841524999999994,2.4670588349,60.11874,0.45045,0.0873529415,1.56948,1.4508,0.465,3.5600400000000003,0.58305,0.14205882379999998,1.68084,0.215475,0.0449999996,0.6803400000000001,0.1053,0.0211764708,0.37584,0.22815,0.05735294110000001,0.7238399999999999,0.9867,0.2911764702,2.5264800000000003,0.34125,0.092647058,0.9744,0.12285,0.0317647062,0.40715999999999997,0.273,0.0494117648,0.91872,13.0845,1.1841176589,46.7016
1,0095 Abertay University Estimated Incoming Infection,7.32615,0.7500000062000001,25.80072,0.061425,0.011911764750000001,0.21402,0.1872,0.06,0.4593600000000001,0.0507,0.012352941199999998,0.14615999999999998,0.02535,0.0052941176,0.08004,0.026325,0.0052941177,0.09396,0.026325,0.006617647050000001,0.08352000000000001,0.04485,0.0132352941,0.11484,0.039000000000000014,0.0105882352,0.11136,0.020475000000000004,0.0052941177,0.06786,0.0,0.0,0.0,6.8445,0.6194117709,24.4296
2,0177 Aberystwyth University Estimated Incoming Infection,27.924975,5.9144117727999985,89.36291999999999,0.1638,0.031764706000000004,0.57072,3.5567999999999995,1.14,8.727839999999999,0.73515,0.1791176474,2.11932,0.6084,0.1270588224,1.9209599999999998,2.0358,0.4094117688,7.266239999999999,0.47385,0.1191176469,1.5033599999999998,0.897,0.264705882,2.2968,0.975,0.26470588,2.784,0.50505,0.1305882366,1.67388,17.915625,3.242647065,60.291,0.0585,0.0052941177,0.2088
3,0213 AECC University College Estimated Incoming Infection,0.6561750000000001,0.16588235295,1.9905599999999999,0.0,0.0,0.0,0.0468,0.015,0.11484,0.0507,0.012352941199999998,0.14615999999999998,0.02535,0.0052941176,0.08004,0.0351,0.007058823599999998,0.12527999999999995,0.04387499999999999,0.01102941175,0.1392,0.067275,0.01985294115,0.17226000000000002,0.16574999999999998,0.0449999996,0.47328000000000003,0.143325,0.0370588239,0.47502,0.06825,0.012352941199999998,0.22968,0.009750000000000002,0.0008823529499999998,0.0348
4,0047 Anglia Ruskin University Estimated Incoming Infection,55.94842499999999,15.3189705645,157.82148,0.429975,0.08338235325,1.4981400000000002,2.0592,0.66,5.0529600000000015,1.19145,0.29029411819999995,3.43476,2.05335,0.4288235256,6.48324,0.43875,0.08823529499999999,1.5659999999999998,17.9361,4.508823523399999,56.90495999999999,28.74885,8.483823518100001,73.61244,2.23275,0.6061764652,6.37536,0.30712500000000004,0.0794117655,1.0179,0.443625,0.08029411780000001,1.49292,0.10725,0.00970588245,0.3827999999999999
5,0108 Aston University Estimated Incoming Infection,27.546675,6.8276470698,83.98458000000001,0.266175,0.05161764725,0.92742,3.978,1.275,9.761400000000002,1.03935,0.2532352946,2.99628,2.344875,0.489705878,7.4037,9.661275,1.9429411959,34.48332,0.974025,0.24485294085000006,3.09024,6.4584,1.9058823504,16.53696,1.3942500000000002,0.3785294084,3.98112,0.416325,0.10764705990000001,1.37982,0.9555,0.17294117679999998,3.21552,0.0585,0.0052941177,0.2088
6,0178 Bangor University Estimated Incoming Infection,46.25205,10.59397059735,141.75432000000004,0.28665,0.0555882355,0.99876,12.87,4.125,31.581000000000003,1.49565,0.3644117654,4.311719999999999,0.7098,0.1482352928,2.24112,1.14075,0.229411767,4.0716,0.5791499999999999,0.14558823510000002,1.8374400000000002,1.188525,0.35073529365,3.04326,0.96525,0.2620588212,2.75616,0.389025,0.10058823630000001,1.28934,26.54925,4.8052941268,89.34552000000002,0.07800000000000001,0.007058823599999998,0.2784
7,0048 Bath Spa University Estimated Incoming Infection,16.665675000000004,4.10294118445,51.737159999999996,0.12285,0.023823529500000003,0.42804,1.3104,0.42,3.21552,0.4056,0.0988235296,1.16928,0.48165,0.1005882344,1.5207600000000001,0.745875,0.1500000015,2.6622,0.7019999999999998,0.176470588,2.2272,1.7043,0.5029411758,4.363919999999999,2.4960000000000004,0.6776470528,7.127039999999999,4.9140000000000015,1.270588248,16.2864,3.75375,0.6794117659999999,12.6324,0.02925,0.00264705885,0.1044
8,0109 The University of Bath Estimated Incoming Infection,29.549325,7.665882346250001,86.33706000000002,0.45045,0.0873529415,1.56948,4.3992,1.41,10.79496,1.2168,0.2964705888,3.5078400000000003,0.950625,0.19852941,3.0015,1.096875,0.2205882375,3.915,1.7988749999999998,0.45220588175,5.7071999999999985,6.570525,1.93897058565,16.824060000000006,5.60625,1.52205881,16.008,2.6822250000000003,0.6935294187000001,8.889660000000001,4.57275,0.8276470603999999,15.388560000000002,0.20475,0.01852941195,0.7308
9,0026 University of Bedfordshire Estimated Incoming Infection,26.3133,6.97632351715,76.41036000000003,0.061425,0.011911764750000001,0.21402,0.9828,0.315,2.41164,0.32955,0.08029411780000001,0.95004,1.964625,0.410294114,6.203099999999999,1.921725,0.3864705921,6.859079999999999,7.818524999999998,1.96544117385,24.80544,10.203375,3.01102940775,26.1261,2.6715000000000004,0.7252941112000001,7.6281599999999985,0.116025,0.0300000003,0.38454,0.20475,0.0370588236,0.6890400000000001,0.039000000000000014,0.003529411799999999,0.1392
