,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Total Regions
0170 The University of Aberdeen Estimated Incoming Infection,0.8897777779000002,1.88066666615,0.6644444447,0.442,0.1386666666,0.676,2.2880000000000003,0.7077777769999999,0.26000000009999996,0.11555555559999998,46.522666644299996,54.58555553234999
0095 Abertay University Estimated Incoming Infection,0.12133333335000002,0.2426666666,0.05777777779999999,0.052000000000000005,0.03466666665,0.07800000000000001,0.10400000000000001,0.08088888879999999,0.043333333349999996,0.0,24.3359999883,25.15066665485
0177 Aberystwyth University Estimated Incoming Infection,0.32355555560000004,4.6106666654,0.8377777780999999,1.2480000000000002,2.6808888876,1.4040000000000001,2.08,2.0222222199999997,1.0688888893,7.583333336249999,0.2079999999,24.067333332150003
0213 AECC University College Estimated Incoming Infection,0.0,0.06066666665,0.05777777779999999,0.052000000000000005,0.0462222222,0.13,0.15600000000000003,0.3437777774,0.30333333345,0.028888888899999996,0.03466666665,1.21333333305
0047 Anglia Ruskin University Estimated Incoming Infection,0.8493333334500001,2.6693333326,1.3577777783,4.212,0.5777777775,53.144000000000005,66.664,4.6308888838,0.6500000002499999,0.18777777784999997,0.38133333315,135.32422221689998
0108 Aston University Estimated Incoming Infection,0.5257777778500001,5.1566666652499995,1.1844444449,4.81,12.72266666055,2.886,14.976,2.8917777745999995,0.88111111145,0.4044444446,0.2079999999,46.646888879100004
0178 Bangor University Estimated Incoming Infection,0.5662222223000001,16.68333332875,1.7044444450999998,1.456,1.5022222214999998,1.716,2.7560000000000002,2.0019999978,0.82333333365,11.2377777821,0.2773333332,40.7246666644
0048 Bath Spa University Estimated Incoming Infection,0.24266666670000003,1.6986666661999998,0.46222222239999994,0.988,0.98222222175,2.08,3.952,5.176888883199999,10.400000003999999,1.5888888895,0.10399999995,27.6755555537
0109 The University of Bath Estimated Incoming Infection,0.8897777779000002,5.702666665100001,1.3866666671999999,1.95,1.4444444437500001,5.33,15.236,11.627777764999998,5.676666668849999,1.9355555562999998,0.72799999965,51.90755554375001
0026 University of Bedfordshire Estimated Incoming Infection,0.12133333335000002,1.27399999965,0.37555555569999993,4.03,2.53066666545,23.166,23.66,5.5408888828,0.24555555564999998,0.08666666669999999,0.1386666666,61.1693333259
0184 Queen's University Belfast Estimated Incoming Infection,0.6066666667500001,2.6693333326,0.4333333335,0.468,0.23111111100000004,0.5980000000000001,2.8080000000000003,1.0515555544,0.4044444446,0.18777777784999997,0.86666666625,10.324888886950001
0127 Birkbeck College Estimated Incoming Infection,0.16177777780000002,0.6066666665,0.3177777779,0.28600000000000003,0.2079999999,3.25,83.35600000000001,3.2355555519999997,0.3177777779,0.08666666669999999,0.0693333333,91.895555552
0052 Birmingham City University Estimated Incoming Infection,0.6066666667500001,6.855333331450001,2.5133333343,8.71,35.6835555384,3.8480000000000003,10.088000000000001,4.287111106399999,2.311111112,0.91000000035,0.51999999975,76.33311108939999
0110 The University of Birmingham Estimated Incoming Infection,1.8604444447000004,18.6853333282,5.9222222245000005,10.062000000000001,17.32177776945,10.816,28.704,14.7824444282,5.70555555775,2.2822222231,0.65866666635,116.80066664225001
0200 University College Birmingham Estimated Incoming Infection,0.08088888890000001,0.9099999997499999,0.4044444446,1.222,5.21155555305,0.494,1.768,0.4651111106,0.26000000009999996,0.15888888895,0.03466666665,11.0095555526
0007 Bishop Grosseteste University Estimated Incoming Infection,0.08088888890000001,0.30333333325,2.3400000009,7.8,0.0693333333,1.066,0.10400000000000001,0.12133333319999999,0.028888888899999996,0.028888888899999996,0.0,11.942666667349998
