,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Total Regions
0170 The University of Aberdeen Estimated Incoming Infection,0.30250000000000005,1.0230000000000001,0.3795,0.14025,0.033,0.28600000000000003,1.2100000000000002,0.385,0.099,0.022000000000000002,3.6905,7.57075
0095 Abertay University Estimated Incoming Infection,0.04125,0.132,0.033,0.0165,0.00825,0.033,0.055,0.044000000000000004,0.0165,0.0,1.9305,2.31
0177 Aberystwyth University Estimated Incoming Infection,0.11,2.508,0.47850000000000004,0.396,0.638,0.594,1.1,1.1,0.40700000000000003,1.44375,0.0165,8.79175
0213 AECC University College Estimated Incoming Infection,0.0,0.033,0.033,0.0165,0.011000000000000001,0.055,0.0825,0.187,0.1155,0.0055000000000000005,0.0027500000000000003,0.54175
0047 Anglia Ruskin University Estimated Incoming Infection,0.28875000000000006,1.4520000000000002,0.7755,1.3365,0.1375,22.484,35.255,2.519,0.2475,0.035750000000000004,0.03025,64.56174999999999
0108 Aston University Estimated Incoming Infection,0.17875,2.805,0.6765000000000001,1.52625,3.0277499999999997,1.2209999999999999,7.920000000000001,1.5730000000000002,0.33549999999999996,0.077,0.0165,19.357250000000004
0178 Bangor University Estimated Incoming Infection,0.1925,9.075,0.9735,0.462,0.3575,0.726,1.4575,1.089,0.3135,2.1395,0.022000000000000002,16.807999999999996
0048 Bath Spa University Estimated Incoming Infection,0.0825,0.924,0.264,0.3135,0.23375,0.88,2.0900000000000003,2.8160000000000003,3.96,0.3025,0.00825,11.874500000000001
0109 The University of Bath Estimated Incoming Infection,0.30250000000000005,3.102,0.792,0.61875,0.34375,2.255,8.057500000000001,6.325,2.1615,0.3685,0.05775,24.384249999999998
0026 University of Bedfordshire Estimated Incoming Infection,0.04125,0.693,0.2145,1.27875,0.6022500000000001,9.801,12.5125,3.014,0.0935,0.0165,0.011000000000000001,28.27825
0184 Queen's University Belfast Estimated Incoming Infection,0.20625,1.4520000000000002,0.2475,0.14850000000000002,0.055,0.253,1.485,0.5720000000000001,0.154,0.035750000000000004,0.06875,4.67775
0127 Birkbeck College Estimated Incoming Infection,0.055,0.33,0.18150000000000002,0.09075000000000001,0.0495,1.375,44.0825,1.76,0.121,0.0165,0.0055000000000000005,48.06725
0052 Birmingham City University Estimated Incoming Infection,0.20625,3.7290000000000005,1.4355000000000002,2.76375,8.492,1.6280000000000001,5.335,2.332,0.88,0.17325,0.04125,27.016000000000002
0110 The University of Birmingham Estimated Incoming Infection,0.6325000000000001,10.164000000000001,3.3825,3.19275,4.12225,4.5760000000000005,15.180000000000001,8.041,2.1725,0.43450000000000005,0.05225,51.950250000000004
0200 University College Birmingham Estimated Incoming Infection,0.0275,0.495,0.231,0.38775,1.24025,0.209,0.9350000000000002,0.253,0.099,0.03025,0.0027500000000000003,3.9105
0007 Bishop Grosseteste University Estimated Incoming Infection,0.0275,0.165,1.3365,2.475,0.0165,0.451,0.055,0.066,0.011000000000000001,0.0055000000000000005,0.0,4.608999999999999
0049 The University of Bolton Estimated Incoming Infection,0.09625,34.551,1.386,0.18150000000000002,0.06875,0.154,0.4125,0.165,0.07150000000000001,0.04675,0.011000000000000001,37.144250000000014
0197 The Arts University Bournemouth Estimated Incoming Infection,0.04125,0.29700000000000004,0.1155,0.14025,0.07150000000000001,0.495,1.9800000000000002,2.134,0.8965000000000001,0.03025,0.0055000000000000005,6.20675
0050 Bournemouth University Estimated Incoming Infection,0.0825,0.825,0.29700000000000004,0.33825000000000005,0.20074999999999998,2.145,9.13,11.561,5.72,0.099,0.01925,30.417749999999995
0111 The University of Bradford Estimated Incoming Infection,0.22,6.501,18.9585,0.25575000000000003,0.0825,0.231,0.9625000000000001,0.242,0.055,0.022000000000000002,0.00825,27.5385
0051 The University of Brighton Estimated Incoming Infection,0.44,1.551,0.7095,0.6435000000000001,0.20074999999999998,3.7510000000000003,17.0775,20.965999999999998,1.2925,0.10175000000000001,0.035750000000000004,46.76925
0337 The University College of Osteopathy Estimated Incoming Infection,0.0,0.033,0.0165,0.0165,0.0055000000000000005,0.11,1.1825,0.209,0.011000000000000001,0.0027500000000000003,0.0,1.58675
0112 The University of Bristol Estimated Incoming Infection,0.6050000000000001,6.435,1.8645000000000003,1.19625,0.6325,3.19,19.937500000000004,9.064,4.851,0.62425,0.10725,48.507250000000006
0113 Brunel University London Estimated Incoming Infection,0.06875,0.792,0.2475,0.231,0.10725,1.837,36.1625,3.6519999999999997,0.297,0.055,0.01375,43.463750000000005
0009 Buckinghamshire New University Estimated Incoming Infection,0.165,3.267,0.7095,0.528,0.429,2.42,19.69,6.765,0.35200000000000004,0.0495,0.02475,34.399750000000004
0203 The University of Buckingham Estimated Incoming Infection,0.04125,0.33,0.18150000000000002,0.2145,0.07150000000000001,0.7809999999999999,2.585,1.7380000000000002,0.121,0.01375,0.01375,6.0912500000000005
0114 The University of Cambridge Estimated Incoming Infection,0.8937500000000002,5.775,2.343,1.11375,0.37125,5.6979999999999995,17.71,5.587999999999999,1.0175,0.165,0.16774999999999998,40.842999999999996
