,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Total Regions
0170 The University of Aberdeen Estimated Incoming Infection,1.089,3.069,1.1384999999999998,0.5355,0.37799999999999995,1.4040000000000001,3.5640000000000005,2.6775,0.8909999999999999,0.32400000000000007,36.234,51.304500000000004
0095 Abertay University Estimated Incoming Infection,0.1485,0.396,0.099,0.063,0.09449999999999999,0.16200000000000003,0.16200000000000003,0.306,0.1485,0.0,18.954,20.5335
0177 Aberystwyth University Estimated Incoming Infection,0.396,7.524,1.4355000000000002,1.5119999999999998,7.308,2.9160000000000004,3.24,7.65,3.6630000000000003,21.2625,0.16200000000000003,57.068999999999996
0213 AECC University College Estimated Incoming Infection,0.0,0.099,0.099,0.063,0.126,0.27,0.243,1.3005000000000002,1.0395,0.08100000000000002,0.027000000000000003,3.3480000000000003
0047 Anglia Ruskin University Estimated Incoming Infection,1.0395,4.356,2.3265000000000002,5.103,1.575,110.376,103.84200000000001,17.518500000000003,2.2275,0.5265000000000001,0.29700000000000004,249.1875
0108 Aston University Estimated Incoming Infection,0.6435,8.415,2.0295,5.8275,34.6815,5.994000000000001,23.328000000000003,10.9395,3.0195,1.1340000000000001,0.16200000000000003,96.174
0178 Bangor University Estimated Incoming Infection,0.693,27.225,2.9205,1.764,4.095,3.5640000000000005,4.293,7.5735,2.8215,31.509,0.21600000000000003,86.67450000000001
0048 Bath Spa University Estimated Incoming Infection,0.297,2.772,0.792,1.197,2.6775,4.32,6.156000000000001,19.584,35.64,4.455000000000001,0.08100000000000002,77.9715
0109 The University of Bath Estimated Incoming Infection,1.089,9.306000000000001,2.376,2.3625,3.9375,11.07,23.733,43.9875,19.4535,5.4270000000000005,0.5670000000000001,123.309
0026 University of Bedfordshire Estimated Incoming Infection,0.1485,2.079,0.6435,4.8825,6.8985,48.114000000000004,36.855000000000004,20.961,0.8415,0.243,0.10800000000000001,121.7745
0184 Queen's University Belfast Estimated Incoming Infection,0.7425,4.356,0.7425,0.5670000000000001,0.63,1.242,4.3740000000000006,3.978,1.386,0.5265000000000001,0.675,19.219499999999996
0127 Birkbeck College Estimated Incoming Infection,0.198,0.99,0.5445,0.3465,0.5670000000000001,6.75,129.84300000000002,12.24,1.089,0.243,0.054000000000000006,152.86500000000004
0052 Birmingham City University Estimated Incoming Infection,0.7425,11.187000000000001,4.3065,10.5525,97.272,7.992000000000001,15.714,16.218,7.92,2.5515,0.405,174.86100000000002
0110 The University of Birmingham Estimated Incoming Infection,2.2769999999999997,30.491999999999997,10.1475,12.1905,47.218500000000006,22.464000000000002,44.71200000000001,55.92150000000001,19.5525,6.399000000000001,0.513,251.88750000000005
0200 University College Birmingham Estimated Incoming Infection,0.099,1.485,0.693,1.4805000000000001,14.2065,1.026,2.7540000000000004,1.7595,0.8909999999999999,0.44550000000000006,0.027000000000000003,24.867
0007 Bishop Grosseteste University Estimated Incoming Infection,0.099,0.495,4.0095,9.45,0.18899999999999997,2.214,0.16200000000000003,0.45899999999999996,0.099,0.08100000000000002,0.0,17.257499999999997
0049 The University of Bolton Estimated Incoming Infection,0.3465,103.65299999999999,4.158,0.693,0.7875,0.7560000000000001,1.215,1.1475,0.6435,0.6885000000000001,0.10800000000000001,114.19650000000001
0197 The Arts University Bournemouth Estimated Incoming Infection,0.1485,0.8909999999999999,0.3465,0.5355,0.8190000000000001,2.43,5.832000000000001,14.841000000000001,8.0685,0.44550000000000006,0.054000000000000006,34.411500000000004
0050 Bournemouth University Estimated Incoming Infection,0.297,2.475,0.8909999999999999,1.2915,2.2995,10.53,26.892000000000003,80.4015,51.48,1.4580000000000002,0.18900000000000003,178.20449999999997
0111 The University of Bradford Estimated Incoming Infection,0.792,19.503,56.8755,0.9765,0.945,1.1340000000000001,2.835,1.683,0.495,0.32400000000000007,0.08100000000000002,85.644
0051 The University of Brighton Estimated Incoming Infection,1.584,4.6530000000000005,2.1285,2.457,2.2995,18.414,50.301,145.809,11.6325,1.4985000000000002,0.35100000000000003,241.12800000000001
0337 The University College of Osteopathy Estimated Incoming Infection,0.0,0.099,0.0495,0.063,0.063,0.54,3.483,1.4535,0.099,0.04050000000000001,0.0,5.8905
0112 The University of Bristol Estimated Incoming Infection,2.178,19.305,5.593500000000001,4.5675,7.245,15.66,58.725,63.036,43.659,9.1935,1.0530000000000002,230.2155
0113 Brunel University London Estimated Incoming Infection,0.2475,2.376,0.7425,0.882,1.2285,9.018,106.515,25.398000000000003,2.673,0.81,0.135,150.0255
0009 Buckinghamshire New University Estimated Incoming Infection,0.594,9.801,2.1285,2.016,4.914,11.88,57.996,47.0475,3.168,0.7290000000000001,0.243,140.517
0203 The University of Buckingham Estimated Incoming Infection,0.1485,0.99,0.5445,0.8190000000000001,0.8190000000000001,3.8340000000000005,7.614000000000001,12.087,1.089,0.2025,0.135,28.2825
0114 The University of Cambridge Estimated Incoming Infection,3.2175,17.325,7.029,4.2525,4.2525,27.972,52.16400000000001,38.862,9.1575,2.43,1.6470000000000002,168.30900000000003
0188 The Institute of Cancer Research Estimated Incoming Infection,0.0,0.099,0.0,0.0315,0.0,0.16200000000000003,2.2680000000000002,0.6884999999999999,0.0495,0.04050000000000001,0.0,3.3390000000000004
0012 Canterbury Christ Church University Estimated Incoming Infection,0.2475,1.584,0.495,0.63,0.504,11.934000000000001,43.74,137.01149999999998,1.4355000000000002,0.28350000000000003,0.10800000000000001,197.97299999999998
0179 Cardiff University Estimated Incoming Infection,0.8909999999999999,12.177,2.9205,3.15,9.891,7.83,20.979,46.512,42.3225,86.346,0.405,233.424
0089 Cardiff Metropolitan University Estimated Incoming Infection,0.2475,2.97,0.792,0.7245,2.9925,1.62,2.1870000000000003,7.65,14.751,49.005,0.18900000000000003,83.1285
0053 The University of Central Lancashire Estimated Incoming Infection,2.2275,314.325,9.009,2.0475,2.9925,3.1320000000000006,5.751,5.049,2.079,1.6605,0.54,348.8130000000001
0011 University of Chester Estimated Incoming Infection,1.485,137.511,4.9995,2.2680000000000002,10.9305,2.6460000000000004,3.4020000000000006,4.3605,1.98,14.256000000000002,0.18900000000000003,184.0275
0082 The University of Chichester Estimated Incoming Infection,0.198,1.188,0.495,0.9135,0.7245,3.1320000000000006,5.022,54.927,3.465,0.486,0.08100000000000002,70.632
"0115 City, University of London Estimated Incoming Infection",0.3465,3.168,0.792,0.9135,1.071,11.124,146.286,16.1415,2.0295,0.486,0.37800000000000006,182.736
0199 Conservatoire for Dance and Drama Estimated Incoming Infection,0.3465,1.287,0.792,0.28350000000000003,0.315,0.8640000000000001,3.8070000000000004,2.6010000000000004,0.99,0.32400000000000007,0.18900000000000003,11.799000000000001
0201 Courtauld Institute of Art Estimated Incoming Infection,0.0,0.297,0.0495,0.063,0.063,0.27,2.025,0.765,0.3465,0.04050000000000001,0.0,3.9195
0056 Coventry University Estimated Incoming Infection,0.9405,9.504,7.474500000000001,12.474,63.6615,16.146,66.825,28.5345,5.742000000000001,1.9035000000000002,0.16200000000000003,213.3675
0002 Cranfield University Estimated Incoming Infection,0.297,2.376,0.7425,0.882,0.945,3.5640000000000005,5.346,8.262,5.890499999999999,0.486,0.29700000000000004,29.088
0206 University for the Creative Arts Estimated Incoming Infection,0.1485,1.485,0.6435,0.63,0.8190000000000001,3.6720000000000006,14.256000000000002,29.758499999999998,1.9305,0.44550000000000006,0.135,53.9235
0038 University of Cumbria Estimated Incoming Infection,3.762,75.339,3.0195,0.8190000000000001,0.63,1.1340000000000001,8.991,1.7595,0.9405,0.44550000000000006,0.9180000000000001,97.758
0068 De Montfort University Estimated Incoming Infection,1.1384999999999998,10.989,5.7915,47.88,16.2855,19.278000000000002,38.961000000000006,19.431,3.7125,1.4985000000000002,0.18900000000000003,165.1545
0057 University of Derby Estimated Incoming Infection,1.1384999999999998,9.999,9.306000000000001,53.928000000000004,16.38,8.208,6.156000000000001,7.7265,2.5244999999999997,0.9315000000000001,0.18900000000000003,116.48700000000001
0172 The University of Dundee Estimated Incoming Infection,1.4355000000000002,4.059,1.0395,0.441,0.441,1.1880000000000002,2.511,2.295,0.594,0.243,46.11600000000001,60.36300000000001
0116 University of Durham Estimated Incoming Infection,19.701,24.453000000000003,11.236500000000001,4.221,4.0635,14.31,29.484,34.425,7.6725,2.1060000000000003,1.242,152.9145
0117 The University of East Anglia Estimated Incoming Infection,1.1384999999999998,4.553999999999999,2.8710000000000004,4.1895,1.8585,82.78200000000001,31.185,27.846,3.861,0.6885000000000001,0.243,161.217
0058 The University of East London Estimated Incoming Infection,0.3465,2.8710000000000004,0.8909999999999999,0.882,0.9765,11.826,136.728,10.863,1.584,0.44550000000000006,0.16200000000000003,167.57550000000003
0016 Edge Hill University Estimated Incoming Infection,1.1384999999999998,208.989,4.2075,1.2915,2.6145,1.242,1.2960000000000003,2.0655,0.8909999999999999,2.6325,0.135,226.50299999999996
0107 Edinburgh Napier University Estimated Incoming Infection,1.3365,1.584,0.594,0.2205,0.2205,0.43200000000000005,0.81,0.765,0.3465,0.16200000000000003,48.654,55.125
0167 The University of Edinburgh Estimated Incoming Infection,4.6530000000000005,19.008,7.821000000000001,2.7089999999999996,2.205,8.532,31.995,24.5565,8.1675,1.8225,55.91700000000001,167.3865
0118 The University of Essex Estimated Incoming Infection,0.495,3.168,1.386,1.575,1.6380000000000001,45.63,59.04900000000001,19.6605,3.0195,0.6075,0.16200000000000003,136.3905
0119 The University of Exeter Estimated Incoming Infection,0.693,7.425,2.574,3.0555000000000003,6.394500000000001,16.632,37.908,68.6205,56.727,6.8445,0.9990000000000001,207.87300000000002
0017 Falmouth University Estimated Incoming Infection,0.396,3.762,1.188,1.386,2.4885,4.914000000000001,9.882,16.2945,19.8,1.2960000000000003,0.16200000000000003,61.569
0229 The National Film and Television School Estimated Incoming Infection,0.0,0.099,0.0495,0.063,0.063,0.16200000000000003,1.3770000000000002,0.5355000000000001,0.099,0.0,0.027000000000000003,2.4750000000000005
0106 Glasgow Caledonian University Estimated Incoming Infection,0.198,1.188,0.3465,0.126,0.1575,0.486,1.8630000000000002,1.0710000000000002,0.3465,0.1215,74.736,80.64
0097 Glasgow School of Art Estimated Incoming Infection,0.297,1.287,0.495,0.1575,0.126,0.486,2.025,1.0710000000000002,0.44549999999999995,0.1215,4.995000000000001,11.5065
0168 The University of Glasgow Estimated Incoming Infection,3.465,12.375,3.267,0.882,1.008,3.0780000000000003,8.667,6.9615,2.2275,0.7290000000000001,90.28800000000001,132.948
0054 University of Gloucestershire Estimated Incoming Infection,0.297,2.475,0.9405,1.575,6.111000000000001,3.8340000000000005,3.888,12.316500000000001,40.391999999999996,4.657500000000001,0.08100000000000002,76.56750000000001
0087 Glyndŵr University Estimated Incoming Infection,0.099,10.989,0.2475,0.126,2.52,0.27,1.0530000000000002,0.306,0.198,30.942000000000004,0.0,46.7505
0131 Goldsmiths College Estimated Incoming Infection,0.5445,4.059,1.287,1.008,1.2285,5.832000000000001,78.57000000000001,13.617,3.861,0.6075,0.27,110.88450000000002
0336 Gower College Swansea Estimated Incoming Infection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0125,0.0,1.0125
0059 The University of Greenwich Estimated Incoming Infection,0.44549999999999995,2.2769999999999997,1.2375,1.0395,0.8504999999999999,12.96,135.756,45.3645,2.376,0.44550000000000006,0.16200000000000003,202.91400000000002
0208 Guildhall School of Music and Drama Estimated Incoming Infection,0.0495,0.594,0.44549999999999995,0.1575,0.1575,0.972,4.05,2.0655,0.5445,0.16200000000000003,0.16200000000000003,9.360000000000001
0018 Harper Adams University Estimated Incoming Infection,1.1384999999999998,7.3260000000000005,3.9105000000000003,3.654,3.969,6.372000000000001,1.8630000000000002,8.568000000000001,5.0985000000000005,2.6325,1.3770000000000002,45.909000000000006
0352 Hartpury University Estimated Incoming Infection,0.1485,0.792,0.3465,0.4725,1.5119999999999998,0.8640000000000001,0.972,3.978,5.94,1.2555,0.08100000000000002,16.362000000000002
0171 Heriot-Watt University Estimated Incoming Infection,1.4355000000000002,4.257,1.2375,0.37799999999999995,0.40950000000000003,1.5120000000000002,2.5920000000000005,2.6010000000000004,0.6435,0.28350000000000003,28.107000000000003,43.456500000000005
0060 University of Hertfordshire Estimated Incoming Infection,0.693,3.96,1.485,3.213,1.9215,85.10400000000001,113.4,29.4525,3.168,0.6480000000000001,0.32400000000000007,243.36900000000006
0061 The University of Huddersfield Estimated Incoming Infection,1.7325,46.233000000000004,94.24799999999999,2.205,1.5119999999999998,2.322,2.9970000000000003,2.6775,0.693,0.81,0.135,155.565
0120 The University of Hull Estimated Incoming Infection,4.3065,15.345,91.12950000000001,5.9535,2.1734999999999998,5.886,8.991,6.732,1.386,0.5670000000000001,0.18900000000000003,142.659
"0132 Imperial College of Science, Technology and Medicine Estimated Incoming Infection",1.287,9.405,3.069,1.9845,2.5515,9.018,60.021,24.403499999999998,4.9005,1.8630000000000002,1.107,119.60999999999999
0121 Keele University Estimated Incoming Infection,1.188,27.324,4.3065,3.8114999999999997,27.688499999999998,6.21,13.77,11.169,3.2175,2.025,0.21600000000000003,100.926
0122 The University of Kent Estimated Incoming Infection,0.594,3.96,1.386,2.0475,1.764,22.734,77.355,83.844,4.4055,0.7695000000000001,0.135,198.9945
0134 King's College London Estimated Incoming Infection,1.881,11.583,3.96,2.9610000000000003,4.032,18.522000000000002,174.63600000000002,50.031000000000006,9.504,2.0655,0.9180000000000001,280.09350000000006
0063 Kingston University Estimated Incoming Infection,0.9405,3.6630000000000003,1.6335,1.1025,1.26,7.56,133.326,42.4575,5.2965,0.9315000000000001,0.16200000000000003,198.333
0123 The University of Lancaster Estimated Incoming Infection,2.6235000000000004,86.52600000000001,8.217,2.583,4.0635,5.454000000000001,9.315000000000001,10.71,3.1185,2.673,0.4590000000000001,135.74250000000004
0211 Leeds Arts University Estimated Incoming Infection,1.1384999999999998,6.435,5.346,0.8504999999999999,0.441,1.35,1.7820000000000003,1.9125,0.594,0.28350000000000003,0.08100000000000002,20.214000000000002
0064 Leeds Beckett University Estimated Incoming Infection,13.216500000000002,71.47800000000001,103.1085,10.0485,4.3785,9.612,8.505,10.4805,3.9105000000000003,1.9035000000000002,0.5670000000000001,237.20850000000004
0351 Leeds College of Music Estimated Incoming Infection,0.44549999999999995,3.069,2.772,0.693,0.4725,1.1340000000000001,1.5390000000000001,1.6065,0.6435,0.16200000000000003,0.10800000000000001,12.645000000000001
0124 The University of Leeds Estimated Incoming Infection,11.286,81.57600000000001,69.1515,12.3795,9.1035,23.004,46.251000000000005,40.6215,10.1475,3.1995000000000005,0.8370000000000001,307.557
0040 Leeds Trinity University Estimated Incoming Infection,1.7325,6.632999999999999,22.7205,1.0395,0.441,1.242,0.7290000000000001,0.9945,0.3465,0.2025,0.054000000000000006,36.135000000000005
0125 The University of Leicester Estimated Incoming Infection,1.386,11.780999999999999,5.742000000000001,18.963,9.0405,14.094000000000001,36.774,20.2725,3.96,1.5390000000000001,0.135,123.68700000000001
0062 The University of Lincoln Estimated Incoming Infection,2.1285,9.9,25.195500000000003,34.1775,4.032,30.51,8.019,12.24,1.7819999999999998,0.8910000000000001,0.08100000000000002,128.95649999999998
0023 Liverpool Hope University Estimated Incoming Infection,0.693,59.994,1.7819999999999998,0.7245,1.8585,0.6480000000000001,1.2960000000000003,1.1475,0.44549999999999995,1.2555,0.054000000000000006,69.8985
0065 Liverpool John Moores University Estimated Incoming Infection,2.475,273.933,8.9595,3.3075,8.221499999999999,3.4020000000000006,4.5360000000000005,6.0435,2.2769999999999997,11.583000000000002,0.18900000000000003,324.927
0209 The Liverpool Institute for Performing Arts Estimated Incoming Infection,0.1485,4.257,0.594,0.315,0.441,0.37800000000000006,0.7290000000000001,0.8415,0.2475,0.28350000000000003,0.08100000000000002,8.315999999999999
0126 The University of Liverpool Estimated Incoming Infection,4.158,155.13299999999998,17.523,6.7725,12.3795,10.368000000000002,20.088,23.3325,7.8705,8.1,0.4590000000000001,266.184
0228 Liverpool School of Tropical Medicine Estimated Incoming Infection,0.0495,1.98,0.1485,0.063,0.063,0.10800000000000001,0.32400000000000007,0.3825,0.1485,0.1215,0.08100000000000002,3.4695
0334 Grŵp Llandrillo Menai Estimated Incoming Infection,0.0,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2995,0.0,11.4975
"0024 University of the Arts, London Estimated Incoming Infection",1.089,7.227,3.069,2.079,2.079,10.098,66.258,23.715,7.2764999999999995,1.0530000000000002,0.621,124.5645
0135 London Business School Estimated Incoming Infection,0.0,0.099,0.0,0.0315,0.063,0.16200000000000003,6.237,0.45899999999999996,0.0,0.0,0.027000000000000003,7.078499999999999
0151 University of London (Institutes and activities) Estimated Incoming Infection,0.0,0.099,0.0,0.0,0.0315,0.21600000000000003,1.2960000000000003,0.3825,0.0495,0.04050000000000001,0.027000000000000003,2.142000000000001
0202 London Metropolitan University Estimated Incoming Infection,0.3465,2.178,0.8415,0.6615000000000001,0.693,6.534000000000001,101.81700000000001,8.874,1.2375,0.36450000000000005,0.16200000000000003,123.70950000000002
0076 London South Bank University Estimated Incoming Infection,0.396,2.2769999999999997,0.8909999999999999,0.945,1.1340000000000001,16.848000000000003,179.334,28.458000000000002,2.6235000000000004,0.5265000000000001,0.08100000000000002,233.51399999999998
0137 London School of Economics and Political Science Estimated Incoming Infection,0.495,3.861,1.1384999999999998,0.7245,1.071,3.78,30.537000000000003,8.7975,2.1285,0.5265000000000001,0.27,53.32950000000001
