,Unnamed: 0,Total Regions,Total Regions from lower,Total Regions from upper,North East,North East from lower,North East from upper,North West,North West from lower,North West from upper,Yorkshire and The Humber,Yorkshire and The Humber from lower,Yorkshire and The Humber from upper,East Midlands,East Midlands from lower,East Midlands from upper,West Midlands,West Midlands from lower,West Midlands from upper,East of England,East of England from lower,East of England from upper,London,London from lower,London from upper,South East,South East from lower,South East from upper,South West,South West from lower,South West from upper,Wales,Wales from lower,Wales from upper,Scotland,Scotland from lower,Scotland from upper
0,0170 The University of Aberdeen Estimated Incoming Infection,9.1495,2.7960000000000003,17.2755,0.231,0.099,0.451,0.7439999999999999,0.527,1.023,0.29900000000000004,0.161,0.483,0.1105,0.051,0.1955,0.053999999999999986,0.024,0.10799999999999997,0.117,0.065,0.208,0.506,0.33,0.7260000000000001,0.175,0.105,0.28,0.063,0.036000000000000004,0.11699999999999999,0.14,0.056000000000000015,0.264,6.71,1.342,13.42
1,0095 Abertay University Estimated Incoming Infection,3.757,0.8500000000000001,7.414,0.0315,0.013499999999999998,0.061499999999999985,0.096,0.068,0.132,0.026,0.014000000000000002,0.042,0.013,0.006,0.023000000000000003,0.013499999999999998,0.006,0.027,0.013499999999999998,0.0075,0.024,0.023000000000000003,0.015,0.033,0.02,0.012,0.032,0.0105,0.006,0.019500000000000003,0.0,0.0,0.0,3.51,0.7020000000000001,7.02
2,0177 Aberystwyth University Estimated Incoming Infection,14.320499999999996,6.703000000000001,25.679000000000002,0.084,0.036000000000000004,0.16399999999999998,1.824,1.2920000000000005,2.508,0.377,0.203,0.609,0.3120000000000001,0.14400000000000002,0.552,1.0439999999999998,0.464,2.088,0.243,0.135,0.4320000000000001,0.46,0.3,0.66,0.5,0.3,0.8,0.259,0.14800000000000002,0.481,9.187499999999998,3.6750000000000007,17.325,0.03,0.006,0.06
3,0213 AECC University College Estimated Incoming Infection,0.3365,0.18800000000000006,0.5720000000000001,0.0,0.0,0.0,0.024,0.017,0.033,0.026,0.014000000000000002,0.042,0.013,0.006,0.023000000000000003,0.018000000000000002,0.008,0.036000000000000004,0.0225,0.0125,0.04,0.0345,0.0225,0.0495,0.085,0.051,0.136,0.07350000000000001,0.042,0.1365,0.035,0.014000000000000002,0.066,0.005,0.001,0.01
4,0047 Anglia Ruskin University Estimated Incoming Infection,28.6915,17.3615,45.351000000000006,0.2205,0.0945,0.4305,1.056,0.7480000000000001,1.4520000000000002,0.611,0.3290000000000001,0.987,1.053,0.486,1.863,0.225,0.1,0.45,9.198,5.11,16.352,14.743,9.615,21.153,1.145,0.687,1.8319999999999999,0.15750000000000006,0.09,0.2925,0.2275,0.091,0.429,0.055,0.011,0.11
5,0108 Aston University Estimated Incoming Infection,14.126499999999998,7.737999999999999,24.1335,0.1365,0.0585,0.2665,2.04,1.445,2.805,0.5329999999999999,0.28700000000000003,0.861,1.2025,0.555,2.1275,4.9545,2.202,9.909,0.4995,0.2775,0.888,3.312,2.16,4.752000000000002,0.715,0.429,1.144,0.2135,0.122,0.3965,0.49,0.196,0.924,0.03,0.006,0.06
6,0178 Bangor University Estimated Incoming Infection,23.719,12.0065,40.734,0.147,0.063,0.287,6.6,4.675000000000002,9.075,0.767,0.413,1.239,0.364,0.168,0.644,0.585,0.26,1.17,0.297,0.165,0.528,0.6095,0.3975,0.8745,0.495,0.297,0.792,0.19950000000000004,0.114,0.3705000000000001,13.615,5.4460000000000015,25.674,0.04,0.008,0.08
7,0048 Bath Spa University Estimated Incoming Infection,8.546500000000002,4.65,14.867,0.063,0.027,0.12299999999999997,0.672,0.476,0.924,0.208,0.11200000000000003,0.336,0.247,0.114,0.4370000000000001,0.3825,0.17,0.765,0.36,0.2,0.64,0.8740000000000001,0.57,1.254,1.28,0.768,2.048,2.5200000000000005,1.44,4.68,1.925,0.7700000000000001,3.63,0.015,0.003,0.03
8,0109 The University of Bath Estimated Incoming Infection,15.1535,8.688000000000002,24.8095,0.231,0.099,0.451,2.256,1.598,3.102,0.6240000000000001,0.336,1.008,0.4875,0.225,0.8625,0.5625,0.25,1.125,0.9225,0.5125,1.64,3.3695,2.1975,4.8345,2.875,1.725,4.6,1.3755000000000002,0.7859999999999999,2.5545,2.345,0.9380000000000002,4.4220000000000015,0.105,0.021,0.21
9,0026 University of Bedfordshire Estimated Incoming Infection,13.494000000000002,7.9065,21.957,0.0315,0.013499999999999998,0.061499999999999985,0.504,0.35700000000000004,0.693,0.16899999999999998,0.091,0.273,1.0075,0.465,1.7825,0.9855,0.4380000000000001,1.971,4.0095,2.2275,7.128000000000001,5.2325,3.4125,7.5075,1.37,0.8220000000000001,2.1919999999999997,0.0595,0.034,0.1105,0.105,0.042,0.198,0.02,0.004,0.04
10,0184 Queen's University Belfast Estimated Incoming Infection,3.0505,1.805,4.813500000000001,0.1575,0.0675,0.30749999999999994,1.056,0.7480000000000001,1.4520000000000002,0.195,0.10500000000000002,0.315,0.11699999999999999,0.053999999999999986,0.207,0.09,0.04,0.18,0.1035,0.0575,0.184,0.621,0.405,0.8910000000000001,0.26,0.156,0.416,0.098,0.056000000000000015,0.182,0.2275,0.091,0.429,0.125,0.025,0.25
11,0127 Birkbeck College Estimated Incoming Infection,20.566500000000005,13.237000000000002,30.02200000000001,0.042,0.018000000000000002,0.08199999999999999,0.24,0.17,0.33,0.14300000000000002,0.07700000000000001,0.231,0.07150000000000001,0.033,0.1265,0.081,0.036000000000000004,0.162,0.5625,0.3125,1.0,18.4345,12.0225,26.449500000000004,0.8,0.48,1.28,0.07700000000000001,0.044,0.14300000000000002,0.105,0.042,0.198,0.01,0.002,0.02
12,0052 Birmingham City University Estimated Incoming Infection,25.7685,13.0155,46.858000000000004,0.1575,0.0675,0.30749999999999994,2.712,1.9210000000000005,3.729000000000001,1.131,0.6090000000000001,1.827,2.1775,1.005,3.8525,13.896,6.176,27.792,0.6659999999999999,0.37,1.1840000000000002,2.2310000000000003,1.455,3.201,1.06,0.6359999999999999,1.696,0.56,0.32,1.04,1.1025,0.441,2.079,0.075,0.015,0.15
