,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Total Regions
0170 The University of Aberdeen Estimated Incoming Inf,0.044000000000000004,0.0775,0.0805,0.034,0.024,0.078,0.11,0.07,0.045,0.02,2.6839999999999997,3.267
0095 Abertay University Estimated Incoming Inf,0.006,0.01,0.007000000000000001,0.004,0.006,0.009,0.005,0.008,0.0075,0.0,1.4040000000000001,1.4665000000000001
0177 Aberystwyth University Estimated Incoming Inf,0.016,0.19,0.1015,0.096,0.46399999999999997,0.162,0.1,0.2,0.185,1.3125,0.012,2.839
0213 AECC University College Estimated Incoming Inf,0.0,0.0025,0.007000000000000001,0.004,0.008,0.015,0.0075,0.034,0.0525,0.005,0.002,0.1375
0047 Anglia Ruskin University Estimated Incoming Inf,0.042,0.11,0.16450000000000004,0.324,0.1,6.132,3.205,0.458,0.1125,0.0325,0.022000000000000002,10.7025
0108 Aston University Estimated Incoming Inf,0.026000000000000002,0.2125,0.14350000000000002,0.37,2.202,0.33299999999999996,0.72,0.28600000000000003,0.1525,0.07,0.012,4.5275
0178 Bangor University Estimated Incoming Inf,0.028000000000000004,0.6875,0.20650000000000002,0.11200000000000002,0.26,0.198,0.1325,0.198,0.1425,1.945,0.016,3.926
0048 Bath Spa University Estimated Incoming Inf,0.012,0.07,0.05600000000000001,0.07600000000000001,0.17,0.24,0.19,0.512,1.8,0.275,0.006,3.407
0109 The University of Bath Estimated Incoming Inf,0.044000000000000004,0.235,0.168,0.15,0.25,0.615,0.7325,1.15,0.9825,0.335,0.042,4.704
0026 University of Bedfordshire Estimated Incoming Inf,0.006,0.0525,0.045500000000000006,0.31,0.43800000000000006,2.673,1.1375,0.548,0.0425,0.015,0.008,5.276
0184 Queen's University Belfast Estimated Incoming Inf,0.03,0.11,0.05250000000000001,0.036000000000000004,0.04,0.06899999999999999,0.135,0.10400000000000001,0.07,0.0325,0.05,0.7290000000000001
0127 Birkbeck College Estimated Incoming Inf,0.008,0.025,0.038500000000000006,0.022000000000000002,0.036000000000000004,0.375,4.0075,0.32,0.055,0.015,0.004,4.905999999999999
0052 Birmingham City University Estimated Incoming Inf,0.03,0.2825,0.30450000000000005,0.67,6.176,0.444,0.485,0.424,0.4,0.1575,0.03,9.403500000000001
0110 The University of Birmingham Estimated Incoming Inf,0.09200000000000001,0.77,0.7175,0.774,2.998,1.248,1.38,1.4620000000000002,0.9875,0.395,0.038000000000000006,10.862000000000002
0200 University College Birmingham Estimated Incoming Inf,0.004,0.0375,0.049,0.094,0.902,0.057,0.085,0.046000000000000006,0.045,0.0275,0.002,1.3490000000000002
0007 Bishop Grosseteste University Estimated Incoming Inf,0.004,0.0125,0.28350000000000003,0.6,0.012,0.12299999999999998,0.005,0.012,0.005,0.005,0.0,1.0619999999999996
0049 The University of Bolton Estimated Incoming Inf,0.014000000000000002,2.6175,0.29400000000000004,0.044000000000000004,0.05,0.042,0.0375,0.03,0.0325,0.0425,0.008,3.212
0197 The Arts University Bournemouth Estimated Incoming Inf,0.006,0.0225,0.0245,0.034,0.052000000000000005,0.135,0.18,0.38800000000000007,0.4075,0.0275,0.004,1.2810000000000001
0050 Bournemouth University Estimated Incoming Inf,0.012,0.0625,0.063,0.08199999999999999,0.146,0.585,0.83,2.1020000000000003,2.6,0.09,0.014000000000000002,6.5865
0111 The University of Bradford Estimated Incoming Inf,0.032,0.4925,4.0215000000000005,0.062,0.06,0.063,0.0875,0.044000000000000004,0.025,0.02,0.006,4.913500000000001
0051 The University of Brighton Estimated Incoming Inf,0.064,0.1175,0.1505,0.156,0.146,1.023,1.5525,3.812,0.5875,0.0925,0.026000000000000002,7.7275
