,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Total Regions
0170 The University of Aberdeen Estimated Incoming Inf,0.011000000000000001,0.031,0.034499999999999996,0.0085,0.006,0.026000000000000002,0.044000000000000004,0.035,0.018000000000000002,0.004,0.6709999999999999,0.889
0095 Abertay University Estimated Incoming Inf,0.0015,0.004,0.003,0.001,0.0015,0.003,0.002,0.004,0.003,0.0,0.35100000000000003,0.37400000000000005
0177 Aberystwyth University Estimated Incoming Inf,0.004,0.07600000000000001,0.0435,0.024,0.11599999999999999,0.054000000000000006,0.04,0.1,0.07400000000000001,0.2625,0.003,0.797
0213 AECC University College Estimated Incoming Inf,0.0,0.001,0.003,0.001,0.002,0.005,0.003,0.017,0.021,0.001,0.0005,0.05450000000000001
0047 Anglia Ruskin University Estimated Incoming Inf,0.0105,0.044000000000000004,0.0705,0.081,0.025,2.044,1.2819999999999998,0.229,0.045,0.006500000000000001,0.0055000000000000005,3.843
0108 Aston University Estimated Incoming Inf,0.006500000000000001,0.085,0.06149999999999999,0.0925,0.5505,0.111,0.28800000000000003,0.14300000000000002,0.061000000000000006,0.014000000000000002,0.003,1.416
0178 Bangor University Estimated Incoming Inf,0.007000000000000001,0.275,0.0885,0.028000000000000004,0.065,0.066,0.053,0.099,0.057,0.389,0.004,1.1315
0048 Bath Spa University Estimated Incoming Inf,0.003,0.028000000000000004,0.024,0.019000000000000003,0.0425,0.08,0.07600000000000001,0.256,0.72,0.055,0.0015,1.305
0109 The University of Bath Estimated Incoming Inf,0.011000000000000001,0.094,0.072,0.0375,0.0625,0.205,0.293,0.575,0.393,0.067,0.0105,1.8204999999999998
0026 University of Bedfordshire Estimated Incoming Inf,0.0015,0.021,0.0195,0.0775,0.10950000000000001,0.8910000000000001,0.455,0.274,0.017,0.003,0.002,1.871
0184 Queen's University Belfast Estimated Incoming Inf,0.0075,0.044000000000000004,0.0225,0.009000000000000001,0.01,0.023000000000000003,0.054000000000000006,0.052000000000000005,0.028000000000000004,0.006500000000000001,0.0125,0.2690000000000001
0127 Birkbeck College Estimated Incoming Inf,0.002,0.01,0.0165,0.0055000000000000005,0.009000000000000001,0.125,1.6030000000000002,0.16,0.022000000000000002,0.003,0.001,1.957
