,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Total Regions
0170 The University of Aberdeen Estimated Incoming Infection,0.341,0.527,0.18400000000000002,0.153,0.048,0.20800000000000002,0.6160000000000001,0.2275,0.07200000000000001,0.052000000000000005,15.433,17.8615
0095 Abertay University Estimated Incoming Infection,0.04650000000000001,0.068,0.016,0.018,0.012,0.024,0.028000000000000004,0.026000000000000002,0.012,0.0,8.073,8.323500000000001
0177 Aberystwyth University Estimated Incoming Infection,0.124,1.2920000000000003,0.23199999999999998,0.43199999999999994,0.9279999999999999,0.43200000000000005,0.56,0.65,0.29600000000000004,3.4125,0.069,8.427500000000002
0213 AECC University College Estimated Incoming Infection,0.0,0.017,0.016,0.018,0.016,0.04,0.042,0.1105,0.084,0.013000000000000001,0.011500000000000002,0.36800000000000005
0047 Anglia Ruskin University Estimated Incoming Infection,0.32549999999999996,0.7480000000000001,0.376,1.4579999999999997,0.2,16.352,17.948,1.4885,0.18,0.0845,0.1265,39.287
0108 Aston University Estimated Incoming Infection,0.20149999999999998,1.445,0.32799999999999996,1.665,4.404,0.888,4.032,0.9295,0.24400000000000002,0.182,0.069,14.388000000000002
0178 Bangor University Estimated Incoming Infection,0.217,4.675000000000001,0.47200000000000003,0.504,0.52,0.528,0.742,0.6435000000000001,0.228,5.057,0.09200000000000001,13.678500000000001
0048 Bath Spa University Estimated Incoming Infection,0.09300000000000001,0.47600000000000003,0.128,0.34199999999999997,0.34,0.64,1.064,1.6640000000000001,2.88,0.715,0.0345,8.3765
0109 The University of Bath Estimated Incoming Infection,0.341,1.598,0.384,0.675,0.5,1.64,4.102,3.7375,1.572,0.8710000000000001,0.24150000000000002,15.662
0026 University of Bedfordshire Estimated Incoming Infection,0.04650000000000001,0.35700000000000004,0.10400000000000001,1.395,0.8760000000000001,7.128000000000001,6.370000000000001,1.781,0.068,0.03900000000000001,0.046000000000000006,18.210500000000007
0184 Queen's University Belfast Estimated Incoming Infection,0.2325,0.7480000000000001,0.12,0.162,0.08,0.18400000000000002,0.7560000000000001,0.338,0.11200000000000002,0.0845,0.2875,3.1045000000000003
0127 Birkbeck College Estimated Incoming Infection,0.062,0.17,0.08800000000000001,0.099,0.07200000000000001,1.0,22.442000000000004,1.04,0.08800000000000001,0.03900000000000001,0.023000000000000003,25.123000000000005
0052 Birmingham City University Estimated Incoming Infection,0.2325,1.9210000000000003,0.6960000000000001,3.015,12.352,1.1840000000000002,2.716,1.3780000000000001,0.64,0.40950000000000003,0.1725,24.716500000000003
0110 The University of Birmingham Estimated Incoming Infection,0.713,5.236000000000001,1.64,3.483,5.996,3.3280000000000003,7.728000000000001,4.7515,1.58,1.0270000000000001,0.21850000000000003,35.701
0200 University College Birmingham Estimated Incoming Infection,0.031,0.25500000000000006,0.11200000000000002,0.423,1.804,0.15200000000000002,0.47600000000000003,0.14950000000000002,0.07200000000000001,0.07150000000000001,0.011500000000000002,3.5574999999999997
0007 Bishop Grosseteste University Estimated Incoming Infection,0.031,0.085,0.648,2.7,0.024,0.32799999999999996,0.028000000000000004,0.03900000000000001,0.008,0.013000000000000001,0.0,3.904
0049 The University of Bolton Estimated Incoming Infection,0.1085,17.799,0.672,0.198,0.1,0.11200000000000002,0.21000000000000005,0.0975,0.052000000000000005,0.1105,0.046000000000000006,19.505499999999998
0197 The Arts University Bournemouth Estimated Incoming Infection,0.04650000000000001,0.153,0.05600000000000001,0.153,0.10400000000000001,0.36,1.008,1.2610000000000001,0.652,0.07150000000000001,0.023000000000000003,3.8880000000000003
0050 Bournemouth University Estimated Incoming Infection,0.09300000000000001,0.425,0.14400000000000002,0.369,0.292,1.56,4.648000000000001,6.8315,4.16,0.234,0.0805,18.837000000000003
0111 The University of Bradford Estimated Incoming Infection,0.248,3.349,9.192,0.27899999999999997,0.12,0.168,0.49000000000000005,0.14300000000000002,0.04,0.052000000000000005,0.0345,14.115499999999999
0051 The University of Brighton Estimated Incoming Infection,0.496,0.799,0.344,0.7020000000000001,0.292,2.728,8.694,12.389000000000001,0.94,0.24050000000000002,0.14950000000000002,27.774
0337 The University College of Osteopathy Estimated Incoming Infection,0.0,0.017,0.008,0.018,0.008,0.08,0.602,0.1235,0.008,0.006500000000000001,0.0,0.871
0112 The University of Bristol Estimated Incoming Infection,0.682,3.315,0.904,1.305,0.92,2.32,10.15,5.356,3.528,1.4755,0.4485,30.404000000000003
0113 Brunel University London Estimated Incoming Infection,0.0775,0.40800000000000003,0.12,0.252,0.156,1.3359999999999999,18.410000000000004,2.158,0.21600000000000003,0.13,0.0575,23.321000000000005
0009 Buckinghamshire New University Estimated Incoming Infection,0.18600000000000003,1.683,0.344,0.576,0.624,1.76,10.024000000000001,3.9975,0.256,0.117,0.1035,19.671
0203 The University of Buckingham Estimated Incoming Infection,0.04650000000000001,0.17,0.08800000000000001,0.23399999999999999,0.10400000000000001,0.5680000000000001,1.3160000000000003,1.0270000000000001,0.08800000000000001,0.0325,0.0575,3.731500000000001
0114 The University of Cambridge Estimated Incoming Infection,1.0075,2.975,1.1360000000000001,1.215,0.54,4.144,9.016000000000002,3.302,0.74,0.39,0.7015,25.167
0188 The Institute of Cancer Research Estimated Incoming Infection,0.0,0.017,0.0,0.009,0.0,0.024,0.392,0.0585,0.004,0.006500000000000001,0.0,0.511
0012 Canterbury Christ Church University Estimated Incoming Infection,0.0775,0.272,0.08,0.18,0.064,1.768,7.560000000000001,11.6415,0.11599999999999999,0.0455,0.046000000000000006,21.8505
