,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Total Regions
0170 The University of Aberdeen Estimated Incoming Infection,1.837,3.3170000000000006,1.725,1.6575,0.924,2.7560000000000002,7.832000000000001,3.7275,0.657,0.48,69.784,94.69700000000002
0095 Abertay University Estimated Incoming Infection,0.25049999999999994,0.42800000000000005,0.15,0.195,0.231,0.318,0.35600000000000004,0.42599999999999993,0.10949999999999999,0.0,36.504,38.967999999999996
0177 Aberystwyth University Estimated Incoming Infection,0.6679999999999999,8.132,2.175,4.68,17.864,5.724,7.12,10.65,2.7009999999999996,31.5,0.31200000000000006,91.52600000000001
0213 AECC University College Estimated Incoming Infection,0.0,0.10700000000000001,0.15,0.195,0.308,0.53,0.534,1.8104999999999998,0.7665,0.12,0.052000000000000005,4.5729999999999995
0047 Anglia Ruskin University Estimated Incoming Infection,1.7534999999999998,4.708,3.525,15.795,3.85,216.66400000000002,228.196,24.3885,1.6425,0.78,0.5720000000000001,501.87449999999995
0108 Aston University Estimated Incoming Infection,1.0855,9.095,3.075,18.0375,84.777,11.766000000000002,51.263999999999996,15.229499999999998,2.2265,1.68,0.31200000000000006,198.548
0178 Bangor University Estimated Incoming Infection,1.1689999999999998,29.425,4.425,5.46,10.01,6.996,9.434,10.5435,2.0805,46.68,0.41600000000000004,126.63900000000001
0048 Bath Spa University Estimated Incoming Infection,0.5009999999999999,2.9960000000000004,1.2,3.705,6.545,8.48,13.527999999999999,27.263999999999996,26.28,6.6,0.15600000000000003,97.255
0109 The University of Bath Estimated Incoming Infection,1.837,10.058,3.6,7.3125,9.625,21.73,52.153999999999996,61.2375,14.3445,8.04,1.092,191.0305
0026 University of Bedfordshire Estimated Incoming Infection,0.25049999999999994,2.2470000000000003,0.975,15.1125,16.863,94.446,80.99,29.180999999999997,0.6204999999999999,0.36,0.20800000000000002,241.25349999999997
0184 Queen's University Belfast Estimated Incoming Infection,1.2525,4.708,1.125,1.755,1.54,2.438,9.612,5.537999999999999,1.022,0.78,1.3,31.0705
0127 Birkbeck College Estimated Incoming Infection,0.33399999999999996,1.07,0.825,1.0725,1.386,13.25,285.334,17.04,0.8029999999999999,0.36,0.10400000000000001,321.5785
0052 Birmingham City University Estimated Incoming Infection,1.2525,12.091000000000001,6.525,32.6625,237.776,15.688000000000002,34.532000000000004,22.577999999999996,5.84,3.78,0.78,373.50499999999994
0110 The University of Birmingham Estimated Incoming Infection,3.8409999999999997,32.956,15.375,37.7325,115.42300000000002,44.096000000000004,98.256,77.8515,14.4175,9.48,0.988,450.4165
0200 University College Birmingham Estimated Incoming Infection,0.16699999999999998,1.605,1.05,4.5825,34.727000000000004,2.0140000000000002,6.0520000000000005,2.4495,0.657,0.66,0.052000000000000005,54.016
0007 Bishop Grosseteste University Estimated Incoming Infection,0.16699999999999998,0.535,6.075,29.25,0.462,4.346,0.35600000000000004,0.639,0.073,0.12,0.0,42.022999999999996
0049 The University of Bolton Estimated Incoming Infection,0.5844999999999999,112.02900000000001,6.3,2.145,1.925,1.484,2.67,1.5975,0.4745,1.02,0.20800000000000002,130.43750000000003
0197 The Arts University Bournemouth Estimated Incoming Infection,0.25049999999999994,0.9630000000000001,0.525,1.6575,2.0020000000000002,4.77,12.815999999999999,20.660999999999998,5.9495,0.66,0.10400000000000001,50.35849999999999
0050 Bournemouth University Estimated Incoming Infection,0.5009999999999999,2.675,1.35,3.9975,5.621,20.67,59.096000000000004,111.9315,37.96,2.16,0.364,246.32600000000002
0111 The University of Bradford Estimated Incoming Infection,1.3359999999999999,21.079,86.175,3.0225,2.31,2.2260000000000004,6.23,2.343,0.365,0.48,0.15600000000000003,125.72250000000001
0051 The University of Brighton Estimated Incoming Infection,2.6719999999999997,5.029,3.225,7.605,5.621,36.146,110.538,202.98899999999998,8.5775,2.22,0.676,385.2985
0337 The University College of Osteopathy Estimated Incoming Infection,0.0,0.10700000000000001,0.075,0.195,0.154,1.06,7.654,2.0235,0.073,0.06,0.0,11.4015
0112 The University of Bristol Estimated Incoming Infection,3.674,20.865,8.475,14.1375,17.71,30.74,129.05,87.756,32.193,13.62,2.028,360.24850000000004
0113 Brunel University London Estimated Incoming Infection,0.4175,2.568,1.125,2.73,3.003,17.702,234.07,35.358,1.9709999999999999,1.2,0.26,300.4045
0009 Buckinghamshire New University Estimated Incoming Infection,1.0019999999999998,10.593,3.225,6.24,12.012,23.32,127.44800000000001,65.4975,2.336,1.08,0.468,253.2215
0203 The University of Buckingham Estimated Incoming Infection,0.25049999999999994,1.07,0.825,2.535,2.0020000000000002,7.526,16.732,16.826999999999998,0.8029999999999999,0.3,0.26,49.13049999999999
0114 The University of Cambridge Estimated Incoming Infection,5.4275,18.725,10.65,13.1625,10.395,54.908,114.632,54.102,6.7525,3.6,3.1719999999999997,295.52650000000006
0188 The Institute of Cancer Research Estimated Incoming Infection,0.0,0.10700000000000001,0.0,0.0975,0.0,0.318,4.984,0.9584999999999999,0.0365,0.06,0.0,6.5615
0012 Canterbury Christ Church University Estimated Incoming Infection,0.4175,1.7120000000000002,0.75,1.95,1.232,23.426,96.12,190.74149999999997,1.0585,0.42,0.20800000000000002,318.03549999999996
0179 Cardiff University Estimated Incoming Infection,1.503,13.161000000000001,4.425,9.75,24.178,15.37,46.102,64.752,31.2075,127.92,0.78,339.1485
0089 Cardiff Metropolitan University Estimated Incoming Infection,0.4175,3.21,1.2,2.2425,7.315,3.18,4.806,10.65,10.877,72.6,0.364,116.862
0053 The University of Central Lancashire Estimated Incoming Infection,3.7575,339.725,13.65,6.3375,7.315,6.148000000000001,12.638,7.029,1.533,2.46,1.04,401.63300000000004
0011 University of Chester Estimated Incoming Infection,2.505,148.62300000000002,7.575,7.02,26.719,5.194,7.476,6.070499999999999,1.46,21.12,0.364,234.12650000000002
0082 The University of Chichester Estimated Incoming Infection,0.33399999999999996,1.284,0.75,2.8275,1.771,6.148000000000001,11.036,76.467,2.555,0.72,0.15600000000000003,104.04850000000002
"0115 City, University of London Estimated Incoming Infection",0.5844999999999999,3.4240000000000004,1.2,2.8275,2.6180000000000003,21.836,321.468,22.471500000000002,1.4965000000000002,0.72,0.728,379.3740000000001
0199 Conservatoire for Dance and Drama Estimated Incoming Infection,0.5844999999999999,1.391,1.2,0.8775,0.77,1.6960000000000002,8.366,3.6209999999999996,0.73,0.48,0.364,20.080000000000002
0201 Courtauld Institute of Art Estimated Incoming Infection,0.0,0.321,0.075,0.195,0.154,0.53,4.45,1.065,0.2555,0.06,0.0,7.105499999999999
0056 Coventry University Estimated Incoming Infection,1.5865,10.272,11.325,38.61,155.61700000000002,31.694000000000003,146.85,39.7245,4.234,2.82,0.31200000000000006,443.04499999999996
0002 Cranfield University Estimated Incoming Infection,0.5009999999999999,2.568,1.125,2.73,2.31,6.996,11.748,11.502,4.3435,0.72,0.5720000000000001,45.115500000000004
0206 University for the Creative Arts Estimated Incoming Infection,0.25049999999999994,1.605,0.975,1.95,2.0020000000000002,7.208000000000001,31.328000000000003,41.42849999999999,1.4235,0.66,0.26,89.09049999999999
0038 University of Cumbria Estimated Incoming Infection,6.346,81.427,4.575,2.535,1.54,2.2260000000000004,19.758,2.4495,0.6934999999999999,0.66,1.768,123.978
0068 De Montfort University Estimated Incoming Infection,1.9204999999999999,11.877,8.775,148.2,39.809,37.842000000000006,85.618,27.051,2.7375,2.22,0.364,366.414
0057 University of Derby Estimated Incoming Infection,1.9204999999999999,10.807,14.1,166.92,40.04,16.112000000000002,13.527999999999999,10.756499999999999,1.8615000000000002,1.38,0.364,277.7895
0172 The University of Dundee Estimated Incoming Infection,2.4215,4.3870000000000005,1.575,1.365,1.078,2.3320000000000003,5.518,3.195,0.43799999999999994,0.36,88.816,111.4855
0116 University of Durham Estimated Incoming Infection,33.233,26.429000000000002,17.025,13.065,9.933,28.09,64.792,47.925,5.6575,3.12,2.3920000000000003,251.6615
0117 The University of East Anglia Estimated Incoming Infection,1.9204999999999999,4.922000000000001,4.35,12.9675,4.543,162.49800000000002,68.53,38.766,2.847,1.02,0.468,302.832
0058 The University of East London Estimated Incoming Infection,0.5844999999999999,3.103,1.35,2.73,2.387,23.214000000000002,300.464,15.123,1.168,0.66,0.31200000000000006,351.0955
0016 Edge Hill University Estimated Incoming Infection,1.9204999999999999,225.877,6.375,3.9975,6.391,2.438,2.8480000000000003,2.8755,0.657,3.9,0.26,257.53950000000003
0107 Edinburgh Napier University Estimated Incoming Infection,2.2544999999999997,1.7120000000000002,0.9,0.6825,0.539,0.8480000000000001,1.78,1.065,0.2555,0.24,93.704,103.98049999999999
0167 The University of Edinburgh Estimated Incoming Infection,7.849,20.544,11.85,8.385,5.39,16.748,70.31,34.186499999999995,6.0225,2.7,107.69200000000001,291.67699999999996
0118 The University of Essex Estimated Incoming Infection,0.835,3.4240000000000004,2.1,4.875,4.0040000000000004,89.57,129.762,27.370499999999996,2.2265,0.9,0.31200000000000006,265.37899999999996
0119 The University of Exeter Estimated Incoming Infection,1.1689999999999998,8.025,3.9,9.4575,15.631000000000002,32.648,83.304,95.53049999999999,41.82899999999999,10.14,1.9240000000000002,303.55799999999994
0017 Falmouth University Estimated Incoming Infection,0.6679999999999999,4.066,1.8,4.29,6.083000000000001,9.646,21.715999999999998,22.6845,14.6,1.92,0.31200000000000006,87.78549999999998
0229 The National Film and Television School Estimated Incoming Infection,0.0,0.10700000000000001,0.075,0.195,0.154,0.318,3.0260000000000002,0.7454999999999999,0.073,0.0,0.052000000000000005,4.745500000000001
0106 Glasgow Caledonian University Estimated Incoming Infection,0.33399999999999996,1.284,0.525,0.39,0.385,0.9540000000000001,4.094,1.4909999999999999,0.2555,0.18,143.936,153.82850000000002
