,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Total Regions
0170 The University of Aberdeen Estimated Incoming Infection,1.4409999999999998,2.9139999999999997,1.449,1.3940000000000001,0.762,2.3920000000000003,7.172,3.29,0.49500000000000005,0.34,55.693000000000005,77.34200000000001
0095 Abertay University Estimated Incoming Infection,0.1965,0.37599999999999995,0.126,0.16399999999999998,0.1905,0.276,0.32599999999999996,0.37599999999999995,0.0825,0.0,29.132999999999996,31.246499999999994
0177 Aberystwyth University Estimated Incoming Infection,0.524,7.144,1.827,3.9359999999999995,14.732000000000001,4.968,6.52,9.4,2.035,22.3125,0.249,73.64750000000001
0213 AECC University College Estimated Incoming Infection,0.0,0.09399999999999999,0.126,0.16399999999999998,0.254,0.46,0.489,1.5979999999999999,0.5775000000000001,0.085,0.041499999999999995,3.8890000000000002
0047 Anglia Ruskin University Estimated Incoming Infection,1.3755000000000002,4.135999999999999,2.9610000000000003,13.283999999999999,3.175,188.048,208.96599999999998,21.526,1.2375,0.5525,0.45649999999999996,445.718
0108 Aston University Estimated Incoming Infection,0.8515,7.99,2.583,15.17,69.9135,10.212,46.943999999999996,13.441999999999998,1.6775,1.19,0.249,170.2225
0178 Bangor University Estimated Incoming Infection,0.917,25.85,3.717,4.592,8.255,6.072,8.639,9.306,1.5675,33.065,0.33199999999999996,102.3125
0048 Bath Spa University Estimated Incoming Infection,0.393,2.6319999999999997,1.008,3.1159999999999997,5.3975,7.36,12.388,24.063999999999997,19.8,4.675,0.1245,80.95799999999998
0109 The University of Bath Estimated Incoming Infection,1.4409999999999998,8.835999999999999,3.0239999999999996,6.15,7.9375,18.86,47.75899999999999,54.05,10.8075,5.695,0.8714999999999999,165.4315
0026 University of Bedfordshire Estimated Incoming Infection,0.1965,1.9739999999999998,0.8190000000000001,12.71,13.906500000000001,81.97200000000001,74.16499999999999,25.756,0.4675000000000001,0.255,0.16599999999999998,212.38750000000002
0184 Queen's University Belfast Estimated Incoming Infection,0.9825,4.135999999999999,0.945,1.476,1.27,2.116,8.802,4.888,0.77,0.5525,1.0375,26.9755
0127 Birkbeck College Estimated Incoming Infection,0.262,0.94,0.693,0.9019999999999999,1.143,11.5,261.289,15.04,0.6050000000000001,0.255,0.08299999999999999,292.71200000000005
0052 Birmingham City University Estimated Incoming Infection,0.9825,10.622,5.481,27.47,196.088,13.616000000000001,31.622,19.928,4.4,2.6775,0.6225,313.5095
0110 The University of Birmingham Estimated Incoming Infection,3.013,28.951999999999998,12.915,31.733999999999995,95.1865,38.272000000000006,89.97599999999998,68.714,10.8625,6.715,0.7885,387.1284999999999
0200 University College Birmingham Estimated Incoming Infection,0.131,1.41,0.882,3.8539999999999996,28.6385,1.7480000000000002,5.541999999999999,2.162,0.49500000000000005,0.4675,0.041499999999999995,45.37149999999999
0007 Bishop Grosseteste University Estimated Incoming Infection,0.131,0.47,5.103,24.6,0.381,3.772,0.32599999999999996,0.564,0.055,0.085,0.0,35.487
0049 The University of Bolton Estimated Incoming Infection,0.4585,98.41799999999999,5.292000000000001,1.8039999999999998,1.5875,1.288,2.445,1.41,0.3575,0.7225,0.16599999999999998,113.94899999999997
0197 The Arts University Bournemouth Estimated Incoming Infection,0.1965,0.846,0.441,1.3940000000000001,1.651,4.14,11.735999999999999,18.236,4.482500000000001,0.4675,0.08299999999999999,43.6735
0050 Bournemouth University Estimated Incoming Infection,0.393,2.35,1.1340000000000001,3.362,4.6355,17.94,54.11599999999999,98.794,28.600000000000005,1.53,0.2905,213.14499999999998
0111 The University of Bradford Estimated Incoming Infection,1.048,18.518,72.387,2.542,1.905,1.9320000000000002,5.705,2.0679999999999996,0.275,0.34,0.1245,106.84450000000001
0051 The University of Brighton Estimated Incoming Infection,2.096,4.417999999999999,2.7089999999999996,6.395999999999999,4.6355,31.372000000000003,101.223,179.164,6.4625,1.5725,0.5395,340.58799999999997
0337 The University College of Osteopathy Estimated Incoming Infection,0.0,0.09399999999999999,0.063,0.16399999999999998,0.127,0.92,7.0089999999999995,1.786,0.055,0.0425,0.0,10.260499999999999
