,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Total Regions
0170 The University of Aberdeen Estimated Incoming Infection,2.2769999999999997,3.7355,2.047,1.9549999999999996,1.098,3.1590000000000003,8.514,4.1825,0.846,0.6480000000000001,85.21700000000001,113.679
0095 Abertay University Estimated Incoming Infection,0.3105,0.48200000000000004,0.17800000000000002,0.23,0.2745,0.36450000000000005,0.387,0.47800000000000004,0.141,0.0,44.577,47.4225
0177 Aberystwyth University Estimated Incoming Infection,0.828,9.158000000000001,2.5810000000000004,5.52,21.228,6.561,7.74,11.95,3.4779999999999998,42.525,0.381,111.94999999999999
0213 AECC University College Estimated Incoming Infection,0.0,0.12050000000000001,0.17800000000000002,0.23,0.366,0.6075,0.5805,2.0315,0.9869999999999999,0.16200000000000003,0.0635,5.3265
0047 Anglia Ruskin University Estimated Incoming Infection,2.1734999999999998,5.3020000000000005,4.183,18.63,4.575,248.34600000000003,248.067,27.3655,2.115,1.0530000000000002,0.6984999999999999,562.5085
0108 Aston University Estimated Incoming Infection,1.3455,10.2425,3.6489999999999996,21.275,100.7415,13.486500000000001,55.728,17.0885,2.867,2.2680000000000002,0.381,229.0725
0178 Bangor University Estimated Incoming Infection,1.4489999999999998,33.1375,5.251,6.44,11.895,8.019,10.2555,11.830499999999999,2.679,63.018,0.508,154.48250000000002
0048 Bath Spa University Estimated Incoming Infection,0.621,3.3740000000000006,1.4240000000000002,4.369999999999999,7.7775,9.72,14.706000000000001,30.592000000000002,33.84,8.910000000000002,0.1905,115.525
0109 The University of Bath Estimated Incoming Infection,2.2769999999999997,11.327,4.272,8.624999999999998,11.4375,24.9075,56.6955,68.7125,18.471,10.854000000000001,1.3335,218.91250000000002
0026 University of Bedfordshire Estimated Incoming Infection,0.3105,2.5305,1.157,17.825,20.038500000000003,108.25650000000002,88.0425,32.743,0.7989999999999999,0.486,0.254,272.4425
0184 Queen's University Belfast Estimated Incoming Infection,1.5525,5.3020000000000005,1.335,2.07,1.83,2.7945000000000007,10.449000000000002,6.2139999999999995,1.3159999999999998,1.0530000000000002,1.5875,35.5035
0127 Birkbeck College Estimated Incoming Infection,0.414,1.205,0.9790000000000001,1.265,1.6470000000000002,15.1875,310.1805,19.12,1.0339999999999998,0.486,0.127,351.645
0052 Birmingham City University Estimated Incoming Infection,1.5525,13.6165,7.743,38.525,282.552,17.982,37.539,25.334,7.52,5.103,0.9525,438.41949999999997
0110 The University of Birmingham Estimated Incoming Infection,4.760999999999999,37.114000000000004,18.245,44.505,137.1585,50.544000000000004,106.81200000000001,87.3545,18.565,12.798000000000002,1.2065000000000001,519.0635000000001
0200 University College Birmingham Estimated Incoming Infection,0.207,1.8075,1.246,5.405,41.26650000000001,2.3085000000000004,6.579,2.7485000000000004,0.846,0.8910000000000001,0.0635,63.368500000000004
0007 Bishop Grosseteste University Estimated Incoming Infection,0.207,0.6025,7.209,34.49999999999999,0.549,4.9815000000000005,0.387,0.7170000000000001,0.09399999999999999,0.16200000000000003,0.0,49.409
0049 The University of Bolton Estimated Incoming Infection,0.7244999999999999,126.1635,7.476,2.53,2.2875,1.7010000000000003,2.9025,1.7925,0.611,1.3770000000000002,0.254,147.8195
0197 The Arts University Bournemouth Estimated Incoming Infection,0.3105,1.0845,0.623,1.9549999999999996,2.379,5.4675,13.932,23.183000000000003,7.660999999999999,0.8910000000000001,0.127,57.6135
0050 Bournemouth University Estimated Incoming Infection,0.621,3.0125,1.6019999999999999,4.715,6.679500000000001,23.6925,64.242,125.59450000000001,48.88,2.9160000000000004,0.4445,282.39950000000005
0111 The University of Bradford Estimated Incoming Infection,1.656,23.738500000000002,102.26100000000001,3.565,2.745,2.5515,6.7725,2.6290000000000004,0.47,0.6480000000000001,0.1905,147.227
0051 The University of Brighton Estimated Incoming Infection,3.312,5.6635,3.827,8.969999999999999,6.679500000000001,41.43150000000001,120.1635,227.767,11.045,2.9970000000000003,0.8255,432.6815
0337 The University College of Osteopathy Estimated Incoming Infection,0.0,0.12050000000000001,0.08900000000000001,0.23,0.183,1.215,8.320500000000001,2.2705,0.09399999999999999,0.08100000000000002,0.0,12.6035
0112 The University of Bristol Estimated Incoming Infection,4.553999999999999,23.4975,10.057,16.674999999999997,21.045,35.23500000000001,140.2875,98.46800000000002,41.45399999999999,18.387,2.4765,412.13650000000007
0113 Brunel University London Estimated Incoming Infection,0.5175,2.8920000000000003,1.335,3.22,3.5685000000000002,20.2905,254.4525,39.674,2.538,1.62,0.3175,330.4255
0009 Buckinghamshire New University Estimated Incoming Infection,1.242,11.9295,3.827,7.36,14.274000000000001,26.73,138.546,73.4925,3.0079999999999996,1.4580000000000002,0.5715,282.4385
0203 The University of Buckingham Estimated Incoming Infection,0.3105,1.205,0.9790000000000001,2.99,2.379,8.6265,18.189,18.881,1.0339999999999998,0.405,0.3175,55.316500000000005
0114 The University of Cambridge Estimated Incoming Infection,6.7275,21.0875,12.638,15.524999999999999,12.3525,62.937000000000005,124.61399999999999,60.706,8.695,4.86,3.8735000000000004,334.01599999999996
0188 The Institute of Cancer Research Estimated Incoming Infection,0.0,0.12050000000000001,0.0,0.115,0.0,0.36450000000000005,5.418000000000001,1.0755000000000001,0.04699999999999999,0.08100000000000002,0.0,7.221500000000002
0012 Canterbury Christ Church University Estimated Incoming Infection,0.5175,1.9280000000000002,0.89,2.3,1.464,26.8515,104.49,214.02450000000002,1.3629999999999998,0.5670000000000001,0.254,354.64950000000005
0179 Cardiff University Estimated Incoming Infection,1.8629999999999998,14.8215,5.251,11.5,28.730999999999998,17.617500000000003,50.1165,72.656,40.184999999999995,172.692,0.9525,416.38599999999997
0089 Cardiff Metropolitan University Estimated Incoming Infection,0.5175,3.615,1.4240000000000002,2.645,8.6925,3.645,5.224500000000001,11.95,14.005999999999998,98.01,0.4445,150.174
0053 The University of Central Lancashire Estimated Incoming Infection,4.6575,382.5875,16.198,7.474999999999999,8.6925,7.047000000000001,13.738500000000002,7.8870000000000005,1.9739999999999998,3.321,1.27,454.848
0011 University of Chester Estimated Incoming Infection,3.105,167.3745,8.988999999999999,8.28,31.750500000000002,5.9535,8.127,6.8115000000000006,1.88,28.512000000000004,0.4445,271.2275
0082 The University of Chichester Estimated Incoming Infection,0.414,1.4460000000000002,0.89,3.335,2.1045000000000003,7.047000000000001,11.997,85.801,3.29,0.972,0.1905,117.487
"0115 City, University of London Estimated Incoming Infection",0.7244999999999999,3.8560000000000003,1.4240000000000002,3.335,3.111,25.029,349.461,25.2145,1.9269999999999998,0.972,0.889,415.943
0199 Conservatoire for Dance and Drama Estimated Incoming Infection,0.7244999999999999,1.5665,1.4240000000000002,1.035,0.915,1.944,9.0945,4.063,0.94,0.6480000000000001,0.4445,22.799000000000003
0201 Courtauld Institute of Art Estimated Incoming Infection,0.0,0.36150000000000004,0.08900000000000001,0.23,0.183,0.6075,4.8375,1.195,0.32899999999999996,0.08100000000000002,0.0,7.913500000000001
0056 Coventry University Estimated Incoming Infection,1.9664999999999997,11.568000000000001,13.439,45.54,184.9215,36.328500000000005,159.6375,44.5735,5.451999999999999,3.8070000000000004,0.381,507.6145
0002 Cranfield University Estimated Incoming Infection,0.621,2.8920000000000003,1.335,3.22,2.745,8.019,12.771,12.906,5.593,0.972,0.6984999999999999,51.77250000000001
0206 University for the Creative Arts Estimated Incoming Infection,0.3105,1.8075,1.157,2.3,2.379,8.262,34.056,46.4855,1.8329999999999997,0.8910000000000001,0.3175,99.79899999999999
0038 University of Cumbria Estimated Incoming Infection,7.865999999999999,91.7005,5.428999999999999,2.99,1.83,2.5515,21.4785,2.7485000000000004,0.893,0.8910000000000001,2.1590000000000003,140.53699999999998
0068 De Montfort University Estimated Incoming Infection,2.3804999999999996,13.375500000000002,10.413,174.8,47.3055,43.3755,93.07350000000001,30.353,3.525,2.9970000000000003,0.4445,422.043
0057 University of Derby Estimated Incoming Infection,2.3804999999999996,12.170500000000002,16.732,196.88,47.58,18.468000000000004,14.706000000000001,12.0695,2.397,1.8630000000000002,0.4445,325.691
0172 The University of Dundee Estimated Incoming Infection,3.0014999999999996,4.9405,1.869,1.61,1.281,2.673,5.9985,3.585,0.564,0.486,108.458,134.4665
0116 University of Durham Estimated Incoming Infection,41.19299999999999,29.763500000000004,20.203,15.409999999999998,11.803500000000001,32.1975,70.43400000000001,53.775,7.285,4.212000000000001,2.9210000000000003,289.1975
0117 The University of East Anglia Estimated Incoming Infection,2.3804999999999996,5.543000000000001,5.162000000000001,15.294999999999998,5.3985,186.2595,74.4975,43.498000000000005,3.6659999999999995,1.3770000000000002,0.5715,343.6485
0058 The University of East London Estimated Incoming Infection,0.7244999999999999,3.4945000000000004,1.6019999999999999,3.22,2.8365000000000005,26.608500000000003,326.628,16.969,1.5039999999999998,0.8910000000000001,0.381,384.859
0016 Edge Hill University Estimated Incoming Infection,2.3804999999999996,254.37550000000002,7.565,4.715,7.5945,2.7945000000000007,3.096,3.2265,0.846,5.265,0.3175,292.176
0107 Edinburgh Napier University Estimated Incoming Infection,2.7944999999999998,1.9280000000000002,1.068,0.805,0.6405,0.972,1.935,1.195,0.32899999999999996,0.32400000000000007,114.427,126.418
0167 The University of Edinburgh Estimated Incoming Infection,9.729,23.136000000000003,14.062000000000001,9.889999999999999,6.405,19.197,76.4325,38.359500000000004,7.755,3.645,131.5085,340.1195
0118 The University of Essex Estimated Incoming Infection,1.035,3.8560000000000003,2.492,5.75,4.758,102.6675,141.0615,30.7115,2.867,1.215,0.381,296.7945
0119 The University of Exeter Estimated Incoming Infection,1.4489999999999998,9.0375,4.628,11.155,18.5745,37.422000000000004,90.558,107.19150000000002,53.861999999999995,13.689,2.3495000000000004,349.91599999999994
0017 Falmouth University Estimated Incoming Infection,0.828,4.579000000000001,2.136,5.06,7.2285,11.056500000000002,23.607000000000003,25.4535,18.8,2.5920000000000005,0.381,101.72149999999999
0229 The National Film and Television School Estimated Incoming Infection,0.0,0.12050000000000001,0.08900000000000001,0.23,0.183,0.36450000000000005,3.2895,0.8365,0.09399999999999999,0.0,0.0635,5.2705
0106 Glasgow Caledonian University Estimated Incoming Infection,0.414,1.4460000000000002,0.623,0.46,0.4575,1.0935000000000001,4.4505,1.673,0.32899999999999996,0.243,175.768,186.95749999999998
