,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Total Regions
0170 The University of Aberdeen Estimated Incoming Infection,1.177,1.69761904725,0.759,0.204,0.168,0.28600000000000003,1.2979999999999998,0.2625,0.162,0.18400000000000002,14.6980952349,20.89621428215
0095 Abertay University Estimated Incoming Infection,0.1605,0.219047619,0.066,0.024,0.042,0.033,0.059,0.03,0.026999999999999996,0.0,7.6885714269,8.3491190459
0177 Aberystwyth University Estimated Incoming Infection,0.42800000000000005,4.161904761,0.9570000000000001,0.576,3.248,0.594,1.18,0.75,0.6659999999999999,12.075,0.0657142857,24.7016190467
0213 AECC University College Estimated Incoming Infection,0.0,0.05476190475,0.066,0.024,0.05600000000000001,0.055,0.0885,0.1275,0.18899999999999997,0.046000000000000006,0.01095238095,0.7177142857
0047 Anglia Ruskin University Estimated Incoming Infection,1.1235000000000002,2.409523809,1.551,1.944,0.7,22.484,37.818999999999996,1.7175,0.405,0.29900000000000004,0.12047619044999999,70.57299999945002
0108 Aston University Estimated Incoming Infection,0.6955,4.65476190375,1.3530000000000002,2.22,15.414000000000001,1.2209999999999999,8.495999999999999,1.0725,0.5489999999999999,0.644,0.0657142857,36.38547618944999
0178 Bangor University Estimated Incoming Infection,0.7490000000000001,15.059523806249999,1.947,0.672,1.8200000000000003,0.726,1.5635,0.7425,0.513,17.894000000000002,0.0876190476,41.77414285385
0048 Bath Spa University Estimated Incoming Infection,0.321,1.5333333329999999,0.528,0.456,1.1900000000000002,0.88,2.242,1.92,6.48,2.53,0.03285714285,18.113190475849997
0109 The University of Bath Estimated Incoming Infection,1.177,5.1476190465,1.584,0.9,1.7500000000000002,2.255,8.6435,4.3125,3.537,3.082,0.22999999995,32.61861904645
0026 University of Bedfordshire Estimated Incoming Infection,0.1605,1.1499999997500001,0.429,1.86,3.0660000000000003,9.801,13.4225,2.055,0.153,0.138,0.0438095238,32.27880952355
0184 Queen's University Belfast Estimated Incoming Infection,0.8025,2.409523809,0.495,0.21599999999999997,0.28,0.253,1.5929999999999997,0.39,0.252,0.29900000000000004,0.27380952375,7.263833332749998
0127 Birkbeck College Estimated Incoming Infection,0.21400000000000002,0.5476190475,0.36300000000000004,0.132,0.252,1.375,47.28849999999999,1.2,0.198,0.138,0.0219047619,51.73002380939999
0052 Birmingham City University Estimated Incoming Infection,0.8025,6.188095236750001,2.8710000000000004,4.02,43.232000000000006,1.6280000000000001,5.723,1.59,1.44,1.449,0.16428571425000002,69.10788095100001
0110 The University of Birmingham Estimated Incoming Infection,2.4610000000000003,16.866666663,6.765,4.644,20.986000000000004,4.5760000000000005,16.284,5.4825,3.555,3.6340000000000003,0.20809523805000002,85.46226190105001
0200 University College Birmingham Estimated Incoming Infection,0.10700000000000001,0.82142857125,0.462,0.564,6.314000000000001,0.209,1.003,0.1725,0.162,0.253,0.01095238095,10.0788809522
0007 Bishop Grosseteste University Estimated Incoming Infection,0.10700000000000001,0.27380952375,2.673,3.6,0.084,0.451,0.059,0.045,0.018,0.046000000000000006,0.0,7.356809523750001
0049 The University of Bolton Estimated Incoming Infection,0.37450000000000006,57.335714273250005,2.772,0.264,0.35,0.154,0.4425,0.1125,0.11699999999999999,0.391,0.0438095238,62.35702379705
0197 The Arts University Bournemouth Estimated Incoming Infection,0.1605,0.49285714275000003,0.231,0.204,0.36400000000000005,0.495,2.1239999999999997,1.455,1.4669999999999999,0.253,0.0219047619,7.26826190465
0050 Bournemouth University Estimated Incoming Infection,0.321,1.3690476187499998,0.5940000000000001,0.49199999999999994,1.022,2.145,9.794,7.8825,9.36,0.828,0.07666666665,33.8842142854
0111 The University of Bradford Estimated Incoming Infection,0.8560000000000001,10.78809523575,37.917,0.37199999999999994,0.4200000000000001,0.231,1.0325,0.165,0.09,0.18400000000000002,0.03285714285,52.088452378599996
0051 The University of Brighton Estimated Incoming Infection,1.7120000000000002,2.57380952325,1.419,0.9359999999999999,1.022,3.7510000000000003,18.319499999999998,14.295,2.115,0.8510000000000001,0.14238095235,47.1366904756
0337 The University College of Osteopathy Estimated Incoming Infection,0.0,0.05476190475,0.033,0.024,0.028000000000000004,0.11,1.2685,0.1425,0.018,0.023000000000000003,0.0,1.7017619047499999
0112 The University of Bristol Estimated Incoming Infection,2.354,10.67857142625,3.7290000000000005,1.74,3.2200000000000006,3.19,21.3875,6.18,7.938,5.221,0.42714285705,66.06521428330001
0113 Brunel University London Estimated Incoming Infection,0.2675,1.3142857140000002,0.495,0.336,0.546,1.837,38.7925,2.49,0.486,0.46,0.05476190475,47.079047618749996
0009 Buckinghamshire New University Estimated Incoming Infection,0.642,5.42142857025,1.419,0.768,2.184,2.42,21.122,4.6125,0.576,0.414,0.09857142854999999,39.6774999988
0203 The University of Buckingham Estimated Incoming Infection,0.1605,0.5476190475,0.36300000000000004,0.312,0.36400000000000005,0.7809999999999999,2.773,1.185,0.198,0.115,0.05476190475,6.85388095225
0114 The University of Cambridge Estimated Incoming Infection,3.4775,9.58333333125,4.686,1.62,1.8900000000000003,5.6979999999999995,18.998,3.81,1.665,1.38,0.66809523795,53.4759285692
0188 The Institute of Cancer Research Estimated Incoming Infection,0.0,0.05476190475,0.0,0.012,0.0,0.033,0.826,0.0675,0.009,0.023000000000000003,0.0,1.02526190475
0012 Canterbury Christ Church University Estimated Incoming Infection,0.2675,0.876190476,0.33,0.24,0.22400000000000003,2.431,15.93,13.4325,0.26099999999999995,0.161,0.0438095238,34.1969999998
0179 Cardiff University Estimated Incoming Infection,0.9630000000000001,6.73571428425,1.947,1.2,4.396,1.595,7.640499999999999,4.56,7.695,49.036,0.16428571425000002,85.9324999985
0089 Cardiff Metropolitan University Estimated Incoming Infection,0.2675,1.6428571425,0.528,0.27599999999999997,1.33,0.33,0.7964999999999999,0.75,2.682,27.83,0.07666666665,36.50952380915
0053 The University of Central Lancashire Estimated Incoming Infection,2.4075,173.86904758125002,6.006,0.78,1.33,0.638,2.0945,0.495,0.37799999999999995,0.943,0.219047619,189.16009520025005
0011 University of Chester Estimated Incoming Infection,1.605,76.06428569775,3.333,0.8639999999999999,4.8580000000000005,0.539,1.2389999999999999,0.4275,0.36,8.096,0.07666666665,97.4624523644
0082 The University of Chichester Estimated Incoming Infection,0.21400000000000002,0.6571428570000001,0.33,0.348,0.322,0.638,1.8289999999999997,5.385,0.63,0.276,0.03285714285,10.66199999985
"0115 City, University of London Estimated Incoming Infection",0.37450000000000006,1.752380952,0.528,0.348,0.47600000000000003,2.266,53.277,1.5825,0.369,0.276,0.1533333333,61.40271428530001
0199 Conservatoire for Dance and Drama Estimated Incoming Infection,0.37450000000000006,0.7119047617500001,0.528,0.10799999999999998,0.14,0.17600000000000002,1.3865,0.255,0.18,0.18400000000000002,0.07666666665,4.120571428400001
0201 Courtauld Institute of Art Estimated Incoming Infection,0.0,0.16428571425000002,0.033,0.024,0.028000000000000004,0.055,0.7375,0.075,0.063,0.023000000000000003,0.0,1.20278571425
0056 Coventry University Estimated Incoming Infection,1.0165,5.257142856000001,4.9830000000000005,4.752,28.294,3.2889999999999997,24.3375,2.7975,1.0439999999999998,1.0810000000000002,0.0657142857,76.9173571417
0002 Cranfield University Estimated Incoming Infection,0.321,1.3142857140000002,0.495,0.336,0.4200000000000001,0.726,1.9469999999999998,0.81,1.071,0.276,0.12047619044999999,7.836761904449999
0206 University for the Creative Arts Estimated Incoming Infection,0.1605,0.82142857125,0.429,0.24,0.36400000000000005,0.748,5.191999999999999,2.9175,0.35100000000000003,0.253,0.05476190475,11.531190476
0038 University of Cumbria Estimated Incoming Infection,4.066,41.67380951475,2.013,0.312,0.28,0.231,3.2744999999999997,0.1725,0.17099999999999999,0.253,0.3723809523,52.81919046705
0068 De Montfort University Estimated Incoming Infection,1.2305000000000001,6.07857142725,3.861,18.24,7.238,3.927,14.189499999999999,1.905,0.675,0.8510000000000001,0.07666666665,58.2722380939
