,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Total Regions
0170 The University of Aberdeen Estimated Incoming Infection,0.45099999999999996,0.806,0.3105,0.068,0.05399999999999999,0.10400000000000001,0.55,0.0875,0.045,0.048,1.7893333557,4.3133333557
0095 Abertay University Estimated Incoming Infection,0.06149999999999999,0.10400000000000001,0.027000000000000003,0.008,0.013499999999999998,0.012,0.025,0.01,0.0075,0.0,0.9360000117,1.2045000117
0177 Aberystwyth University Estimated Incoming Infection,0.16399999999999998,1.976,0.39150000000000007,0.192,1.0439999999999998,0.21600000000000003,0.5,0.25,0.185,3.15,0.008000000100000002,8.0765000001
0213 AECC University College Estimated Incoming Infection,0.0,0.026000000000000002,0.027000000000000003,0.008,0.018,0.02,0.0375,0.0425,0.0525,0.012,0.00133333335,0.24483333335000002
0047 Anglia Ruskin University Estimated Incoming Infection,0.4305,1.1440000000000001,0.6345000000000001,0.648,0.225,8.176,16.025,0.5725,0.1125,0.078,0.014666666850000001,28.06066666685
0108 Aston University Estimated Incoming Infection,0.26649999999999996,2.21,0.5535,0.74,4.9544999999999995,0.444,3.6,0.3575,0.1525,0.168,0.008000000100000002,13.454500000099998
0178 Bangor University Estimated Incoming Infection,0.287,7.15,0.7965000000000001,0.22400000000000003,0.585,0.264,0.6625,0.2475,0.1425,4.667999999999999,0.0106666668,15.037666666800002
0048 Bath Spa University Estimated Incoming Infection,0.12299999999999998,0.728,0.21600000000000003,0.15200000000000002,0.3825,0.32,0.95,0.64,1.8,0.66,0.004000000050000001,5.975500000049999
0109 The University of Bath Estimated Incoming Infection,0.45099999999999996,2.444,0.6480000000000001,0.3,0.5625,0.82,3.6625,1.4375,0.9825,0.8039999999999999,0.028000000350000002,12.14000000035
0026 University of Bedfordshire Estimated Incoming Infection,0.06149999999999999,0.546,0.17550000000000002,0.62,0.9854999999999999,3.5640000000000005,5.6875,0.685,0.0425,0.036,0.0053333334,12.4088333334
0184 Queen's University Belfast Estimated Incoming Infection,0.30749999999999994,1.1440000000000001,0.2025,0.07200000000000001,0.09,0.09200000000000001,0.675,0.13,0.07,0.078,0.03333333375,2.89433333375
0127 Birkbeck College Estimated Incoming Infection,0.08199999999999999,0.26,0.14850000000000002,0.044000000000000004,0.081,0.5,20.0375,0.4,0.055,0.036,0.0026666667,21.6466666667
0052 Birmingham City University Estimated Incoming Infection,0.30749999999999994,2.938,1.1745,1.34,13.895999999999999,0.5920000000000001,2.425,0.53,0.4,0.37799999999999995,0.020000000250000004,24.001000000250002
0110 The University of Birmingham Estimated Incoming Infection,0.943,8.008000000000001,2.7675,1.548,6.7455,1.6640000000000001,6.9,1.8275,0.9875,0.948,0.02533333365,32.36433333365
0200 University College Birmingham Estimated Incoming Infection,0.040999999999999995,0.39,0.18900000000000003,0.188,2.0295,0.07600000000000001,0.425,0.0575,0.045,0.066,0.00133333335,3.50833333335
