,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Total Regions
0170 The University of Aberdeen Estimated Incoming Infection,2.7390000000000003,3.32345833385,1.6675,0.561,0.43799999999999994,0.715,2.75,0.665,0.43199999999999994,0.5395,46.4108333557,60.241291689549996
0095 Abertay University Estimated Incoming Infection,0.3735,0.4288333334,0.145,0.066,0.10949999999999999,0.0825,0.125,0.076,0.072,0.0,24.2775000117,25.7558333451
0177 Aberystwyth University Estimated Incoming Infection,0.9960000000000001,8.1478333346,2.1025,1.584,8.468,1.485,2.5,1.9,1.776,35.404687499999994,0.2075000001,64.57152083469998
0213 AECC University College Estimated Incoming Infection,0.0,0.10720833335,0.145,0.066,0.146,0.1375,0.1875,0.32299999999999995,0.504,0.134875,0.034583333349999995,1.7856666667
0047 Anglia Ruskin University Estimated Incoming Infection,2.6145000000000005,4.7171666674,3.4075,5.346,1.825,56.21,80.125,4.351,1.08,0.8766874999999998,0.38041666685000003,160.93327083425
0108 Aston University Estimated Incoming Infection,1.6185000000000003,9.11270833475,2.9725,6.105,40.1865,3.0525,18.0,2.717,1.464,1.88825,0.2075000001,87.32445833485
0178 Bangor University Estimated Incoming Infection,1.743,29.48229167125,4.2775,1.848,4.745,1.8150000000000004,3.3125,1.881,1.3679999999999999,52.466375,0.27666666679999996,103.21533333804999
0048 Bath Spa University Estimated Incoming Infection,0.747,3.0018333337999996,1.16,1.254,3.1025,2.2,4.75,4.864,17.28,7.418124999999999,0.10375000005,45.88120833385
0109 The University of Bath Estimated Incoming Infection,2.7390000000000003,10.0775833349,3.48,2.475,4.5625,5.6375,18.3125,10.925,9.431999999999999,9.036624999999999,0.72625000035,77.40395833525001
0026 University of Bedfordshire Estimated Incoming Infection,0.3735,2.25137500035,0.9425,5.115,7.9935,24.5025,28.4375,5.206,0.408,0.404625,0.13833333339999998,75.77283333375
0184 Queen's University Belfast Estimated Incoming Infection,1.8675000000000004,4.7171666674,1.0875,0.5940000000000001,0.73,0.6325000000000001,3.375,0.988,0.672,0.8766874999999998,0.86458333375,16.404937501150002
0127 Birkbeck College Estimated Incoming Infection,0.49800000000000005,1.0720833335,0.7975,0.36300000000000004,0.657,3.4375,100.1875,3.04,0.528,0.404625,0.06916666669999999,111.0543750002
0052 Birmingham City University Estimated Incoming Infection,1.8675000000000004,12.11454166855,6.3075,11.055,112.71199999999999,4.07,12.125,4.0280000000000005,3.84,4.2485625,0.51875000025,172.8868541688
0110 The University of Birmingham Estimated Incoming Infection,5.727,33.0201666718,14.8625,12.771,54.713499999999996,11.44,34.5,13.889000000000001,9.48,10.655124999999998,0.65708333365,201.71537500545003
0200 University College Birmingham Estimated Incoming Infection,0.24900000000000003,1.6081250002499998,1.015,1.551,16.461499999999997,0.5225000000000001,2.125,0.43700000000000006,0.43199999999999994,0.7418124999999999,0.034583333349999995,25.177520833599992
0007 Bishop Grosseteste University Estimated Incoming Infection,0.24900000000000003,0.53604166675,5.8725,9.9,0.21899999999999997,1.1275000000000002,0.125,0.114,0.048,0.134875,0.0,18.32591666675
0049 The University of Bolton Estimated Incoming Infection,0.8715,112.24712501745,6.09,0.7260000000000001,0.9125,0.385,0.9375,0.285,0.312,1.1464375,0.13833333339999998,124.05139585085
0197 The Arts University Bournemouth Estimated Incoming Infection,0.3735,0.9648750001499999,0.5075,0.561,0.949,1.2375,4.5,3.6860000000000004,3.912,0.7418124999999999,0.06916666669999999,17.502354166849997
0050 Bournemouth University Estimated Incoming Infection,0.747,2.68020833375,1.305,1.3530000000000002,2.6645,5.3625,20.75,19.969,24.96,2.4277499999999996,0.24208333345,82.4610416672
0111 The University of Bradford Estimated Incoming Infection,1.9920000000000002,21.12004166995,83.3025,1.0230000000000001,1.095,0.5775000000000001,2.1875,0.418,0.24,0.5395,0.10375000005,112.59879167000001
0051 The University of Brighton Estimated Incoming Infection,3.9840000000000004,5.03879166745,3.1175,2.5740000000000003,2.6645,9.377500000000001,38.8125,36.214,5.64,2.4951874999999997,0.44958333355,110.367562501
0337 The University College of Osteopathy Estimated Incoming Infection,0.0,0.10720833335,0.0725,0.066,0.073,0.275,2.6875,0.361,0.048,0.0674375,0.0,3.7576458333500002
0112 The University of Bristol Estimated Incoming Infection,5.478000000000001,20.905625003249998,8.1925,4.785,8.395,7.975000000000001,45.3125,15.655999999999999,21.167999999999996,15.3083125,1.34875000065,154.5246875039
0113 Brunel University London Estimated Incoming Infection,0.6225,2.5730000004,1.0875,0.924,1.4235,4.5925,82.1875,6.308,1.296,1.34875,0.17291666675000003,102.53616666715
0009 Buckinghamshire New University Estimated Incoming Infection,1.494,10.61362500165,3.1175,2.112,5.694,6.05,44.75,11.685,1.536,1.2138749999999998,0.31125000015000004,88.5772500018
0203 The University of Buckingham Estimated Incoming Infection,0.3735,1.0720833335,0.7975,0.858,0.949,1.9525000000000003,5.875,3.002,0.528,0.3371875,0.17291666675000003,15.91768750025
0114 The University of Cambridge Estimated Incoming Infection,8.092500000000001,18.76145833625,10.295,4.455,4.9275,14.245000000000003,40.25,9.652000000000001,4.44,4.04625,2.1095833343500003,121.27429167060002
0188 The Institute of Cancer Research Estimated Incoming Infection,0.0,0.10720833335,0.0,0.033,0.0,0.0825,1.75,0.171,0.024,0.0674375,0.0,2.23514583335
0012 Canterbury Christ Church University Estimated Incoming Infection,0.6225,1.7153333336,0.725,0.66,0.584,6.0775,33.75,34.029,0.696,0.4720625,0.13833333339999998,79.46972916700001
0179 Cardiff University Estimated Incoming Infection,2.241,13.18662500205,4.2775,3.3,11.460999999999999,3.9875000000000007,16.1875,11.552,20.52,143.77675,0.51875000025,231.0086250023
0089 Cardiff Metropolitan University Estimated Incoming Infection,0.6225,3.2162500004999997,1.16,0.759,3.4675,0.825,1.6875,1.9,7.151999999999999,81.599375,0.24208333345,102.63120833394998
0053 The University of Central Lancashire Estimated Incoming Infection,5.6025,340.38645838625,13.195,2.145,3.4675,1.595,4.4375,1.254,1.008,2.7649375,0.6916666670000001,376.54756255325003
0011 University of Chester Estimated Incoming Infection,3.7350000000000008,148.91237502315,7.3225,2.3760000000000003,12.6655,1.3475,2.625,1.083,0.96,23.737999999999996,0.24208333345,205.0069583566
0082 The University of Chichester Estimated Incoming Infection,0.49800000000000005,1.2865000002,0.725,0.9570000000000001,0.8395,1.595,3.875,13.642000000000001,1.68,0.80925,0.10375000005,26.01100000025
"0115 City, University of London Estimated Incoming Infection",0.8715,3.4306666672,1.16,0.9570000000000001,1.2409999999999999,5.665,112.875,4.0089999999999995,0.9839999999999999,0.80925,0.4841666669,132.48658333409998
0199 Conservatoire for Dance and Drama Estimated Incoming Infection,0.8715,1.39370833355,1.16,0.29700000000000004,0.365,0.44,2.9375,0.6459999999999999,0.48,0.5395,0.24208333345,9.372291666999999
0201 Courtauld Institute of Art Estimated Incoming Infection,0.0,0.32162500005,0.0725,0.066,0.073,0.1375,1.5625,0.19,0.168,0.0674375,0.0,2.65856250005
0056 Coventry University Estimated Incoming Infection,2.3655,10.2920000016,10.9475,13.068,73.7665,8.222500000000002,51.5625,7.087000000000001,2.784,3.1695624999999996,0.2075000001,183.4725625017
0002 Cranfield University Estimated Incoming Infection,0.747,2.5730000004,1.0875,0.924,1.095,1.8150000000000004,4.125,2.052,2.856,0.80925,0.38041666685000003,18.464166667249998
0206 University for the Creative Arts Estimated Incoming Infection,0.3735,1.6081250002499998,0.9425,0.66,0.949,1.8700000000000003,11.0,7.391,0.9359999999999999,0.7418124999999999,0.17291666675000003,26.644854167
0038 University of Cumbria Estimated Incoming Infection,9.462,81.58554167935,4.4225,0.858,0.73,0.5775000000000001,6.9375,0.43700000000000006,0.456,0.7418124999999999,1.1758333339,107.38368751325
0068 De Montfort University Estimated Incoming Infection,2.8635,11.900125001849998,8.4825,50.16,18.8705,9.8175,30.0625,4.8260000000000005,1.8,2.4951874999999997,0.24208333345,141.5198958353
0057 University of Derby Estimated Incoming Infection,2.8635,10.82804166835,13.63,56.496,18.98,4.180000000000001,4.75,1.919,1.224,1.5510624999999998,0.24208333345,116.66368750179998
0172 The University of Dundee Estimated Incoming Infection,3.6105,4.39554166735,1.5225,0.462,0.511,0.6050000000000001,1.9375,0.57,0.288,0.404625,59.06833336180001,73.37500002915002
0116 University of Durham Estimated Incoming Infection,49.551,26.48045833745,16.4575,4.422000000000001,4.7085,7.287500000000001,22.75,8.55,3.72,3.5067499999999994,1.5908333341,149.02454167155003
0117 The University of East Anglia Estimated Incoming Infection,2.8635,4.9315833341,4.205,4.389,2.1534999999999997,42.1575,24.0625,6.916,1.8719999999999999,1.1464375,0.31125000015000004,95.00827083425
0058 The University of East London Estimated Incoming Infection,0.8715,3.1090416671499996,1.305,0.924,1.1315,6.0225,105.5,2.698,0.768,0.7418124999999999,0.2075000001,123.27885416724999
0016 Edge Hill University Estimated Incoming Infection,2.8635,226.31679170184998,6.1625,1.3530000000000002,3.0295,0.6325000000000001,1.0,0.513,0.43199999999999994,4.383437499999999,0.17291666675000003,246.8591458686
0107 Edinburgh Napier University Estimated Incoming Infection,3.3615000000000004,1.7153333336,0.87,0.231,0.2555,0.22,0.625,0.19,0.168,0.26975,62.3191666967,70.2252500303
0167 The University of Edinburgh Estimated Incoming Infection,11.703000000000001,20.5840000032,11.455,2.838,2.555,4.345000000000001,24.6875,6.099,3.96,3.0346875,71.62208336785,162.88327087105
0118 The University of Essex Estimated Incoming Infection,1.245,3.4306666672,2.03,1.65,1.898,23.2375,45.5625,4.883,1.464,1.0115625,0.2075000001,86.61972916729998
0119 The University of Exeter Estimated Incoming Infection,1.743,8.04062500125,3.77,3.201,7.4094999999999995,8.47,29.25,17.043,27.504,11.3969375,1.27958333395,119.10764583520003
0017 Falmouth University Estimated Incoming Infection,0.9960000000000001,4.0739166673,1.74,1.4520000000000002,2.8834999999999997,2.5025000000000004,7.625,4.047,9.6,2.158,0.2075000001,37.2854166674
0229 The National Film and Television School Estimated Incoming Infection,0.0,0.10720833335,0.0725,0.066,0.073,0.0825,1.0625,0.133,0.048,0.0,0.034583333349999995,1.6792916667000002
0106 Glasgow Caledonian University Estimated Incoming Infection,0.49800000000000005,1.2865000002,0.5075,0.132,0.1825,0.24750000000000003,1.4375,0.266,0.168,0.2023125,95.7266667128,100.654479213
0097 Glasgow School of Art Estimated Incoming Infection,0.747,1.39370833355,0.725,0.165,0.146,0.24750000000000003,1.5625,0.266,0.21599999999999997,0.2023125,6.39791666975,12.068937503299999
0168 The University of Glasgow Estimated Incoming Infection,8.715000000000002,13.401041668749999,4.785,0.924,1.168,1.5675,6.6875,1.729,1.08,1.2138749999999998,115.6466667224,156.91758339115
0054 University of Gloucestershire Estimated Incoming Infection,0.747,2.68020833375,1.3775,1.65,7.081,1.9525000000000003,3.0,3.0589999999999997,19.584,7.755312499999999,0.10375000005,48.9902708338
0087 Glyndŵr University Estimated Incoming Infection,0.24900000000000003,11.900125001849998,0.3625,0.132,2.92,0.1375,0.8125,0.076,0.096,51.52224999999999,0.0,68.20787500185
0131 Goldsmiths College Estimated Incoming Infection,1.3695000000000002,4.39554166735,1.885,1.056,1.4235,2.97,60.625,3.3819999999999997,1.8719999999999999,1.0115625,0.34583333350000006,80.33593750085
0336 Gower College Swansea Estimated Incoming Infection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6859375,0.0,1.6859375
0059 The University of Greenwich Estimated Incoming Infection,1.1205,2.46579166705,1.8125,1.089,0.9854999999999999,6.6,104.75,11.267000000000001,1.152,0.7418124999999999,0.2075000001,132.19160416715002
0208 Guildhall School of Music and Drama Estimated Incoming Infection,0.12450000000000001,0.6432500001,0.6525,0.165,0.1825,0.49500000000000005,3.125,0.513,0.264,0.26975,0.2075000001,6.6420000001999995
0018 Harper Adams University Estimated Incoming Infection,2.8635,7.9334166678999996,5.7275,3.8280000000000003,4.599,3.245,1.4375,2.128,2.472,4.383437499999999,1.76375000085,40.38110416875
0352 Hartpury University Estimated Incoming Infection,0.3735,0.8576666668,0.5075,0.495,1.7519999999999998,0.44,0.75,0.988,2.88,2.0905625,0.10375000005,11.237979166850002
0171 Heriot-Watt University Estimated Incoming Infection,3.6105,4.60995833405,1.8125,0.396,0.4745,0.77,2.0,0.6459999999999999,0.312,0.4720625,36.001250017349996,51.1047708514
0060 University of Hertfordshire Estimated Incoming Infection,1.743,4.288333334,2.175,3.366,2.2265,43.34,87.5,7.315,1.536,1.079,0.4150000002,154.9838333342
0061 The University of Huddersfield Estimated Incoming Infection,4.357500000000001,50.06629167444999,138.04,2.31,1.7519999999999998,1.1825,2.3125,0.665,0.336,1.34875,0.17291666675000003,202.5434583412
0120 The University of Hull Estimated Incoming Infection,10.8315,16.617291669249997,133.4725,6.237,2.5185,2.9975,6.9375,1.672,0.672,0.944125,0.24208333345,183.14200000270003
"0132 Imperial College of Science, Technology and Medicine Estimated Incoming Infection",3.2370000000000005,10.18479166825,4.495,2.079,2.9564999999999997,4.5925,46.3125,6.061,2.376,3.1021249999999996,1.41791666735,86.8143333356
0121 Keele University Estimated Incoming Infection,2.988,29.589500004599998,6.3075,3.9930000000000003,32.0835,3.1625,10.625,2.7739999999999996,1.56,3.371875,0.27666666679999996,96.73154167140001
0122 The University of Kent Estimated Incoming Infection,1.494,4.288333334,2.03,2.145,2.044,11.5775,59.6875,20.824,2.136,1.2813124999999999,0.17291666675000003,107.68056250075
0134 King's College London Estimated Incoming Infection,4.731,12.543375001949999,5.8,3.102,4.672,9.432500000000001,134.75,12.425999999999998,4.608,3.4393124999999998,1.1758333339,196.68002083585
0063 Kingston University Estimated Incoming Infection,2.3655,3.9667083339499998,2.3925,1.155,1.46,3.8500000000000005,102.875,10.545,2.568,1.5510624999999998,0.2075000001,132.93627083405
0123 The University of Lancaster Estimated Incoming Infection,6.5985000000000005,93.7000833479,12.035,2.7060000000000004,4.7085,2.7775,7.1875,2.66,1.5119999999999998,4.450875,0.58791666695,138.92387501485
