,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Total Regions
0170 The University of Aberdeen Estimated Incoming Infection,0.539,0.775,0.345,0.0935,0.07800000000000001,0.13,0.5940000000000001,0.12250000000000001,0.07200000000000001,0.084,6.71,9.543
0095 Abertay University Estimated Incoming Infection,0.0735,0.1,0.03,0.011000000000000001,0.019500000000000003,0.015,0.027000000000000003,0.014000000000000002,0.012,0.0,3.51,3.812
0177 Aberystwyth University Estimated Incoming Infection,0.196,1.9,0.435,0.264,1.508,0.27,0.54,0.35,0.29600000000000004,5.5125,0.03,11.301499999999999
0213 AECC University College Estimated Incoming Infection,0.0,0.025,0.03,0.011000000000000001,0.026000000000000002,0.025,0.04050000000000001,0.059500000000000004,0.084,0.021,0.005,0.32700000000000007
0047 Anglia Ruskin University Estimated Incoming Infection,0.5145,1.1,0.705,0.8909999999999999,0.325,10.22,17.307000000000002,0.8015000000000001,0.18,0.1365,0.055,32.235499999999995
0108 Aston University Estimated Incoming Infection,0.3185,2.125,0.615,1.0175,7.156499999999999,0.555,3.888,0.5005000000000001,0.24400000000000002,0.294,0.03,16.744
0178 Bangor University Estimated Incoming Infection,0.34299999999999997,6.875,0.885,0.308,0.845,0.33,0.7155000000000001,0.34650000000000003,0.228,8.169,0.04,19.085
0048 Bath Spa University Estimated Incoming Infection,0.147,0.7,0.24,0.209,0.5525,0.4,1.026,0.8960000000000001,2.88,1.155,0.015,8.220500000000001
0109 The University of Bath Estimated Incoming Infection,0.539,2.35,0.72,0.4125,0.8125,1.025,3.9555000000000002,2.0125,1.572,1.4069999999999998,0.105,14.911000000000001
0026 University of Bedfordshire Estimated Incoming Infection,0.0735,0.525,0.195,0.8525,1.4235,4.455,6.1425,0.9590000000000001,0.068,0.063,0.02,14.777
0184 Queen's University Belfast Estimated Incoming Infection,0.3675,1.1,0.225,0.099,0.13,0.115,0.7290000000000001,0.18200000000000002,0.11200000000000002,0.1365,0.125,3.3209999999999997
0127 Birkbeck College Estimated Incoming Infection,0.098,0.25,0.165,0.0605,0.117,0.625,21.640500000000003,0.56,0.08800000000000001,0.063,0.01,23.677
0052 Birmingham City University Estimated Incoming Infection,0.3675,2.825,1.305,1.8425,20.072,0.74,2.619,0.742,0.64,0.6614999999999999,0.075,31.8895
0110 The University of Birmingham Estimated Incoming Infection,1.127,7.7,3.075,2.1285,9.743500000000001,2.08,7.452000000000001,2.5585000000000004,1.58,1.659,0.095,39.198499999999996
0200 University College Birmingham Estimated Incoming Infection,0.049,0.375,0.21,0.2585,2.9315,0.095,0.4590000000000001,0.0805,0.07200000000000001,0.11549999999999999,0.005,4.651
0007 Bishop Grosseteste University Estimated Incoming Infection,0.049,0.125,1.215,1.65,0.03900000000000001,0.205,0.027000000000000003,0.021,0.008,0.021,0.0,3.3599999999999994
0049 The University of Bolton Estimated Incoming Infection,0.17149999999999999,26.175,1.26,0.121,0.1625,0.07,0.2025,0.05250000000000001,0.052000000000000005,0.1785,0.02,28.465499999999995
0197 The Arts University Bournemouth Estimated Incoming Infection,0.0735,0.225,0.105,0.0935,0.169,0.225,0.972,0.679,0.652,0.11549999999999999,0.01,3.3194999999999997
0050 Bournemouth University Estimated Incoming Infection,0.147,0.625,0.27,0.2255,0.47450000000000003,0.975,4.482,3.6785,4.16,0.37799999999999995,0.035,15.450500000000002
0111 The University of Bradford Estimated Incoming Infection,0.392,4.925,17.235,0.1705,0.195,0.105,0.4725,0.07700000000000001,0.04,0.084,0.015,23.711000000000002
