,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Total Regions
0170 The University of Aberdeen Estimated Incoming Infection,0.341,0.6045,0.23,0.051,0.042,0.078,0.418,0.07,0.036000000000000004,0.036,1.3419999999999999,3.2485
0095 Abertay University Estimated Incoming Infection,0.04650000000000001,0.07800000000000001,0.02,0.006,0.0105,0.009,0.019,0.008,0.006,0.0,0.7020000000000001,0.9050000000000001
0177 Aberystwyth University Estimated Incoming Infection,0.124,1.4820000000000002,0.29,0.144,0.812,0.162,0.38,0.2,0.14800000000000002,2.3625,0.006,6.1105
0213 AECC University College Estimated Incoming Infection,0.0,0.019500000000000003,0.02,0.006,0.014000000000000002,0.015,0.0285,0.034,0.042,0.009,0.001,0.18900000000000003
0047 Anglia Ruskin University Estimated Incoming Infection,0.32549999999999996,0.858,0.47,0.486,0.175,6.132,12.179,0.458,0.09,0.058499999999999996,0.011000000000000001,21.242999999999995
0108 Aston University Estimated Incoming Infection,0.20149999999999998,1.6575,0.41,0.555,3.8535000000000004,0.33299999999999996,2.736,0.28600000000000003,0.12200000000000001,0.126,0.006,10.2865
0178 Bangor University Estimated Incoming Infection,0.217,5.3625,0.59,0.168,0.45500000000000007,0.198,0.5035000000000001,0.198,0.114,3.5009999999999994,0.008,11.315
0048 Bath Spa University Estimated Incoming Infection,0.09300000000000001,0.546,0.16,0.114,0.29750000000000004,0.24,0.722,0.512,1.44,0.495,0.003,4.6225
0109 The University of Bath Estimated Incoming Infection,0.341,1.8330000000000002,0.48,0.225,0.43750000000000006,0.615,2.7835,1.15,0.786,0.603,0.021,9.275
0026 University of Bedfordshire Estimated Incoming Infection,0.04650000000000001,0.40950000000000003,0.13,0.465,0.7665000000000001,2.673,4.3225,0.548,0.034,0.026999999999999996,0.004,9.425999999999998
0184 Queen's University Belfast Estimated Incoming Infection,0.2325,0.858,0.15,0.05399999999999999,0.07,0.06899999999999999,0.513,0.10400000000000001,0.05600000000000001,0.058499999999999996,0.025,2.19
0127 Birkbeck College Estimated Incoming Infection,0.062,0.195,0.11,0.033,0.063,0.375,15.228499999999999,0.32,0.044000000000000004,0.026999999999999996,0.002,16.4595
0052 Birmingham City University Estimated Incoming Infection,0.2325,2.2035,0.87,1.005,10.808000000000002,0.444,1.8430000000000002,0.424,0.32,0.2835,0.015,18.448500000000003
0110 The University of Birmingham Estimated Incoming Infection,0.713,6.006,2.05,1.161,5.246500000000001,1.248,5.244,1.4620000000000002,0.79,0.711,0.019000000000000003,24.650499999999997
0200 University College Birmingham Estimated Incoming Infection,0.031,0.2925,0.14,0.141,1.5785000000000002,0.057,0.32299999999999995,0.046000000000000006,0.036000000000000004,0.0495,0.001,2.6955
0007 Bishop Grosseteste University Estimated Incoming Infection,0.031,0.0975,0.81,0.9,0.021,0.12299999999999998,0.019,0.012,0.004,0.009,0.0,2.0265
0049 The University of Bolton Estimated Incoming Infection,0.1085,20.4165,0.84,0.066,0.0875,0.042,0.1425,0.03,0.026000000000000002,0.0765,0.004,21.8395
0197 The Arts University Bournemouth Estimated Incoming Infection,0.04650000000000001,0.17550000000000002,0.07,0.051,0.09100000000000001,0.135,0.684,0.38800000000000007,0.326,0.0495,0.002,2.0185
0050 Bournemouth University Estimated Incoming Infection,0.09300000000000001,0.4875,0.18,0.12299999999999998,0.2555,0.585,3.154,2.1020000000000003,2.08,0.162,0.007000000000000001,9.229000000000001
0111 The University of Bradford Estimated Incoming Infection,0.248,3.8415000000000004,11.49,0.09299999999999999,0.10500000000000002,0.063,0.3325,0.044000000000000004,0.02,0.036,0.003,16.276
0051 The University of Brighton Estimated Incoming Infection,0.496,0.9165000000000001,0.43,0.23399999999999999,0.2555,1.023,5.899500000000001,3.812,0.47,0.16649999999999998,0.013000000000000001,13.716
0337 The University College of Osteopathy Estimated Incoming Infection,0.0,0.019500000000000003,0.01,0.006,0.007000000000000001,0.03,0.40850000000000003,0.038000000000000006,0.004,0.0045,0.0,0.5275
