,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Total Regions
0170 The University of Aberdeen Estimated Incoming Infection,0.792,0.961,0.483,0.16149999999999998,0.126,0.20800000000000002,0.792,0.1925,0.126,0.15600000000000003,13.42,17.418
0095 Abertay University Estimated Incoming Infection,0.10799999999999998,0.124,0.042,0.019,0.0315,0.024,0.036,0.022000000000000002,0.021,0.0,7.02,7.4475
0177 Aberystwyth University Estimated Incoming Infection,0.288,2.356,0.609,0.456,2.436,0.43200000000000005,0.72,0.55,0.518,10.2375,0.06,18.662499999999998
0213 AECC University College Estimated Incoming Infection,0.0,0.031,0.042,0.019,0.042,0.04,0.05399999999999999,0.0935,0.14700000000000002,0.03900000000000001,0.01,0.5175000000000001
0047 Anglia Ruskin University Estimated Incoming Infection,0.7559999999999999,1.364,0.987,1.5390000000000001,0.525,16.352,23.076,1.2595,0.31500000000000006,0.2535,0.11,46.537000000000006
0108 Aston University Estimated Incoming Infection,0.46799999999999997,2.635,0.861,1.7575,11.5605,0.888,5.184,0.7865000000000001,0.42700000000000005,0.546,0.06,25.173499999999997
0178 Bangor University Estimated Incoming Infection,0.504,8.525,1.2389999999999999,0.532,1.365,0.528,0.954,0.5445,0.3990000000000001,15.171000000000001,0.08,29.841499999999996
0048 Bath Spa University Estimated Incoming Infection,0.21599999999999997,0.868,0.336,0.361,0.8925,0.64,1.3679999999999999,1.4080000000000001,5.040000000000001,2.145,0.03,13.304499999999999
0109 The University of Bath Estimated Incoming Infection,0.792,2.9139999999999997,1.008,0.7125,1.3125,1.64,5.274,3.1625,2.7510000000000003,2.613,0.21,22.3895
0026 University of Bedfordshire Estimated Incoming Infection,0.10799999999999998,0.6509999999999999,0.273,1.4725,2.2995,7.128000000000001,8.19,1.507,0.11900000000000001,0.117,0.04,21.905
0184 Queen's University Belfast Estimated Incoming Infection,0.54,1.364,0.315,0.171,0.21,0.18400000000000002,0.972,0.28600000000000003,0.196,0.2535,0.25,4.741499999999999
0127 Birkbeck College Estimated Incoming Infection,0.144,0.31,0.23099999999999998,0.1045,0.18899999999999997,1.0,28.854,0.88,0.15400000000000003,0.117,0.02,32.0035
0052 Birmingham City University Estimated Incoming Infection,0.54,3.503,1.827,3.1825,32.424,1.1840000000000002,3.492,1.166,1.12,1.2285000000000001,0.15,49.81699999999999
0110 The University of Birmingham Estimated Incoming Infection,1.656,9.548,4.305,3.6765,15.7395,3.3280000000000003,9.936,4.0205,2.765,3.0810000000000004,0.19,58.2455
0200 University College Birmingham Estimated Incoming Infection,0.072,0.465,0.294,0.4465,4.735499999999999,0.15200000000000002,0.612,0.1265,0.126,0.2145,0.01,7.253999999999999
0007 Bishop Grosseteste University Estimated Incoming Infection,0.072,0.155,1.7009999999999998,2.85,0.063,0.32799999999999996,0.036,0.033,0.014000000000000002,0.03900000000000001,0.0,5.291
0049 The University of Bolton Estimated Incoming Infection,0.252,32.457,1.764,0.209,0.2625,0.11200000000000002,0.27,0.0825,0.09100000000000001,0.33149999999999996,0.04,35.871500000000005
0197 The Arts University Bournemouth Estimated Incoming Infection,0.10799999999999998,0.27899999999999997,0.147,0.16149999999999998,0.273,0.36,1.296,1.067,1.141,0.2145,0.02,5.066999999999999
0050 Bournemouth University Estimated Incoming Infection,0.21599999999999997,0.775,0.37799999999999995,0.3895,0.7665,1.56,5.976,5.7805,7.280000000000001,0.7020000000000001,0.07,23.893500000000003
