,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Total Regions
0170 The University of Aberdeen Estimated Incoming Infection,1.9155348839000002,2.9759999999999995,1.38641860425,0.83497674385,0.5090232558,0.8997209299,2.4066976735999996,0.9376744177499999,0.5023255815000001,0.31255813960000006,20.972651194,33.65358142415
0095 Abertay University Estimated Incoming Infection,0.26120930235,0.384,0.12055813950000001,0.09823255809999999,0.12725581395,0.10381395345,0.1093953488,0.1071627906,0.08372093024999999,0.0,10.970790714,12.366139551
0177 Aberystwyth University Estimated Incoming Infection,0.6965581396,7.296,1.7480930227500002,2.3575813944,9.8411162788,1.8686511621,2.187906976,2.679069765,2.0651162795,20.511627911250002,0.09376744199999999,51.345488371399995
0213 AECC University College Estimated Incoming Infection,0.0,0.096,0.12055813950000001,0.09823255809999999,0.1696744186,0.17302325574999997,0.1640930232,0.45544186005,0.58604651175,0.07813953490000002,0.015627907,1.9568372088500001
0047 Anglia Ruskin University Estimated Incoming Infection,1.8284651164499999,4.224,2.8331162782500003,7.9568372060999994,2.1209302324999997,70.73190695059999,70.1224185808,6.13506976185,1.25581395375,0.5079069768500001,0.171906977,167.88837203414997
0108 Aston University Estimated Incoming Infection,1.13190697685,8.16,2.47144185975,9.086511624249999,46.702883719649996,3.84111627765,15.7529302272,3.83106976395,1.70232558175,1.0939534886000002,0.09376744199999999,93.86790696165
0178 Bangor University Estimated Incoming Infection,1.2189767443000001,26.4,3.55646511525,2.7505116267999994,5.514418604499999,2.2839069759,2.8989767431999995,2.65227906735,1.59069767475,30.396279076100004,0.125023256,79.38753488415001
0048 Bath Spa University Estimated Incoming Infection,0.5224186047,2.688,0.9644651160000001,1.8664186038999997,3.60558139525,2.7683720919999995,4.157023254399999,6.8584185984,20.09302326,4.297674419500001,0.046883720999999996,47.86827906515
0109 The University of Bath Estimated Incoming Infection,1.9155348839000002,9.024,2.8933953480000003,3.6837209287499997,5.30232558125,7.093953485749999,16.0264185992,15.404651148749998,10.96744186275,5.2353488383,0.32818604700000004,77.87497672365
0026 University of Bedfordshire Estimated Incoming Infection,0.26120930235,2.016,0.78362790675,7.61302325275,9.28967441835,30.832744174649996,24.887441852,7.3406511561,0.47441860475,0.2344186047,0.062511628,83.79572090039998
0184 Queen's University Belfast Estimated Incoming Infection,1.3060465117500002,4.224,0.90418604625,0.8840930228999998,0.8483720929999999,0.79590697645,2.9536744176,1.3931162778000001,0.781395349,0.5079069768500001,0.39069767499999997,14.9893953466
0127 Birkbeck College Estimated Incoming Infection,0.3482790698,0.96,0.66306976725,0.5402790695499999,0.7635348836999999,4.32558139375,87.6803720632,4.286511624,0.6139534885000001,0.2344186047,0.031255814,100.44725577845
0052 Birmingham City University Estimated Incoming Infection,1.3060465117500002,10.847999999999999,5.24427906825,16.45395348175,130.9886511592,5.1214883702,10.6113488336,5.6796279018,4.46511628,2.4613953493500005,0.23441860499999997,193.4143255609
0110 The University of Birmingham Estimated Incoming Infection,4.0052093027,29.567999999999998,12.357209298750002,19.007999992349998,63.58548837034999,14.3955348784,30.1931162688,19.58399998215,11.02325581625,6.173023257100001,0.296930233,210.18976739984998
0200 University College Birmingham Estimated Incoming Infection,0.1741395349,1.44,0.8439069765,2.3084651153499998,19.130790697149997,0.65748837185,1.8597209296,0.61618604595,0.5023255815000001,0.42976744195,0.015627907,27.978418601749993
0007 Bishop Grosseteste University Estimated Incoming Infection,0.1741395349,0.48,4.88260464975,14.734883714999999,0.2545116279,1.41879069715,0.1093953488,0.1607441859,0.0558139535,0.07813953490000002,0.0,22.349023247799998
0049 The University of Bolton Estimated Incoming Infection,0.6094883721500001,100.51199999999999,5.063441859,1.0805581390999999,1.0604651162499998,0.48446511610000004,0.8204651159999998,0.40186046475,0.36279069775000006,0.66418604665,0.062511628,111.12223255574999
0197 The Arts University Bournemouth Estimated Incoming Infection,0.26120930235,0.8639999999999999,0.42195348825,0.83497674385,1.1028837209,1.5572093017500002,3.9382325568,5.1973953441,4.54883721025,0.42976744195,0.031255814,19.1877209242
0050 Bournemouth University Estimated Incoming Infection,0.5224186047,2.4,1.0850232555000001,2.0137674410499997,3.09655813945,6.747906974249999,18.1596279008,28.157023230150003,29.02325582,1.4065116282000003,0.109395349,92.72148834309999
0111 The University of Bradford Estimated Incoming Infection,1.3931162792,18.912,69.26065114275,1.52260465055,1.2725581394999999,0.72669767415,1.914418604,0.5893953483,0.2790697675,0.31255813960000006,0.046883720999999996,96.22995346655001
0051 The University of Brighton Estimated Incoming Infection,2.7862325584,4.512,2.59199999925,3.8310697658999993,3.09655813945,11.800186042149999,33.9672558024,51.0630697209,6.558139536250001,1.44558139565,0.20316279099999998,121.85525575134999
