,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Total Regions
0170 The University of Aberdeen Estimated Incoming Infection,1.3261395345,2.3877209298,1.0013023251000002,0.64520930195,0.3616744188,0.6675348836,1.7681860459999998,0.70325581375,0.3013953489,0.125023256,7.490232559700001,16.7776744181
0095 Abertay University Estimated Incoming Infection,0.18083720925000002,0.3080930232,0.08706976740000001,0.0759069767,0.0904186047,0.07702325580000001,0.080372093,0.080372093,0.05023255815000001,0.0,3.9181395356999995,4.9484651169
0177 Aberystwyth University Estimated Incoming Infection,0.48223255800000003,5.8537674407999996,1.2625116273,1.8217674408000002,6.9923720968,1.3864186044000002,1.6074418600000002,2.0093023249999997,1.2390697677000002,8.204651174999999,0.033488372100000004,30.8930232679
0213 AECC University College Estimated Incoming Infection,0.0,0.0770232558,0.08706976740000001,0.0759069767,0.12055813959999999,0.12837209300000002,0.1205581395,0.34158139525000003,0.35162790704999997,0.031255814,0.005581395350000001,1.33953488365
0047 Anglia Ruskin University Estimated Incoming Infection,1.26586046475,3.3890232551999997,2.0461395339000004,6.1484651127,1.5069767449999998,52.478511618400006,51.518511613,4.60130232425,0.7534883722500001,0.20316279099999998,0.061395348849999996,123.9728371793
0108 Aston University Estimated Incoming Infection,0.78362790675,6.546976743,1.7849302317000002,7.02139534475,33.183627924899994,2.8498604646000008,11.573581392000001,2.87330232475,1.02139534905,0.437581396,0.033488372100000004,68.1097674496
0178 Bangor University Estimated Incoming Infection,0.8439069765,21.181395345000002,2.5685581383000002,2.1253953476,3.9181395369999996,1.6945116276,2.1298604645,1.9892093017499999,0.9544186048500001,12.158511646,0.044651162800000005,49.608558151900006
0048 Bath Spa University Estimated Incoming Infection,0.36167441850000004,2.1566511624,0.6965581392000001,1.4422325573,2.5618604664999998,2.0539534880000003,3.0541395340000004,5.143813952,12.055813956000001,1.71906977,0.016744186050000002,31.262511629950005
0109 The University of Bath Estimated Incoming Infection,1.3261395345,7.240186045200001,2.0896744176,2.8465116262500003,3.7674418624999997,5.263255813000001,11.7745116245,11.55348836875,6.58046511765,2.094139538,0.11720930234999999,54.6530232503
0026 University of Bedfordshire Estimated Incoming Infection,0.18083720925000002,1.6174883718000002,0.5659534881,5.8827906942500015,6.6005581431,22.875906972600006,18.2846511575,5.5054883705,0.28465116285000003,0.09376744199999999,0.022325581400000002,61.91441859335
0184 Queen's University Belfast Estimated Incoming Infection,0.90418604625,3.3890232551999997,0.6530232555000001,0.6831627903,0.602790698,0.5905116278000001,2.170046511,1.044837209,0.4688372094,0.20316279099999998,0.13953488375,10.849116277200002
0127 Birkbeck College Estimated Incoming Infection,0.24111627900000002,0.770232558,0.4788837207,0.41748837185000004,0.5425116282,3.2093023250000003,64.41823253950001,3.2148837200000004,0.3683720931000001,0.09376744199999999,0.011162790700000001,73.76595346805001
0052 Birmingham City University Estimated Incoming Infection,0.90418604625,8.7036279054,3.7875348819000005,12.71441859725,93.07088377119999,3.7998139528000006,7.796093021000001,4.259720929,2.6790697679999997,0.9845581409999999,0.08372093024999999,138.78362794404998
0110 The University of Birmingham Estimated Incoming Infection,2.7728372085,23.7231627864,8.924651158500001,14.68799999145,45.1791628151,10.6805581376,22.182697668,14.68799999575,6.61395348975,2.4692093059999998,0.10604651165,152.02827906870002
0200 University College Birmingham Estimated Incoming Infection,0.12055813950000001,1.155348837,0.6094883718,1.7838139524500003,13.5929302399,0.4878139534000001,1.3663255810000001,0.46213953474999997,0.3013953489,0.171906977,0.005581395350000001,20.05730233105
0007 Bishop Grosseteste University Estimated Incoming Infection,0.12055813950000001,0.385116279,3.5263255797000004,11.386046505000001,0.1808372094,1.0526511626000001,0.080372093,0.1205581395,0.033488372100000004,0.031255814,0.0,16.917209293800003
0049 The University of Bolton Estimated Incoming Infection,0.42195348825,80.6433488226,3.6569302308000005,0.8349767437000001,0.7534883724999999,0.35944186040000004,0.6027906975,0.30139534875,0.21767441865000003,0.265674419,0.022325581400000002,88.07999998355001
0197 The Arts University Bournemouth Estimated Incoming Infection,0.18083720925000002,0.6932093022000001,0.3047441859,0.64520930195,0.7836279074,1.1553488370000002,2.8933953480000003,3.8980465105000004,2.72930232615,0.171906977,0.011162790700000001,13.466790696050003
0050 Bournemouth University Estimated Incoming Infection,0.36167441850000004,1.925581395,0.7836279066,1.55609302235,2.2001860477,5.006511627000001,13.341767438,21.11776743575,17.413953492,0.562604652,0.03906976745,64.30883720235002
0111 The University of Bradford Estimated Incoming Infection,0.9644651160000001,15.1735813926,50.02158137130001,1.1765581388500002,0.9041860469999999,0.5391627906,1.4065116275,0.44204651149999996,0.16744186049999998,0.125023256,0.016744186050000002,70.93730229790003
0051 The University of Brighton Estimated Incoming Infection,1.9289302320000001,3.6200930226000003,1.8719999991000003,2.9603720913,2.2001860477,8.754976742600002,24.9555348765,38.2973023145,3.9348837217500003,0.578232559,0.07255813955,89.1750697466
0337 The University College of Osteopathy Estimated Incoming Infection,0.0,0.0770232558,0.043534883700000006,0.0759069767,0.060279069799999994,0.25674418600000004,1.7279999995,0.38176744175000005,0.033488372100000004,0.015627907,0.0,2.67237209235
0112 The University of Bristol Estimated Incoming Infection,2.652279069,15.019534881,4.9194418581,5.503255810750001,6.932093027,7.445581394,29.1348837125,16.556651158,14.768372096100002,3.5475348889999996,0.21767441864999998,106.69730231410001
0113 Brunel University London Estimated Incoming Infection,0.30139534875,1.8485581392000001,0.6530232555000001,1.0626976738,1.1754418611,4.287627906200001,52.8446511475,6.670883719,0.9041860467,0.31255814,0.02790697675,70.0889302145
0009 Buckinghamshire New University Estimated Incoming Infection,0.7233488370000001,7.625302324200001,1.8719999991000003,2.4290232544,4.7017674444,5.648372092000001,28.773209293999997,12.35720929875,1.0716279072000001,0.281302326,0.050232558149999995,65.5333953352
0203 The University of Buckingham Estimated Incoming Infection,0.18083720925000002,0.770232558,0.4788837207,0.9867906971000001,0.7836279074,1.8228837206000004,3.777488371,3.1746976735,0.3683720931000001,0.078139535,0.02790697675,12.4498604624
0114 The University of Cambridge Estimated Incoming Infection,3.9181395337500002,13.479069764999998,6.1819534854,5.12372092725,4.0688372115,13.299348834800004,25.879813946,10.207255811,3.09767441925,0.9376744199999999,0.34046511635000004,86.53395347029999
0188 The Institute of Cancer Research Estimated Incoming Infection,0.0,0.0770232558,0.0,0.03795348835,0.0,0.07702325580000001,1.125209302,0.18083720925000002,0.016744186050000002,0.015627907,0.0,1.53041860425
