,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Total Regions
0170 The University of Aberdeen Estimated Incoming Infection,2.7750697678,3.6680930234,1.9512558138999998,1.10065116285,0.7233488370000001,1.248,3.339906977,1.2893023254999998,0.8037209303999999,0.5893953488,43.443348806,60.93209299265
0095 Abertay University Estimated Incoming Infection,0.3784186047,0.47330232559999996,0.1696744186,0.1294883721,0.18083720925000002,0.144,0.1518139535,0.1473488372,0.13395348840000001,0.0,22.725209286,24.63404649535
0177 Aberystwyth University Estimated Incoming Infection,1.0091162792,8.9927441864,2.4602790697,3.1077209303999997,13.984744182000002,2.592,3.03627907,3.6837209299999993,3.3041860472,38.679069764999994,0.194232558,81.04409301789998
0213 AECC University College Estimated Incoming Infection,0.0,0.11832558139999999,0.1696744186,0.1294883721,0.24111627900000002,0.24,0.22772093025,0.6262325580999999,0.9376744187999999,0.1473488372,0.032372093,2.86995348845
0047 Anglia Ruskin University Estimated Incoming Infection,2.6489302329,5.206325581600001,3.9873488370999994,10.488558140099999,3.0139534875000003,98.112,97.31274419350001,8.435720929699999,2.0093023260000002,0.9577674418,0.356093023,232.52874419320003
0108 Aston University Estimated Incoming Infection,1.6398139537,10.057674419,3.4783255813,11.97767441925,66.36725579475,5.327999999999999,21.861209304,5.267720929899999,2.7237209308000003,2.0628837208,0.194232558,130.9585116115
0178 Bangor University Estimated Incoming Infection,1.7659534886000001,32.539534884999995,5.0053953487,3.6256744188,7.8362790675000005,3.168,4.02306976775,3.6468837206999996,2.5451162796,57.31869767079999,0.258976744,121.73358139144997
0048 Bath Spa University Estimated Incoming Infection,0.7568372094,3.3131162792,1.3573953488,2.4602790699,5.12372092875,3.84,5.768930233,9.4303255808,32.148837216000004,8.104186045999999,0.097116279,72.40074419085
0109 The University of Bath Estimated Incoming Infection,2.7750697678,11.1226046516,4.0721860464,4.85581395375,7.53488371875,9.84,22.24074418775,21.181395347499997,17.5479069804,9.8723720924,0.679813953,111.72279069934999
0026 University of Bedfordshire Estimated Incoming Infection,0.3784186047,2.4848372094,1.1028837209,10.03534883775,13.201116275250001,42.768,34.537674421249996,10.0933953482,0.7590697675999999,0.44204651159999997,0.129488372,115.93227906864999
0184 Queen's University Belfast Estimated Incoming Infection,1.8920930235,5.206325581600001,1.2725581394999999,1.1653953489,1.205581395,1.1039999999999999,4.0989767445,1.9155348836,1.2502325584,0.9577674418,0.809302325,20.877767441800003
0127 Birkbeck College Estimated Incoming Infection,0.5045581396,1.183255814,0.9332093022999999,0.71218604655,1.0850232555000001,6.0,121.67888373024999,5.893953487999999,0.9823255815999999,0.44204651159999997,0.064744186,139.48018605540003
0052 Birmingham City University Estimated Incoming Infection,1.8920930235,13.3707906982,7.380837209099999,21.68930232675,186.141767388,7.104,14.7259534895,7.8094883716,7.144186048,4.6414883717999995,0.485581395,272.38548832145
0110 The University of Birmingham Estimated Incoming Infection,5.802418605400001,36.4442790712,17.3916279065,25.05600000135,90.35832555525002,19.968,41.900651165999996,26.927999998299995,17.637209306,11.6405581388,0.615069767,293.74213951580003
0200 University College Birmingham Estimated Incoming Infection,0.2522790698,1.774883721,1.1877209301999998,3.0429767443499998,27.18586045725,0.912,2.5808372095,0.8472558138999999,0.8037209303999999,0.8104186045999999,0.032372093,39.430325573999994
0007 Bishop Grosseteste University Estimated Incoming Infection,0.2522790698,0.591627907,6.8718139533,19.423255815,0.36167441850000004,1.9679999999999997,0.1518139535,0.22102325579999998,0.08930232560000001,0.1473488372,0.0,30.0781395357
0049 The University of Bolton Estimated Incoming Infection,0.8829767443000001,123.8868837258,7.1263255812,1.4243720931,1.5069767437500001,0.672,1.13860465125,0.5525581395,0.5804651164,1.2524651161999998,0.129488372,139.1531162835
0197 The Arts University Bournemouth Estimated Incoming Infection,0.3784186047,1.0649302326,0.5938604650999999,1.10065116285,1.5672558135,2.16,5.465302326,7.146418604199999,7.2781395364,0.8104186045999999,0.064744186,27.630139535949997
0050 Bournemouth University Estimated Incoming Infection,0.7568372094,2.9581395350000004,1.5270697673999998,2.65451162805,4.40037209175,9.36,25.201116281,38.7159069743,46.43720931199999,2.6522790696,0.226604651,134.8900465195
0111 The University of Bradford Estimated Incoming Infection,2.0182325584,23.310139535799998,97.4779534857,2.00706976755,1.8083720925,1.008,2.65674418625,0.8104186045999999,0.446511628,0.5893953488,0.097116279,132.2299534866
0051 The University of Brighton Estimated Incoming Infection,4.0364651168,5.5613023258,3.6479999998999997,5.0500465119,4.40037209175,16.368,47.13823256175,70.2117209258,10.493023258000001,2.7259534881999996,0.42083720900000005,170.0539534889
0337 The University College of Osteopathy Estimated Incoming Infection,0.0,0.11832558139999999,0.0848372093,0.1294883721,0.12055813950000001,0.48,3.26400000025,0.6999069766999999,0.08930232560000001,0.0736744186,0.0,5.0600930234499994
0112 The University of Bristol Estimated Incoming Infection,5.5501395356,23.073488373,9.586604650899998,9.38790697725,13.8641860425,13.92,55.03255814375,30.353860463199993,39.3823255896,16.724093022199998,1.262511627,218.13767442499997
0113 Brunel University London Estimated Incoming Infection,0.6306976745,2.8398139536,1.2725581394999999,1.8128372094,2.35088372025,8.016,99.81767442625,12.229953487599998,2.4111627912,1.4734883719999998,0.161860465,133.0169302393
0009 Buckinghamshire New University Estimated Incoming Infection,1.5136744188,11.7142325586,3.6479999998999997,4.1436279072,9.403534881,10.56,54.349395353,22.6548837195,2.8576744192000003,1.3261395348,0.291348837,122.462511629
0203 The University of Buckingham Estimated Incoming Infection,0.3784186047,1.183255814,0.9332093022999999,1.6833488373,1.5672558135,3.408,7.1352558145,5.8202790694,0.9823255815999999,0.36837209299999996,0.161860465,23.621581395300005
0114 The University of Cambridge Estimated Incoming Infection,8.199069768500001,20.706976745000002,12.046883720599999,8.740465116749998,8.13767441625,24.864,48.884093027,18.713302324399997,8.260465117999999,4.420465116,1.974697673,164.94809302550001
0188 The Institute of Cancer Research Estimated Incoming Infection,0.0,0.11832558139999999,0.0,0.06474418605,0.0,0.144,2.125395349,0.3315348837,0.044651162800000005,0.0736744186,0.0,2.9023255815500004
0012 Canterbury Christ Church University Estimated Incoming Infection,0.6306976745,1.8932093023999998,0.8483720929999999,1.294883721,0.9644651160000001,10.607999999999999,40.989767445,65.9754418563,1.2948837212000002,0.5157209302,0.129488372,125.14493023159999
0179 Cardiff University Estimated Incoming Infection,2.2705116282,14.5540465122,5.0053953487,6.474418604999999,18.9276279015,6.96,19.65990697825,22.397023254399997,38.176744194,157.07386045519996,0.485581395,291.98511627244994
0089 Cardiff Metropolitan University Estimated Incoming Infection,0.6306976745,3.549767442,1.3573953488,1.4891162791499999,5.72651162625,1.44,2.04948837225,3.6837209299999993,13.3060465144,89.14604650599999,0.226604651,122.60539534435
0053 The University of Central Lancashire Estimated Incoming Infection,5.6762790705,375.683720945,15.440372092599999,4.20837209325,5.72651162625,2.784,5.38939534925,2.4312558137999996,1.8753488375999998,3.0206511625999997,0.64744186,422.88334885085
0011 University of Chester Estimated Incoming Infection,3.784186047,164.35423256459998,8.5685581393,4.6615813956,20.91683720325,2.352,3.1880930235,2.0997209300999997,1.786046512,25.933395347199998,0.226604651,237.87125581355
