,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Total Regions
0170 The University of Aberdeen Estimated Incoming Infection,0.858,1.3330000000000002,0.621,0.374,0.228,0.40299999999999997,1.078,0.42,0.225,0.14,9.394,15.074
0095 Abertay University Estimated Incoming Infection,0.117,0.172,0.054000000000000006,0.044000000000000004,0.057,0.04650000000000001,0.049,0.048,0.0375,0.0,4.914000000000001,5.539000000000001
0177 Aberystwyth University Estimated Incoming Infection,0.31200000000000006,3.2680000000000002,0.7830000000000001,1.056,4.408,0.8370000000000001,0.98,1.2,0.925,9.187499999999998,0.042,22.9985
0213 AECC University College Estimated Incoming Infection,0.0,0.043,0.054000000000000006,0.044000000000000004,0.076,0.0775,0.0735,0.204,0.2625,0.035,0.007000000000000001,0.8765000000000001
0047 Anglia Ruskin University Estimated Incoming Infection,0.8190000000000001,1.892,1.2690000000000001,3.5639999999999996,0.95,31.682,31.409000000000002,2.748,0.5625,0.2275,0.07700000000000001,75.2
0108 Aston University Estimated Incoming Infection,0.507,3.655,1.107,4.07,20.919,1.7205000000000001,7.056,1.716,0.7625,0.49,0.042,42.04500000000001
0178 Bangor University Estimated Incoming Infection,0.546,11.825,1.5930000000000002,1.232,2.47,1.023,1.2985,1.188,0.7125,13.615,0.05600000000000001,35.559
0048 Bath Spa University Estimated Incoming Infection,0.234,1.204,0.43200000000000005,0.836,1.615,1.24,1.8619999999999999,3.072,9.0,1.925,0.021,21.441000000000003
0109 The University of Bath Estimated Incoming Infection,0.858,4.042,1.2960000000000003,1.65,2.375,3.1775,7.1785000000000005,6.9,4.9125,2.3449999999999998,0.14700000000000002,34.8815
0026 University of Bedfordshire Estimated Incoming Infection,0.117,0.903,0.35100000000000003,3.41,4.1610000000000005,13.8105,11.1475,3.2880000000000003,0.2125,0.105,0.028000000000000004,37.5335
0184 Queen's University Belfast Estimated Incoming Infection,0.585,1.892,0.405,0.396,0.38,0.3565,1.3230000000000002,0.624,0.35,0.2275,0.175,6.7139999999999995
0127 Birkbeck College Estimated Incoming Infection,0.15600000000000003,0.43,0.29700000000000004,0.242,0.342,1.9375,39.2735,1.92,0.275,0.105,0.014000000000000002,44.99199999999999
0052 Birmingham City University Estimated Incoming Infection,0.585,4.859,2.349,7.37,58.672,2.294,4.753,2.5439999999999996,2.0,1.1025,0.10500000000000002,86.6335
0110 The University of Birmingham Estimated Incoming Infection,1.794,13.244000000000002,5.535,8.514,28.480999999999998,6.4479999999999995,13.524,8.771999999999998,4.9375,2.765,0.133,94.14749999999998
0200 University College Birmingham Estimated Incoming Infection,0.07800000000000001,0.645,0.37800000000000006,1.034,8.568999999999999,0.2945,0.833,0.27599999999999997,0.225,0.1925,0.007000000000000001,12.531999999999998
0007 Bishop Grosseteste University Estimated Incoming Infection,0.07800000000000001,0.215,2.1870000000000003,6.6,0.114,0.6355,0.049,0.072,0.025,0.035,0.0,10.0105
0049 The University of Bolton Estimated Incoming Infection,0.273,45.021,2.2680000000000002,0.484,0.475,0.217,0.3675,0.18,0.1625,0.2975,0.028000000000000004,49.773500000000006
0197 The Arts University Bournemouth Estimated Incoming Infection,0.117,0.387,0.18900000000000003,0.374,0.494,0.6975,1.764,2.328,2.0375,0.1925,0.014000000000000002,8.5945
0050 Bournemouth University Estimated Incoming Infection,0.234,1.075,0.486,0.902,1.3869999999999998,3.0225,8.134,12.612,13.0,0.6299999999999999,0.049,41.5315
0111 The University of Bradford Estimated Incoming Infection,0.6240000000000001,8.471,31.023000000000003,0.682,0.57,0.32549999999999996,0.8575,0.264,0.125,0.14,0.021,43.102999999999994
