,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Total Regions
0170 The University of Aberdeen Estimated Incoming Infection,0.5940000000000001,1.0695,0.4485,0.28900000000000003,0.16200000000000003,0.29900000000000004,0.792,0.315,0.135,0.05600000000000001,3.355,7.515000000000001
0095 Abertay University Estimated Incoming Infection,0.08100000000000002,0.13799999999999998,0.03900000000000001,0.034,0.04050000000000001,0.0345,0.036,0.036,0.0225,0.0,1.755,2.2165
0177 Aberystwyth University Estimated Incoming Infection,0.21600000000000003,2.622,0.5655,0.8160000000000001,3.1320000000000006,0.621,0.72,0.9,0.555,3.6750000000000007,0.015,13.837500000000002
0213 AECC University College Estimated Incoming Infection,0.0,0.034499999999999996,0.03900000000000001,0.034,0.054000000000000006,0.0575,0.05399999999999999,0.153,0.1575,0.014000000000000002,0.0025,0.6
0047 Anglia Ruskin University Estimated Incoming Infection,0.5670000000000001,1.5179999999999998,0.9165000000000001,2.7540000000000004,0.675,23.506,23.076,2.061,0.3375,0.09100000000000001,0.0275,55.529500000000006
0108 Aston University Estimated Incoming Infection,0.35100000000000003,2.9325,0.7995,3.145,14.863500000000002,1.2765,5.184,1.287,0.4575,0.196,0.015,30.507500000000004
0178 Bangor University Estimated Incoming Infection,0.37800000000000006,9.487499999999999,1.1505,0.9520000000000001,1.755,0.759,0.954,0.8909999999999999,0.4275,5.446000000000001,0.02,22.220499999999998
0048 Bath Spa University Estimated Incoming Infection,0.16200000000000003,0.966,0.31200000000000006,0.6460000000000001,1.1475000000000002,0.92,1.3679999999999999,2.304,5.4,0.7700000000000001,0.0075,14.003
0109 The University of Bath Estimated Incoming Infection,0.5940000000000001,3.2429999999999994,0.936,1.2750000000000001,1.6875,2.3575,5.274,5.175,2.9475,0.9380000000000002,0.0525,24.479999999999997
0026 University of Bedfordshire Estimated Incoming Infection,0.08100000000000002,0.7244999999999999,0.2535,2.635,2.9565,10.246500000000001,8.19,2.4659999999999997,0.1275,0.042,0.01,27.732500000000005
0184 Queen's University Belfast Estimated Incoming Infection,0.405,1.5179999999999998,0.2925,0.306,0.27,0.2645,0.972,0.46799999999999997,0.21,0.09100000000000001,0.0625,4.859500000000001
0127 Birkbeck College Estimated Incoming Infection,0.10800000000000001,0.345,0.2145,0.18700000000000003,0.243,1.4375,28.854,1.44,0.165,0.042,0.005,33.041000000000004
0052 Birmingham City University Estimated Incoming Infection,0.405,3.8985,1.6965000000000001,5.695,41.688,1.7020000000000002,3.492,1.908,1.2,0.441,0.0375,62.163500000000006
0110 The University of Birmingham Estimated Incoming Infection,1.242,10.626,3.9975,6.579000000000001,20.2365,4.784000000000001,9.936,6.579,2.9625,1.106,0.0475,68.096
0200 University College Birmingham Estimated Incoming Infection,0.054000000000000006,0.5175,0.273,0.799,6.0885,0.21850000000000003,0.612,0.207,0.135,0.07700000000000001,0.0025,8.984
0007 Bishop Grosseteste University Estimated Incoming Infection,0.054000000000000006,0.1725,1.5795000000000001,5.1000000000000005,0.08100000000000002,0.4715,0.036,0.05399999999999999,0.015,0.014000000000000002,0.0,7.5775000000000015
0049 The University of Bolton Estimated Incoming Infection,0.18900000000000003,36.1215,1.6380000000000001,0.37400000000000005,0.3375,0.161,0.27,0.135,0.0975,0.11900000000000001,0.01,39.45249999999999
0197 The Arts University Bournemouth Estimated Incoming Infection,0.08100000000000002,0.3105,0.1365,0.28900000000000003,0.35100000000000003,0.5175,1.296,1.746,1.2225,0.07700000000000001,0.005,6.032
0050 Bournemouth University Estimated Incoming Infection,0.16200000000000003,0.8625,0.35100000000000003,0.6970000000000001,0.9855000000000002,2.2425,5.976,9.459,7.8,0.252,0.0175,28.804999999999996
0111 The University of Bradford Estimated Incoming Infection,0.43200000000000005,6.7965,22.405500000000004,0.527,0.405,0.24150000000000002,0.63,0.198,0.075,0.05600000000000001,0.0075,31.774000000000008
0051 The University of Brighton Estimated Incoming Infection,0.8640000000000001,1.6214999999999997,0.8385000000000001,1.3260000000000003,0.9855000000000002,3.9215000000000004,11.177999999999999,17.154,1.7625,0.259,0.0325,39.943
