,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Total Regions
0170 The University of Aberdeen Estimated Incoming Infection,1.2429999999999999,1.643,0.8740000000000001,0.493,0.32400000000000007,0.5589999999999999,1.4960000000000002,0.5775,0.36,0.264,19.459,27.2925
0095 Abertay University Estimated Incoming Infection,0.16949999999999998,0.21200000000000002,0.076,0.057999999999999996,0.08100000000000002,0.0645,0.068,0.066,0.06,0.0,10.179,11.034
0177 Aberystwyth University Estimated Incoming Infection,0.45199999999999996,4.0280000000000005,1.102,1.392,6.264000000000001,1.161,1.36,1.65,1.48,17.325,0.087,36.301
0213 AECC University College Estimated Incoming Infection,0.0,0.053000000000000005,0.076,0.057999999999999996,0.10800000000000001,0.1075,0.10200000000000001,0.2805,0.42,0.066,0.014499999999999999,1.2855
0047 Anglia Ruskin University Estimated Incoming Infection,1.1864999999999999,2.3320000000000003,1.786,4.6979999999999995,1.35,43.946000000000005,43.588,3.7785,0.9,0.429,0.1595,104.15350000000002
0108 Aston University Estimated Incoming Infection,0.7344999999999999,4.505,1.558,5.365,29.727000000000004,2.3865,9.792,2.3595,1.22,0.924,0.087,58.658500000000004
0178 Bangor University Estimated Incoming Infection,0.7909999999999999,14.575,2.242,1.6239999999999997,3.51,1.419,1.8020000000000003,1.6335,1.14,25.674,0.11599999999999999,54.5265
0048 Bath Spa University Estimated Incoming Infection,0.33899999999999997,1.484,0.608,1.1019999999999999,2.2950000000000004,1.72,2.5840000000000005,4.224,14.4,3.63,0.0435,32.429500000000004
0109 The University of Bath Estimated Incoming Infection,1.2429999999999999,4.982,1.824,2.175,3.375,4.4075,9.962,9.4875,7.86,4.422000000000001,0.3045,50.0425
0026 University of Bedfordshire Estimated Incoming Infection,0.16949999999999998,1.1130000000000002,0.494,4.494999999999999,5.913,19.156499999999998,15.47,4.521,0.34,0.198,0.057999999999999996,51.928
0184 Queen's University Belfast Estimated Incoming Infection,0.8474999999999998,2.3320000000000003,0.57,0.5219999999999999,0.54,0.49449999999999994,1.8360000000000003,0.858,0.56,0.429,0.3625,9.351500000000001
0127 Birkbeck College Estimated Incoming Infection,0.22599999999999998,0.53,0.418,0.319,0.486,2.6875,54.50200000000001,2.64,0.44,0.198,0.028999999999999998,62.47550000000001
0052 Birmingham City University Estimated Incoming Infection,0.8474999999999998,5.989,3.306,9.714999999999998,83.376,3.182,6.596,3.498,3.2,2.079,0.2175,122.006
