,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Total Regions
0170 The University of Aberdeen Estimated Incoming Infection,0.0873529415,0.465,0.14205882379999998,0.0449999996,0.0211764708,0.057352941100000006,0.2911764702,0.092647058,0.0317647062,0.049411764799999994,1.1841176589,2.4670588349
0095 Abertay University Estimated Incoming Infection,0.01191176475,0.06,0.012352941199999998,0.0052941176,0.0052941177,0.006617647050000001,0.0132352941,0.0105882352,0.0052941177,0.0,0.6194117709,0.7500000062
0177 Aberystwyth University Estimated Incoming Infection,0.031764706000000004,1.14,0.1791176474,0.1270588224,0.4094117688,0.1191176469,0.264705882,0.26470588,0.1305882366,3.242647065,0.0052941177,5.914411772799999
0213 AECC University College Estimated Incoming Infection,0.0,0.015,0.012352941199999998,0.0052941176,0.007058823599999999,0.01102941175,0.01985294115,0.0449999996,0.037058823899999996,0.012352941199999998,0.0008823529499999999,0.16588235295
0047 Anglia Ruskin University Estimated Incoming Infection,0.08338235325,0.66,0.29029411819999995,0.42882352560000003,0.08823529499999999,4.5088235234,8.483823518100001,0.6061764652,0.0794117655,0.08029411780000001,0.00970588245,15.3189705645
0108 Aston University Estimated Incoming Infection,0.051617647249999996,1.275,0.2532352946,0.489705878,1.9429411959,0.24485294085000003,1.9058823504,0.37852940840000004,0.1076470599,0.17294117679999998,0.0052941177,6.8276470698
0178 Bangor University Estimated Incoming Infection,0.0555882355,4.125,0.36441176540000003,0.1482352928,0.229411767,0.14558823510000002,0.35073529365,0.26205882119999996,0.1005882363,4.8052941268,0.007058823599999999,10.59397059735
0048 Bath Spa University Estimated Incoming Infection,0.0238235295,0.42,0.09882352959999999,0.10058823439999999,0.1500000015,0.176470588,0.5029411758,0.6776470528,1.270588248,0.6794117659999999,0.00264705885,4.10294118445
0109 The University of Bath Estimated Incoming Infection,0.0873529415,1.41,0.2964705888,0.19852941000000002,0.22058823749999998,0.45220588175000004,1.9389705856500001,1.52205881,0.6935294187,0.8276470603999999,0.018529411949999998,7.665882346250001
0026 University of Bedfordshire Estimated Incoming Infection,0.01191176475,0.315,0.08029411780000001,0.410294114,0.3864705921,1.9654411738500002,3.0110294077499997,0.7252941112000001,0.0300000003,0.0370588236,0.0035294117999999995,6.97632351715
0184 Queen's University Belfast Estimated Incoming Infection,0.059558823749999996,0.66,0.09264705899999999,0.0476470584,0.035294118,0.050735294050000004,0.3573529407,0.1376470576,0.0494117652,0.08029411780000001,0.022058823749999998,1.5926470582499999
0127 Birkbeck College Estimated Incoming Infection,0.015882353000000002,0.15,0.0679411766,0.0291176468,0.0317647062,0.27573529375000005,10.608088221150002,0.423529408,0.0388235298,0.0370588236,0.0017647058999999997,11.679705864800003
0052 Birmingham City University Estimated Incoming Infection,0.059558823749999996,1.695,0.5373529422,0.8867646979999999,5.4494118192,0.32647058780000004,1.2838235277,0.5611764656,0.282352944,0.38911764779999997,0.01323529425,11.4842647503
0110 The University of Birmingham Estimated Incoming Infection,0.1826470595,4.62,1.2661764729999998,1.0244117556,2.6452941441,0.9176470576000001,3.6529411715999998,1.9349999828,0.6970588305,0.9758823548,0.01676470605,17.93382353555
0200 University College Birmingham Estimated Incoming Infection,0.007941176500000001,0.225,0.08647058839999999,0.1244117636,0.7958823609,0.041911764649999995,0.2249999997,0.060882352400000006,0.0317647062,0.0679411766,0.0008823529499999999,1.6680882418999998
0007 Bishop Grosseteste University Estimated Incoming Infection,0.007941176500000001,0.075,0.5002941186,0.7941176400000001,0.0105882354,0.09044117635000001,0.0132352941,0.0158823528,0.0035294117999999995,0.012352941199999998,0.0,1.5233823467500003
