,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Total Regions
0170 The University of Aberdeen Estimated Incoming Infection,1.56948,3.5600400000000003,1.6808400000000001,0.6803400000000001,0.37583999999999995,0.72384,2.5264800000000003,0.9743999999999999,0.40716,0.9187200000000001,46.7016,60.11874
0095 Abertay University Estimated Incoming Infection,0.21402000000000002,0.45936000000000005,0.14615999999999998,0.08004,0.09395999999999999,0.08352,0.11484000000000001,0.11135999999999999,0.06786,0.0,24.4296,25.800720000000002
0177 Aberystwyth University Estimated Incoming Infection,0.57072,8.72784,2.11932,1.92096,7.266239999999999,1.5033599999999998,2.2968,2.784,1.67388,60.291000000000004,0.20879999999999999,89.36292
0213 AECC University College Estimated Incoming Infection,0.0,0.11484000000000001,0.14615999999999998,0.08004,0.12527999999999997,0.1392,0.17226000000000002,0.47328,0.47502,0.22968000000000002,0.0348,1.99056
0047 Anglia Ruskin University Estimated Incoming Infection,1.4981400000000002,5.052960000000001,3.43476,6.4832399999999994,1.5659999999999998,56.90495999999999,73.61244,6.37536,1.0179,1.49292,0.3827999999999999,157.82148
0108 Aston University Estimated Incoming Infection,0.92742,9.761400000000002,2.99628,7.4037,34.48332,3.09024,16.53696,3.9811199999999998,1.37982,3.21552,0.20879999999999999,83.98458
0178 Bangor University Estimated Incoming Infection,0.9987600000000001,31.581000000000003,4.31172,2.24112,4.0716,1.83744,3.04326,2.75616,1.28934,89.34552000000002,0.2784,141.75432000000004
0048 Bath Spa University Estimated Incoming Infection,0.42804000000000003,3.21552,1.1692799999999999,1.52076,2.6622,2.2272,4.36392,7.127039999999999,16.2864,12.6324,0.10439999999999999,51.73716
0109 The University of Bath Estimated Incoming Infection,1.56948,10.794960000000001,3.50784,3.0014999999999996,3.915,5.707199999999999,16.824060000000003,16.008,8.88966,15.388560000000002,0.7308,86.33706000000001
0026 University of Bedfordshire Estimated Incoming Infection,0.21402000000000002,2.4116400000000002,0.95004,6.203099999999999,6.859079999999999,24.805439999999997,26.1261,7.628159999999999,0.38454,0.6890400000000001,0.1392,76.41036000000001
0184 Queen's University Belfast Estimated Incoming Infection,1.0701,5.052960000000001,1.0962,0.72036,0.6264,0.64032,3.1006800000000005,1.44768,0.63336,1.49292,0.87,16.75098
0127 Birkbeck College Estimated Incoming Infection,0.28536,1.1484,0.80388,0.44022,0.5637599999999999,3.48,92.04426000000001,4.4544,0.49764,0.6890400000000001,0.0696,104.47656
0052 Birmingham City University Estimated Incoming Infection,1.0701,12.97692,6.35796,13.4067,96.71616,4.1203199999999995,11.13948,5.90208,3.6192,7.234920000000001,0.5219999999999999,163.06583999999998
0110 The University of Birmingham Estimated Incoming Infection,3.28164,35.37072,14.9814,15.487739999999999,46.948679999999996,11.58144,31.695840000000004,20.351039999999998,8.9349,18.144720000000003,0.6611999999999999,207.43932
0200 University College Birmingham Estimated Incoming Infection,0.14268,1.7226000000000001,1.02312,1.8809399999999998,14.125319999999999,0.52896,1.95228,0.64032,0.40716,1.2632400000000001,0.0348,23.72142
0007 Bishop Grosseteste University Estimated Incoming Infection,0.14268,0.5742,5.91948,12.005999999999998,0.18791999999999998,1.14144,0.11484000000000001,0.16704,0.04524,0.22968000000000002,0.0,20.528519999999997
0049 The University of Bolton Estimated Incoming Infection,0.49938000000000005,120.23748000000002,6.138719999999999,0.88044,0.7829999999999999,0.38976,0.8613000000000001,0.41759999999999997,0.29406000000000004,1.95228,0.1392,132.59322
0197 The Arts University Bournemouth Estimated Incoming Infection,0.21402000000000002,1.03356,0.51156,0.6803400000000001,0.8143199999999999,1.2528,4.13424,5.40096,3.6870600000000002,1.2632400000000001,0.0696,19.061700000000002
0050 Bournemouth University Estimated Incoming Infection,0.42804000000000003,2.8710000000000004,1.3154400000000002,1.64082,2.28636,5.4288,19.06344,29.25984,23.5248,4.13424,0.24359999999999998,90.19638
0111 The University of Bradford Estimated Incoming Infection,1.14144,22.62348,83.96892,1.24062,0.9396,0.5846399999999999,2.0097000000000005,0.61248,0.2262,0.9187200000000001,0.10439999999999999,114.3702
0051 The University of Brighton Estimated Incoming Infection,2.28288,5.397480000000001,3.14244,3.12156,2.28636,9.49344,35.65782,53.06304,5.3157000000000005,4.24908,0.45239999999999997,124.46220000000001
0337 The University College of Osteopathy Estimated Incoming Infection,0.0,0.11484000000000001,0.07307999999999999,0.08004,0.06263999999999999,0.2784,2.4690600000000003,0.52896,0.04524,0.11484000000000001,0.0,3.7671000000000006
0112 The University of Bristol Estimated Incoming Infection,3.13896,22.393800000000002,8.25804,5.802899999999999,7.203599999999999,8.073599999999999,41.62950000000001,22.940159999999995,19.95084,26.068680000000004,1.3572,166.81727999999998
0113 Brunel University London Estimated Incoming Infection,0.3567,2.7561600000000004,1.0962,1.12056,1.22148,4.649279999999999,75.5073,9.24288,1.2214800000000001,2.2968,0.174,99.64284000000002
0009 Buckinghamshire New University Estimated Incoming Infection,0.8560800000000001,11.36916,3.14244,2.56128,4.88592,6.124799999999999,41.112719999999996,17.121599999999997,1.44768,2.06712,0.3132,91.002
0203 The University of Buckingham Estimated Incoming Infection,0.21402000000000002,1.1484,0.80388,1.0405200000000001,0.8143199999999999,1.97664,5.397480000000001,4.39872,0.49764,0.5742,0.174,17.039820000000002
0114 The University of Cambridge Estimated Incoming Infection,4.6371,20.097,10.377360000000001,5.402699999999999,4.2282,14.421119999999998,36.978480000000005,14.142719999999999,4.1847,6.8904000000000005,2.1228,123.48258000000001
0188 The Institute of Cancer Research Estimated Incoming Infection,0.0,0.11484000000000001,0.0,0.04002,0.0,0.08352,1.60776,0.25055999999999995,0.02262,0.11484000000000001,0.0,2.23416
0012 Canterbury Christ Church University Estimated Incoming Infection,0.3567,1.8374400000000002,0.7308,0.8004000000000001,0.5011199999999999,6.15264,31.006800000000002,49.861439999999995,0.65598,0.80388,0.1392,92.84640000000002
0179 Cardiff University Estimated Incoming Infection,1.2841200000000002,14.125320000000002,4.31172,4.002,9.83448,4.0367999999999995,14.871780000000001,16.92672,19.3401,244.83888000000002,0.5219999999999999,334.09392
0089 Cardiff Metropolitan University Estimated Incoming Infection,0.3567,3.4452000000000003,1.1692799999999999,0.9204600000000001,2.9753999999999996,0.8351999999999999,1.5503400000000003,2.784,6.74076,138.9564,0.24359999999999998,159.97734
0053 The University of Central Lancashire Estimated Incoming Infection,3.2103,364.617,13.30056,2.6013,2.9753999999999996,1.6147199999999997,4.0768200000000006,1.83744,0.95004,4.70844,0.696,400.5880200000001
0011 University of Chester Estimated Incoming Infection,2.1402,159.51276000000001,7.381080000000001,2.88144,10.868039999999999,1.36416,2.4116400000000002,1.5868799999999998,0.9048,40.423680000000004,0.24359999999999998,229.71828000000002
0082 The University of Chichester Estimated Incoming Infection,0.28536,1.3780800000000002,0.7308,1.1605800000000002,0.72036,1.6147199999999997,3.5600400000000003,19.98912,1.5834000000000001,1.3780800000000002,0.10439999999999999,32.50494
"0115 City, University of London Estimated Incoming Infection",0.49938000000000005,3.6748800000000004,1.1692799999999999,1.1605800000000002,1.06488,5.735039999999999,103.70052000000001,5.8742399999999995,0.92742,1.3780800000000002,0.48719999999999997,125.67150000000001
