,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Total Regions
0170 The University of Aberdeen Estimated Incoming Infection,0.23099999999999998,0.7439999999999999,0.29900000000000004,0.1105,0.05399999999999999,0.11699999999999999,0.506,0.175,0.063,0.14,6.71,9.1495
0095 Abertay University Estimated Incoming Infection,0.0315,0.096,0.026000000000000002,0.013000000000000001,0.013499999999999998,0.013499999999999998,0.023000000000000003,0.02,0.0105,0.0,3.51,3.7569999999999997
0177 Aberystwyth University Estimated Incoming Infection,0.084,1.824,0.377,0.31200000000000006,1.0439999999999998,0.243,0.46,0.5,0.259,9.187499999999998,0.03,14.320499999999997
0213 AECC University College Estimated Incoming Infection,0.0,0.024,0.026000000000000002,0.013000000000000001,0.018,0.0225,0.0345,0.085,0.07350000000000001,0.035,0.005,0.3365
0047 Anglia Ruskin University Estimated Incoming Infection,0.2205,1.056,0.611,1.053,0.225,9.198,14.743,1.145,0.15750000000000003,0.2275,0.055,28.691499999999998
0108 Aston University Estimated Incoming Infection,0.1365,2.04,0.533,1.2025,4.9544999999999995,0.49949999999999994,3.312,0.715,0.21350000000000002,0.49,0.03,14.126499999999998
0178 Bangor University Estimated Incoming Infection,0.147,6.6,0.767,0.364,0.585,0.297,0.6095,0.495,0.19950000000000004,13.615,0.04,23.719
0048 Bath Spa University Estimated Incoming Infection,0.063,0.672,0.20800000000000002,0.247,0.3825,0.36,0.8740000000000001,1.28,2.5200000000000005,1.925,0.015,8.546500000000002
0109 The University of Bath Estimated Incoming Infection,0.23099999999999998,2.256,0.6240000000000001,0.4875,0.5625,0.9225,3.3695,2.875,1.3755000000000002,2.3449999999999998,0.105,15.153500000000001
0026 University of Bedfordshire Estimated Incoming Infection,0.0315,0.504,0.169,1.0075,0.9854999999999999,4.0095,5.2325,1.37,0.059500000000000004,0.105,0.02,13.494
0184 Queen's University Belfast Estimated Incoming Infection,0.1575,1.056,0.195,0.117,0.09,0.1035,0.621,0.26,0.098,0.2275,0.125,3.0505
0127 Birkbeck College Estimated Incoming Infection,0.042,0.24,0.14300000000000002,0.07150000000000001,0.081,0.5625,18.4345,0.8,0.07700000000000001,0.105,0.01,20.566500000000005
0052 Birmingham City University Estimated Incoming Infection,0.1575,2.7119999999999997,1.131,2.1775,13.895999999999999,0.6659999999999999,2.2310000000000003,1.06,0.56,1.1025,0.075,25.768499999999996
0110 The University of Birmingham Estimated Incoming Infection,0.483,7.3919999999999995,2.665,2.5155000000000003,6.7455,1.8719999999999999,6.348000000000001,3.655,1.3825,2.765,0.095,35.918499999999995
0200 University College Birmingham Estimated Incoming Infection,0.021,0.36,0.182,0.3055,2.0295,0.08549999999999999,0.391,0.115,0.063,0.1925,0.005,3.7500000000000004
0007 Bishop Grosseteste University Estimated Incoming Infection,0.021,0.12,1.053,1.95,0.026999999999999996,0.1845,0.023000000000000003,0.03,0.007000000000000001,0.035,0.0,3.4505000000000003
0049 The University of Bolton Estimated Incoming Infection,0.0735,25.127999999999997,1.092,0.14300000000000002,0.1125,0.063,0.1725,0.075,0.045500000000000006,0.2975,0.02,27.222499999999993
0197 The Arts University Bournemouth Estimated Incoming Infection,0.0315,0.21599999999999997,0.091,0.1105,0.11699999999999999,0.2025,0.828,0.97,0.5705,0.1925,0.01,3.3394999999999992
0050 Bournemouth University Estimated Incoming Infection,0.063,0.6,0.234,0.2665,0.3285,0.8775,3.818,5.255,3.6400000000000006,0.6299999999999999,0.035,15.747499999999999
0111 The University of Bradford Estimated Incoming Infection,0.168,4.728,14.937000000000001,0.2015,0.135,0.09449999999999999,0.4025,0.11,0.035,0.14,0.015,20.9665
0051 The University of Brighton Estimated Incoming Infection,0.336,1.128,0.5589999999999999,0.507,0.3285,1.5345,7.1415,9.53,0.8225000000000001,0.6475,0.065,22.599500000000003
0337 The University College of Osteopathy Estimated Incoming Infection,0.0,0.024,0.013000000000000001,0.013000000000000001,0.009,0.045,0.49450000000000005,0.095,0.007000000000000001,0.0175,0.0,0.7180000000000001
0112 The University of Bristol Estimated Incoming Infection,0.46199999999999997,4.68,1.469,0.9425,1.035,1.305,8.3375,4.12,3.0870000000000006,3.9725,0.195,29.6055
0113 Brunel University London Estimated Incoming Infection,0.0525,0.576,0.195,0.182,0.17550000000000002,0.7515,15.1225,1.66,0.18900000000000003,0.35,0.025,19.279
0009 Buckinghamshire New University Estimated Incoming Infection,0.126,2.376,0.5589999999999999,0.41600000000000004,0.7020000000000001,0.99,8.234000000000002,3.075,0.22400000000000003,0.31499999999999995,0.045,17.062000000000005
0203 The University of Buckingham Estimated Incoming Infection,0.0315,0.24,0.14300000000000002,0.169,0.11699999999999999,0.3195,1.0810000000000002,0.79,0.07700000000000001,0.0875,0.025,3.0805000000000002
0114 The University of Cambridge Estimated Incoming Infection,0.6825,4.2,1.8459999999999999,0.8775,0.6075,2.331,7.406000000000001,2.54,0.6475,1.05,0.305,22.493
0188 The Institute of Cancer Research Estimated Incoming Infection,0.0,0.024,0.0,0.006500000000000001,0.0,0.013499999999999998,0.322,0.045,0.0035000000000000005,0.0175,0.0,0.43200000000000005
0012 Canterbury Christ Church University Estimated Incoming Infection,0.0525,0.384,0.13,0.13,0.072,0.9945,6.21,8.955,0.1015,0.1225,0.02,17.172
0179 Cardiff University Estimated Incoming Infection,0.18899999999999997,2.952,0.767,0.65,1.4129999999999998,0.6525,2.9785000000000004,3.04,2.9925000000000006,37.309999999999995,0.075,53.019499999999994
0089 Cardiff Metropolitan University Estimated Incoming Infection,0.0525,0.72,0.20800000000000002,0.14950000000000002,0.4275,0.135,0.3105,0.5,1.0430000000000001,21.175,0.035,24.756
0053 The University of Central Lancashire Estimated Incoming Infection,0.4725,76.2,2.366,0.4225,0.4275,0.26099999999999995,0.8165,0.33,0.14700000000000002,0.7175,0.1,82.26050000000001
0011 University of Chester Estimated Incoming Infection,0.315,33.336,1.3130000000000002,0.468,1.5615,0.2205,0.48300000000000004,0.285,0.14,6.16,0.035,44.31699999999999
0082 The University of Chichester Estimated Incoming Infection,0.042,0.288,0.13,0.1885,0.1035,0.26099999999999995,0.713,3.59,0.24500000000000002,0.21,0.015,5.786
"0115 City, University of London Estimated Incoming Infection",0.0735,0.768,0.20800000000000002,0.1885,0.153,0.927,20.769000000000002,1.055,0.14350000000000002,0.21,0.07,24.5655
0199 Conservatoire for Dance and Drama Estimated Incoming Infection,0.0735,0.312,0.20800000000000002,0.0585,0.045,0.072,0.5405000000000001,0.17,0.07,0.14,0.035,1.7245000000000001
0201 Courtauld Institute of Art Estimated Incoming Infection,0.0,0.072,0.013000000000000001,0.013000000000000001,0.009,0.0225,0.2875,0.05,0.0245,0.0175,0.0,0.509
0056 Coventry University Estimated Incoming Infection,0.19949999999999998,2.304,1.963,2.5740000000000003,9.0945,1.3455,9.4875,1.865,0.406,0.8225,0.03,30.0915
0002 Cranfield University Estimated Incoming Infection,0.063,0.576,0.195,0.182,0.135,0.297,0.759,0.54,0.41650000000000004,0.21,0.055,3.4285
0206 University for the Creative Arts Estimated Incoming Infection,0.0315,0.36,0.169,0.13,0.11699999999999999,0.306,2.024,1.945,0.1365,0.1925,0.025,5.4365
0038 University of Cumbria Estimated Incoming Infection,0.7979999999999999,18.264,0.7929999999999999,0.169,0.09,0.09449999999999999,1.2765,0.115,0.0665,0.1925,0.17,22.029
0068 De Montfort University Estimated Incoming Infection,0.2415,2.6639999999999997,1.521,9.88,2.3265,1.6065,5.531499999999999,1.27,0.2625,0.6475,0.035,25.985999999999997
0057 University of Derby Estimated Incoming Infection,0.2415,2.424,2.444,11.128,2.34,0.6839999999999999,0.8740000000000001,0.505,0.17850000000000002,0.4025,0.035,21.2565
0172 The University of Dundee Estimated Incoming Infection,0.3045,0.9839999999999999,0.273,0.091,0.063,0.099,0.3565,0.15,0.042,0.105,8.54,11.008
0116 University of Durham Estimated Incoming Infection,4.178999999999999,5.928,2.951,0.8710000000000001,0.5805,1.1925,4.186,2.25,0.5425000000000001,0.91,0.23,23.8205
0117 The University of East Anglia Estimated Incoming Infection,0.2415,1.1039999999999999,0.754,0.8645,0.2655,6.8985,4.4275,1.82,0.273,0.2975,0.045,16.991000000000003
0058 The University of East London Estimated Incoming Infection,0.0735,0.696,0.234,0.182,0.13949999999999999,0.9854999999999999,19.412,0.71,0.11200000000000002,0.1925,0.03,22.766999999999996
0016 Edge Hill University Estimated Incoming Infection,0.2415,50.663999999999994,1.105,0.2665,0.3735,0.1035,0.18400000000000002,0.135,0.063,1.1375,0.025,54.2985
0107 Edinburgh Napier University Estimated Incoming Infection,0.2835,0.384,0.15600000000000003,0.0455,0.0315,0.036,0.115,0.05,0.0245,0.07,9.01,10.206
0167 The University of Edinburgh Estimated Incoming Infection,0.987,4.608,2.0540000000000003,0.5589999999999999,0.315,0.711,4.5425,1.605,0.5775000000000001,0.7875,10.355,27.1015
0118 The University of Essex Estimated Incoming Infection,0.105,0.768,0.364,0.325,0.23399999999999999,3.8025,8.3835,1.285,0.21350000000000002,0.2625,0.03,15.772999999999998
0119 The University of Exeter Estimated Incoming Infection,0.147,1.8,0.676,0.6305000000000001,0.9135,1.386,5.382000000000001,4.485,4.011,2.9575,0.185,22.5735
0017 Falmouth University Estimated Incoming Infection,0.084,0.912,0.31200000000000006,0.28600000000000003,0.3555,0.4095,1.403,1.065,1.4,0.56,0.03,6.817000000000001
0229 The National Film and Television School Estimated Incoming Infection,0.0,0.024,0.013000000000000001,0.013000000000000001,0.009,0.013499999999999998,0.1955,0.035,0.007000000000000001,0.0,0.005,0.31500000000000006
0106 Glasgow Caledonian University Estimated Incoming Infection,0.042,0.288,0.091,0.026000000000000002,0.0225,0.0405,0.2645,0.07,0.0245,0.0525,13.84,14.7615
0097 Glasgow School of Art Estimated Incoming Infection,0.063,0.312,0.13,0.0325,0.018,0.0405,0.2875,0.07,0.0315,0.0525,0.925,1.9625000000000001
0168 The University of Glasgow Estimated Incoming Infection,0.735,3.0,0.858,0.182,0.144,0.2565,1.2305000000000001,0.455,0.15750000000000003,0.31499999999999995,16.72,24.0535
0054 University of Gloucestershire Estimated Incoming Infection,0.063,0.6,0.247,0.325,0.873,0.3195,0.552,0.805,2.8560000000000003,2.0125,0.015,8.668
0087 Glyndŵr University Estimated Incoming Infection,0.021,2.6639999999999997,0.065,0.026000000000000002,0.36,0.0225,0.14950000000000002,0.02,0.014000000000000002,13.37,0.0,16.712
0131 Goldsmiths College Estimated Incoming Infection,0.11549999999999999,0.9839999999999999,0.338,0.20800000000000002,0.17550000000000002,0.486,11.155,0.89,0.273,0.2625,0.05,14.9375
0336 Gower College Swansea Estimated Incoming Infection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.0,0.4375
0059 The University of Greenwich Estimated Incoming Infection,0.09449999999999999,0.5519999999999999,0.325,0.2145,0.1215,1.08,19.274,2.965,0.168,0.1925,0.03,25.017
0208 Guildhall School of Music and Drama Estimated Incoming Infection,0.0105,0.144,0.117,0.0325,0.0225,0.081,0.575,0.135,0.038500000000000006,0.07,0.03,1.256
0018 Harper Adams University Estimated Incoming Infection,0.2415,1.776,1.0270000000000001,0.754,0.567,0.531,0.2645,0.56,0.36050000000000004,1.1375,0.255,7.474
