,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Total Regions
0170 The University of Aberdeen Estimated Incoming Infection,0.45099999999999996,1.0230000000000001,0.483,0.1955,0.10799999999999998,0.20800000000000002,0.7260000000000001,0.28,0.117,0.264,13.42,17.2755
0095 Abertay University Estimated Incoming Infection,0.06149999999999999,0.132,0.042,0.023000000000000003,0.026999999999999996,0.024,0.033,0.032,0.019500000000000003,0.0,7.02,7.414
0177 Aberystwyth University Estimated Incoming Infection,0.16399999999999998,2.508,0.609,0.552,2.0879999999999996,0.43200000000000005,0.66,0.8,0.48100000000000004,17.325,0.06,25.679
0213 AECC University College Estimated Incoming Infection,0.0,0.033,0.042,0.023000000000000003,0.036,0.04,0.0495,0.136,0.1365,0.066,0.01,0.5720000000000001
0047 Anglia Ruskin University Estimated Incoming Infection,0.4305,1.4520000000000002,0.987,1.8630000000000002,0.45,16.352,21.153000000000002,1.832,0.2925,0.429,0.11,45.351
0108 Aston University Estimated Incoming Infection,0.26649999999999996,2.805,0.861,2.1275,9.908999999999999,0.888,4.752000000000001,1.1440000000000001,0.39649999999999996,0.924,0.06,24.133499999999998
0178 Bangor University Estimated Incoming Infection,0.287,9.075,1.2389999999999999,0.644,1.17,0.528,0.8745,0.792,0.37050000000000005,25.674,0.08,40.733999999999995
0048 Bath Spa University Estimated Incoming Infection,0.12299999999999998,0.924,0.336,0.43700000000000006,0.765,0.64,1.254,2.048,4.68,3.63,0.03,14.866999999999999
0109 The University of Bath Estimated Incoming Infection,0.45099999999999996,3.102,1.008,0.8625,1.125,1.64,4.8345,4.6,2.5545,4.422000000000001,0.21,24.8095
0026 University of Bedfordshire Estimated Incoming Infection,0.06149999999999999,0.693,0.273,1.7825,1.9709999999999999,7.128000000000001,7.5075,2.192,0.1105,0.198,0.04,21.956999999999997
0184 Queen's University Belfast Estimated Incoming Infection,0.30749999999999994,1.4520000000000002,0.315,0.207,0.18,0.18400000000000002,0.8910000000000001,0.41600000000000004,0.182,0.429,0.25,4.813500000000001
0127 Birkbeck College Estimated Incoming Infection,0.08199999999999999,0.33,0.23099999999999998,0.1265,0.162,1.0,26.449500000000004,1.28,0.14300000000000002,0.198,0.02,30.022000000000006
0052 Birmingham City University Estimated Incoming Infection,0.30749999999999994,3.7290000000000005,1.827,3.8525,27.791999999999998,1.1840000000000002,3.201,1.696,1.04,2.079,0.15,46.858
0110 The University of Birmingham Estimated Incoming Infection,0.943,10.164000000000001,4.305,4.4505,13.491,3.3280000000000003,9.108,5.848000000000001,2.5675,5.2139999999999995,0.19,59.609
0200 University College Birmingham Estimated Incoming Infection,0.040999999999999995,0.495,0.294,0.5405000000000001,4.059,0.15200000000000002,0.561,0.18400000000000002,0.117,0.36300000000000004,0.01,6.8165000000000004
0007 Bishop Grosseteste University Estimated Incoming Infection,0.040999999999999995,0.165,1.7009999999999998,3.45,0.05399999999999999,0.32799999999999996,0.033,0.048,0.013000000000000001,0.066,0.0,5.899
0049 The University of Bolton Estimated Incoming Infection,0.1435,34.551,1.764,0.253,0.225,0.11200000000000002,0.2475,0.12,0.0845,0.561,0.04,38.1015
0197 The Arts University Bournemouth Estimated Incoming Infection,0.06149999999999999,0.29700000000000004,0.147,0.1955,0.23399999999999999,0.36,1.1880000000000002,1.5520000000000003,1.0595,0.36300000000000004,0.02,5.4775
0050 Bournemouth University Estimated Incoming Infection,0.12299999999999998,0.825,0.37799999999999995,0.4715,0.657,1.56,5.478000000000001,8.408000000000001,6.76,1.1880000000000002,0.07,25.918499999999998
0111 The University of Bradford Estimated Incoming Infection,0.32799999999999996,6.501,24.129,0.3565,0.27,0.168,0.5775,0.17600000000000002,0.065,0.264,0.03,32.865
0051 The University of Brighton Estimated Incoming Infection,0.6559999999999999,1.551,0.903,0.897,0.657,2.728,10.246500000000001,15.248,1.5275,1.221,0.13,35.76500000000001
0337 The University College of Osteopathy Estimated Incoming Infection,0.0,0.033,0.021,0.023000000000000003,0.018,0.08,0.7095,0.15200000000000002,0.013000000000000001,0.033,0.0,1.0825
0112 The University of Bristol Estimated Incoming Infection,0.9019999999999999,6.435,2.3729999999999998,1.6675,2.07,2.32,11.9625,6.5920000000000005,5.7330000000000005,7.4910000000000005,0.39,47.93600000000001
0113 Brunel University London Estimated Incoming Infection,0.1025,0.792,0.315,0.322,0.35100000000000003,1.3359999999999999,21.6975,2.656,0.35100000000000003,0.66,0.05,28.633
0009 Buckinghamshire New University Estimated Incoming Infection,0.24599999999999997,3.267,0.903,0.7360000000000001,1.4040000000000001,1.76,11.814,4.92,0.41600000000000004,0.5940000000000001,0.09,26.150000000000002
0203 The University of Buckingham Estimated Incoming Infection,0.06149999999999999,0.33,0.23099999999999998,0.29900000000000004,0.23399999999999999,0.5680000000000001,1.551,1.264,0.14300000000000002,0.165,0.05,4.8965
0114 The University of Cambridge Estimated Incoming Infection,1.3325,5.775,2.9819999999999998,1.5525,1.215,4.144,10.626000000000001,4.064,1.2025,1.98,0.61,35.48349999999999
