,MSOA Code,All Ages,geography code,num_students,student_prop
0,E02002483,10261,E02002483,415,0.040444401130494106
1,E02002484,10449,E02002484,515,0.04928701311130252
2,E02002485,8185,E02002485,406,0.04960293219303604
3,E02002487,5277,E02002487,268,0.05078643168466932
4,E02002488,5848,E02002488,343,0.05865253077975376
5,E02002489,7730,E02002489,481,0.06222509702457956
6,E02002490,6214,E02002490,305,0.049082716446733184
7,E02002491,6454,E02002491,334,0.051750852184691665
8,E02002492,6887,E02002492,289,0.04196311891970379
9,E02002493,6702,E02002493,308,0.04595643091614444
10,E02002494,7750,E02002494,426,0.05496774193548387
11,E02006909,11906,E02006909,628,0.0527465143625063
12,E02002496,13252,E02002496,3242,0.244642318140658
13,E02002497,5944,E02002497,308,0.051816958277254375
14,E02002498,9664,E02002498,1589,0.16442466887417218
15,E02002499,7406,E02002499,393,0.053065082365649476
16,E02002500,5919,E02002500,467,0.07889846257813819
17,E02002501,5562,E02002501,289,0.05195972671700827
18,E02002502,9221,E02002502,490,0.053139572714456136
19,E02002503,6733,E02002503,403,0.05985444824001188
20,E02002504,9788,E02002504,790,0.08071107478545157
21,E02002505,6104,E02002505,331,0.05422673656618611
22,E02002506,5686,E02002506,386,0.06788603587759409
23,E02002507,5992,E02002507,374,0.06241655540720961
24,E02002508,5067,E02002508,272,0.05368067890270377
25,E02002509,5395,E02002509,290,0.05375347544022243
26,E02002510,5928,E02002510,274,0.04622132253711201
27,E02002512,5298,E02002512,248,0.046810117025292565
28,E02002513,9261,E02002513,436,0.04707914911996545
29,E02002514,8528,E02002514,523,0.06132739212007505
30,E02006811,10232,E02006811,516,0.05043002345582486
31,E02002515,6903,E02002515,343,0.049688541213964946
32,E02002516,5853,E02002516,305,0.052110029044934225
33,E02002517,5344,E02002517,268,0.050149700598802395
34,E02002518,10837,E02002518,538,0.04964473562794131
35,E02002519,7455,E02002519,337,0.045204560697518444
36,E02002520,12946,E02002520,592,0.04572841031978989
37,E02002521,6112,E02002521,268,0.04384816753926701
38,E02002523,6623,E02002523,341,0.05148724143137551
39,E02002524,5506,E02002524,220,0.03995641118779513
40,E02002525,8212,E02002525,406,0.04943984413054067
41,E02002526,7735,E02002526,353,0.045636716224951517
42,E02002527,5078,E02002527,211,0.04155179204411186
43,E02002529,5879,E02002529,266,0.0452457901003572
44,E02002530,6332,E02002530,280,0.04421983575489577
45,E02002532,6655,E02002532,267,0.040120210368144255
46,E02002533,6239,E02002533,250,0.04007052412245552
47,E02002534,5693,E02002534,244,0.04285965220446162
48,E02006812,7548,E02006812,401,0.05312665606783254
49,E02006910,10200,E02006910,531,0.05205882352941176
50,E02002535,9336,E02002535,523,0.0560197086546701
51,E02002536,9771,E02002536,443,0.045338245829495444
52,E02002537,8641,E02002537,476,0.0550862168730471
53,E02002538,5780,E02002538,278,0.04809688581314879
54,E02002539,9414,E02002539,410,0.04355215636286382
55,E02002540,6035,E02002540,282,0.04672742336371168
56,E02002541,6146,E02002541,281,0.04572079401236576
57,E02002542,8242,E02002542,472,0.057267653482164525
58,E02002543,9065,E02002543,403,0.044456701599558744
59,E02002544,8694,E02002544,380,0.0437083045778698
60,E02002545,5191,E02002545,221,0.042573685224426894
61,E02002546,7503,E02002546,490,0.06530721044915368
62,E02002547,6193,E02002547,308,0.0497335701598579
63,E02002548,13843,E02002548,1194,0.08625297984540924
64,E02002549,7396,E02002549,395,0.053407247160627364
65,E02002550,6184,E02002550,366,0.05918499353169469
66,E02002551,7153,E02002551,1227,0.17153641828603383
67,E02002552,7246,E02002552,388,0.053546784432790505
68,E02002553,5949,E02002553,296,0.04975626155656413
69,E02002554,5280,E02002554,262,0.04962121212121212
70,E02002555,10131,E02002555,501,0.04945217648800711
71,E02002556,6979,E02002556,438,0.06275970769451211
72,E02002557,16385,E02002557,730,0.044552944766554775
73,E02002558,10791,E02002558,476,0.04411083310165879
74,E02002559,9157,E02002559,357,0.03898656765316152
75,E02002560,6087,E02002560,275,0.04517824872679481
76,E02002561,5305,E02002561,241,0.045428840716305374
77,E02002562,5840,E02002562,270,0.046232876712328765
78,E02002563,5446,E02002563,211,0.038744032317297096
